caste or ethnic group,total,geo_code,geo_level,geo_version
Brahman - Hill,45,29004,local,2016
Ghale,130,29004,local,2016
Kami,85,29004,local,2016
Newar,59,29004,local,2016
Others,53,29004,local,2016
Tamang,5118,29004,local,2016
Badi,79,65,district,2016
Bantaba,12,65,district,2016
Baraee,12,65,district,2016
Bhote,189,65,district,2016
Brahman - Hill,22780,65,district,2016
Brahman - Tarai,470,65,district,2016
Chhetri,39915,65,district,2016
Dalit Others,67,65,district,2016
Damai/Dholi,9121,65,district,2016
Danuwar,17204,65,district,2016
Dhanuk,67,65,district,2016
Dhobi,11,65,district,2016
Dom,52,65,district,2016
Ghale,47,65,district,2016
Gharti/Bhujel,4503,65,district,2016
Gurung,461,65,district,2016
Hajam/Thakur,144,65,district,2016
Halwai,117,65,district,2016
Hayu,1674,65,district,2016
Kalwar,338,65,district,2016
Kami,13474,65,district,2016
Kanu,39,65,district,2016
Kathabaniyan,99,65,district,2016
Kayastha,89,65,district,2016
Koiri/Kushwaha,24,65,district,2016
Kumal,12,65,district,2016
Limbu,45,65,district,2016
Lohar,18,65,district,2016
Magar,43373,65,district,2016
Majhi,10250,65,district,2016
Mallaha,17,65,district,2016
Musahar,1849,65,district,2016
Musalman,142,65,district,2016
Newar,18430,65,district,2016
Others,670,65,district,2016
Pahari,767,65,district,2016
Rai,2829,65,district,2016
Rajput,42,65,district,2016
Sanyasi/Dasnami,1606,65,district,2016
Sarki,10489,65,district,2016
Sherpa,22,65,district,2016
Sonar,269,65,district,2016
Sudhi,815,65,district,2016
Sunuwar,8062,65,district,2016
Tamang,79293,65,district,2016
Tatma/Tatwa,15,65,district,2016
Teli,295,65,district,2016
Terai Others,58,65,district,2016
Thakuri,1714,65,district,2016
Thami,820,65,district,2016
Tharu,119,65,district,2016
Undefined Others,51,65,district,2016
Yadav,94,65,district,2016
Yakkha,19,65,district,2016
Brahman - Hill,2335,20008,local,2016
Chhetri,4036,20008,local,2016
Damai/Dholi,1029,20008,local,2016
Gharti/Bhujel,742,20008,local,2016
Hayu,285,20008,local,2016
Kami,866,20008,local,2016
Magar,2857,20008,local,2016
Majhi,426,20008,local,2016
Newar,2337,20008,local,2016
Others,43,20008,local,2016
Rai,71,20008,local,2016
Sanyasi/Dasnami,353,20008,local,2016
Sarki,1853,20008,local,2016
Sunuwar,137,20008,local,2016
Tamang,4014,20008,local,2016
Thakuri,89,20008,local,2016
Brahman - Hill,1976,20007,local,2016
Brahman - Tarai,92,20007,local,2016
Chhetri,2134,20007,local,2016
Damai/Dholi,789,20007,local,2016
Gharti/Bhujel,360,20007,local,2016
Kami,1419,20007,local,2016
Magar,3554,20007,local,2016
Majhi,253,20007,local,2016
Newar,844,20007,local,2016
Others,64,20007,local,2016
Rai,881,20007,local,2016
Sanyasi/Dasnami,85,20007,local,2016
Sarki,915,20007,local,2016
Sonar,49,20007,local,2016
Sunuwar,2694,20007,local,2016
Tamang,859,20007,local,2016
Badi,36,20004,local,2016
Brahman - Hill,249,20004,local,2016
Chhetri,310,20004,local,2016
Dalit Others,40,20004,local,2016
Damai/Dholi,210,20004,local,2016
Danuwar,2516,20004,local,2016
Ghale,47,20004,local,2016
Gharti/Bhujel,63,20004,local,2016
Gurung,12,20004,local,2016
Kami,1013,20004,local,2016
Magar,1806,20004,local,2016
Majhi,896,20004,local,2016
Newar,273,20004,local,2016
Others,91,20004,local,2016
Pahari,705,20004,local,2016
Rai,818,20004,local,2016
Sarki,65,20004,local,2016
Tamang,18577,20004,local,2016
Brahman - Hill,440,20006,local,2016
Chhetri,1200,20006,local,2016
Damai/Dholi,453,20006,local,2016
Danuwar,12,20006,local,2016
Dhobi,11,20006,local,2016
Gharti/Bhujel,102,20006,local,2016
Hayu,35,20006,local,2016
Kami,1106,20006,local,2016
Magar,3485,20006,local,2016
Majhi,3934,20006,local,2016
Newar,770,20006,local,2016
Others,80,20006,local,2016
Sanyasi/Dasnami,162,20006,local,2016
Sarki,128,20006,local,2016
Sonar,17,20006,local,2016
Sunuwar,45,20006,local,2016
Tamang,15622,20006,local,2016
Teli,13,20006,local,2016
Thami,207,20006,local,2016
Badi,14,20001,local,2016
Brahman - Hill,6100,20001,local,2016
Brahman - Tarai,52,20001,local,2016
Chhetri,11617,20001,local,2016
Damai/Dholi,1803,20001,local,2016
Danuwar,13313,20001,local,2016
Dhanuk,42,20001,local,2016
Dom,52,20001,local,2016
Gharti/Bhujel,468,20001,local,2016
Gurung,195,20001,local,2016
Hajam/Thakur,55,20001,local,2016
Halwai,77,20001,local,2016
Hayu,30,20001,local,2016
Kalwar,133,20001,local,2016
Kami,2979,20001,local,2016
Kayastha,53,20001,local,2016
Limbu,26,20001,local,2016
Magar,6881,20001,local,2016
Majhi,1537,20001,local,2016
Mallaha,17,20001,local,2016
Musahar,1849,20001,local,2016
Musalman,53,20001,local,2016
Newar,1519,20001,local,2016
Others,99,20001,local,2016
Rai,679,20001,local,2016
Rajput,27,20001,local,2016
Sanyasi/Dasnami,260,20001,local,2016
Sarki,934,20001,local,2016
Sonar,24,20001,local,2016
Sudhi,600,20001,local,2016
Sunuwar,3537,20001,local,2016
Tamang,9249,20001,local,2016
Tatma/Tatwa,15,20001,local,2016
Teli,183,20001,local,2016
Terai Others,58,20001,local,2016
Thakuri,436,20001,local,2016
Thami,197,20001,local,2016
Tharu,49,20001,local,2016
Undefined Others,27,20001,local,2016
Yadav,63,20001,local,2016
Brahman - Hill,84,20002,local,2016
Chhetri,415,20002,local,2016
Dalit Others,15,20002,local,2016
Damai/Dholi,86,20002,local,2016
Gharti/Bhujel,17,20002,local,2016
Kami,454,20002,local,2016
Magar,972,20002,local,2016
Musalman,39,20002,local,2016
Newar,798,20002,local,2016
Others,33,20002,local,2016
Sarki,20,20002,local,2016
Sunuwar,326,20002,local,2016
Tamang,10174,20002,local,2016
Thami,328,20002,local,2016
Brahman - Hill,3687,20009,local,2016
Brahman - Tarai,307,20009,local,2016
Chhetri,3865,20009,local,2016
Damai/Dholi,1592,20009,local,2016
Gharti/Bhujel,532,20009,local,2016
Hayu,22,20009,local,2016
Kami,1833,20009,local,2016
Magar,12449,20009,local,2016
Majhi,417,20009,local,2016
Newar,3373,20009,local,2016
Others,79,20009,local,2016
Rai,29,20009,local,2016
Sanyasi/Dasnami,155,20009,local,2016
Sarki,2059,20009,local,2016
Sonar,34,20009,local,2016
Sudhi,14,20009,local,2016
Sunuwar,250,20009,local,2016
Tamang,5424,20009,local,2016
Teli,13,20009,local,2016
Thakuri,271,20009,local,2016
Brahman - Hill,1432,20003,local,2016
Chhetri,3552,20003,local,2016
Damai/Dholi,1087,20003,local,2016
Gharti/Bhujel,820,20003,local,2016
Gurung,114,20003,local,2016
Hayu,415,20003,local,2016
Kami,769,20003,local,2016
Magar,3996,20003,local,2016
Majhi,516,20003,local,2016
Newar,1883,20003,local,2016
Others,54,20003,local,2016
Pahari,27,20003,local,2016
Rai,155,20003,local,2016
Sanyasi/Dasnami,104,20003,local,2016
Sarki,2096,20003,local,2016
Sudhi,58,20003,local,2016
Sunuwar,386,20003,local,2016
Tamang,1275,20003,local,2016
Teli,16,20003,local,2016
Thakuri,574,20003,local,2016
Badi,29,20005,local,2016
Bantaba,12,20005,local,2016
Baraee,12,20005,local,2016
Bhote,189,20005,local,2016
Brahman - Hill,6477,20005,local,2016
Brahman - Tarai,19,20005,local,2016
Chhetri,12786,20005,local,2016
Dalit Others,12,20005,local,2016
Damai/Dholi,2072,20005,local,2016
Danuwar,1363,20005,local,2016
Dhanuk,25,20005,local,2016
Gharti/Bhujel,1399,20005,local,2016
Gurung,140,20005,local,2016
Hajam/Thakur,89,20005,local,2016
Halwai,40,20005,local,2016
Hayu,887,20005,local,2016
Kalwar,205,20005,local,2016
Kami,3035,20005,local,2016
Kanu,39,20005,local,2016
Kathabaniyan,99,20005,local,2016
Kayastha,36,20005,local,2016
Koiri/Kushwaha,24,20005,local,2016
Kumal,12,20005,local,2016
Limbu,19,20005,local,2016
Lohar,18,20005,local,2016
Magar,7373,20005,local,2016
Majhi,2271,20005,local,2016
Musalman,50,20005,local,2016
Newar,6633,20005,local,2016
Others,127,20005,local,2016
Pahari,35,20005,local,2016
Rai,196,20005,local,2016
Rajput,15,20005,local,2016
Sanyasi/Dasnami,487,20005,local,2016
Sarki,2419,20005,local,2016
Sherpa,22,20005,local,2016
Sonar,145,20005,local,2016
Sudhi,143,20005,local,2016
Sunuwar,687,20005,local,2016
Tamang,14099,20005,local,2016
Teli,70,20005,local,2016
Thakuri,344,20005,local,2016
Thami,88,20005,local,2016
Tharu,70,20005,local,2016
Undefined Others,24,20005,local,2016
Yadav,31,20005,local,2016
Yakkha,19,20005,local,2016
Badi,70,66,district,2016
Bhote,213,66,district,2016
Brahman - Hill,29474,66,district,2016
Chhetri,51850,66,district,2016
Dalit Others,121,66,district,2016
Damai/Dholi,5431,66,district,2016
Danuwar,3610,66,district,2016
Foreigner,221,66,district,2016
Ghale,634,66,district,2016
Gharti/Bhujel,2618,66,district,2016
Gurung,2879,66,district,2016
Hajam/Thakur,46,66,district,2016
Hyolmo,4816,66,district,2016
Jirel,253,66,district,2016
Kalwar,20,66,district,2016
Kami,11133,66,district,2016
Limbu,12,66,district,2016
Magar,4838,66,district,2016
Majhi,6571,66,district,2016
Newar,31807,66,district,2016
Others,888,66,district,2016
Pahari,1865,66,district,2016
Rai,126,66,district,2016
Sanyasi/Dasnami,10374,66,district,2016
Sarki,4375,66,district,2016
Sherpa,7418,66,district,2016
Sonar,33,66,district,2016
Sunuwar,19,66,district,2016
Tamang,98239,66,district,2016
Teli,69,66,district,2016
Terai Others,38,66,district,2016
Thakuri,629,66,district,2016
Thami,4876,66,district,2016
Tharu,97,66,district,2016
Undefined Others,35,66,district,2016
Yadav,72,66,district,2016
Brahman - Hill,1904,23011,local,2016
Chhetri,7206,23011,local,2016
Damai/Dholi,355,23011,local,2016
Gharti/Bhujel,364,23011,local,2016
Kami,969,23011,local,2016
Magar,284,23011,local,2016
Majhi,538,23011,local,2016
Newar,473,23011,local,2016
Others,50,23011,local,2016
Pahari,1259,23011,local,2016
Sanyasi/Dasnami,108,23011,local,2016
Sarki,669,23011,local,2016
Tamang,2842,23011,local,2016
Terai Others,25,23011,local,2016
Thakuri,65,23011,local,2016
Thami,135,23011,local,2016
Brahman - Hill,521,23008,local,2016
