foundation type,total,geo_code,geo_level
Not Stated about House,1540,16016,local
Others,1718,16016,local
Rcc with Pillar,4511,16016,local
Wooden Pillar,77563,16016,local
Cement Bonded Bricks/Stone,26028,16002,local
Mud Bonded Bricks/Stone,6569,16002,local
Not Stated about House,1540,16002,local
Others,1718,16002,local
Rcc with Pillar,4511,16002,local
Wooden Pillar,77563,16002,local
Cement Bonded Bricks/Stone,26028,16017,local
Mud Bonded Bricks/Stone,6569,16017,local
Not Stated about House,1540,16017,local
Others,1718,16017,local
Rcc with Pillar,4511,16017,local
Wooden Pillar,77563,16017,local
Cement Bonded Bricks/Stone,24855,40,district
Mud Bonded Bricks/Stone,4507,40,district
Not Stated about House,833,40,district
Others,1368,40,district
Rcc with Pillar,3672,40,district
Wooden Pillar,76063,40,district
Cement Bonded Bricks/Stone,24855,18012,local
Mud Bonded Bricks/Stone,4507,18012,local
Not Stated about House,833,18012,local
Others,1368,18012,local
Rcc with Pillar,3672,18012,local
Wooden Pillar,76063,18012,local
Cement Bonded Bricks/Stone,24855,18002,local
Mud Bonded Bricks/Stone,4507,18002,local
Not Stated about House,833,18002,local
Others,1368,18002,local
Rcc with Pillar,3672,18002,local
Wooden Pillar,76063,18002,local
Cement Bonded Bricks/Stone,24855,18014,local
Mud Bonded Bricks/Stone,4507,18014,local
Not Stated about House,833,18014,local
Others,1368,18014,local
Rcc with Pillar,3672,18014,local
Wooden Pillar,76063,18014,local
Cement Bonded Bricks/Stone,24855,18013,local
Mud Bonded Bricks/Stone,4507,18013,local
Not Stated about House,833,18013,local
Others,1368,18013,local
Rcc with Pillar,3672,18013,local
Wooden Pillar,76063,18013,local
Cement Bonded Bricks/Stone,24855,18003,local
Mud Bonded Bricks/Stone,4507,18003,local
Not Stated about House,833,18003,local
Others,1368,18003,local
Rcc with Pillar,3672,18003,local
Wooden Pillar,76063,18003,local
Cement Bonded Bricks/Stone,24855,18007,local
Mud Bonded Bricks/Stone,4507,18007,local
Not Stated about House,833,18007,local
Others,1368,18007,local
Rcc with Pillar,3672,18007,local
Wooden Pillar,76063,18007,local
Cement Bonded Bricks/Stone,24855,18005,local
Mud Bonded Bricks/Stone,4507,18005,local
Not Stated about House,833,18005,local
Others,1368,18005,local
Rcc with Pillar,3672,18005,local
Wooden Pillar,76063,18005,local
Cement Bonded Bricks/Stone,24855,18008,local
Mud Bonded Bricks/Stone,4507,18008,local
Not Stated about House,833,18008,local
Others,1368,18008,local
Rcc with Pillar,3672,18008,local
Wooden Pillar,76063,18008,local
Cement Bonded Bricks/Stone,24855,18009,local
Mud Bonded Bricks/Stone,4507,18009,local
Not Stated about House,833,18009,local
Others,1368,18009,local
Rcc with Pillar,3672,18009,local
Wooden Pillar,76063,18009,local
Cement Bonded Bricks/Stone,24855,18004,local
Mud Bonded Bricks/Stone,4507,18004,local
Not Stated about House,833,18004,local
Others,1368,18004,local
Rcc with Pillar,3672,18004,local
Wooden Pillar,76063,18004,local
Cement Bonded Bricks/Stone,24855,18006,local
Mud Bonded Bricks/Stone,4507,18006,local
Not Stated about House,833,18006,local
Others,1368,18006,local
Rcc with Pillar,3672,18006,local
Wooden Pillar,76063,18006,local
Cement Bonded Bricks/Stone,24855,18011,local
Mud Bonded Bricks/Stone,4507,18011,local
Not Stated about House,833,18011,local
Others,1368,18011,local
Rcc with Pillar,3672,18011,local
Wooden Pillar,76063,18011,local
Cement Bonded Bricks/Stone,24855,18015,local
Mud Bonded Bricks/Stone,4507,18015,local
Not Stated about House,833,18015,local
Others,1368,18015,local
Rcc with Pillar,3672,18015,local
Wooden Pillar,76063,18015,local
Cement Bonded Bricks/Stone,24855,18010,local
Mud Bonded Bricks/Stone,4507,18010,local
Not Stated about House,833,18010,local
Others,1368,18010,local
Rcc with Pillar,3672,18010,local
Wooden Pillar,76063,18010,local
Cement Bonded Bricks/Stone,24855,18001,local
Mud Bonded Bricks/Stone,4507,18001,local
Not Stated about House,833,18001,local
Others,1368,18001,local
Rcc with Pillar,3672,18001,local
Wooden Pillar,76063,18001,local
Cement Bonded Bricks/Stone,30900,53,district
Mud Bonded Bricks/Stone,2651,53,district
Not Stated about House,1337,53,district
Others,512,53,district
Rcc with Pillar,5376,53,district
Wooden Pillar,54740,53,district
Cement Bonded Bricks/Stone,30900,34008,local
Mud Bonded Bricks/Stone,2651,34008,local
Not Stated about House,1337,34008,local
Others,512,34008,local
Rcc with Pillar,5376,34008,local
Wooden Pillar,54740,34008,local
Cement Bonded Bricks/Stone,30900,34006,local
Mud Bonded Bricks/Stone,2651,34006,local
Not Stated about House,1337,34006,local
Others,512,34006,local
Rcc with Pillar,5376,34006,local
Wooden Pillar,54740,34006,local
Cement Bonded Bricks/Stone,30900,34005,local
Mud Bonded Bricks/Stone,2651,34005,local
Not Stated about House,1337,34005,local
Others,512,34005,local
Rcc with Pillar,5376,34005,local
Wooden Pillar,54740,34005,local
Cement Bonded Bricks/Stone,30900,34007,local
Mud Bonded Bricks/Stone,2651,34007,local
Not Stated about House,1337,34007,local
Others,512,34007,local
Rcc with Pillar,5376,34007,local
Wooden Pillar,54740,34007,local
Cement Bonded Bricks/Stone,30900,34003,local
Mud Bonded Bricks/Stone,2651,34003,local
Not Stated about House,1337,34003,local
Others,512,34003,local
Rcc with Pillar,5376,34003,local
Wooden Pillar,54740,34003,local
Cement Bonded Bricks/Stone,30900,34011,local
Mud Bonded Bricks/Stone,2651,34011,local
Not Stated about House,1337,34011,local
Others,512,34011,local
Rcc with Pillar,5376,34011,local
Wooden Pillar,54740,34011,local
Cement Bonded Bricks/Stone,30900,34012,local
Mud Bonded Bricks/Stone,2651,34012,local
Not Stated about House,1337,34012,local
Others,512,34012,local
Rcc with Pillar,5376,34012,local
Wooden Pillar,54740,34012,local
Cement Bonded Bricks/Stone,30900,34002,local
Mud Bonded Bricks/Stone,2651,34002,local
Not Stated about House,1337,34002,local
Others,512,34002,local
Rcc with Pillar,5376,34002,local
Wooden Pillar,54740,34002,local
Cement Bonded Bricks/Stone,30900,34014,local
Mud Bonded Bricks/Stone,2651,34014,local
Not Stated about House,1337,34014,local
Others,512,34014,local
Rcc with Pillar,5376,34014,local
Wooden Pillar,54740,34014,local
Cement Bonded Bricks/Stone,30900,34004,local
Mud Bonded Bricks/Stone,2651,34004,local
Not Stated about House,1337,34004,local
Others,512,34004,local
Rcc with Pillar,5376,34004,local
Wooden Pillar,54740,34004,local
Cement Bonded Bricks/Stone,30900,34001,local
Mud Bonded Bricks/Stone,2651,34001,local
Not Stated about House,1337,34001,local
Others,512,34001,local
Rcc with Pillar,5376,34001,local
Wooden Pillar,54740,34001,local
Cement Bonded Bricks/Stone,30900,34010,local
Mud Bonded Bricks/Stone,2651,34010,local
Not Stated about House,1337,34010,local
Others,512,34010,local
Rcc with Pillar,5376,34010,local
Wooden Pillar,54740,34010,local
Cement Bonded Bricks/Stone,30900,34013,local
Mud Bonded Bricks/Stone,2651,34013,local
Not Stated about House,1337,34013,local
Others,512,34013,local
Rcc with Pillar,5376,34013,local
Wooden Pillar,54740,34013,local
Cement Bonded Bricks/Stone,30900,34009,local
Mud Bonded Bricks/Stone,2651,34009,local
Not Stated about House,1337,34009,local
Others,512,34009,local
Rcc with Pillar,5376,34009,local
Wooden Pillar,54740,34009,local
Cement Bonded Bricks/Stone,22682,63,district
Mud Bonded Bricks/Stone,8584,63,district
Not Stated about House,2262,63,district
Others,4498,63,district
Rcc with Pillar,4273,63,district
Wooden Pillar,78765,63,district
Cement Bonded Bricks/Stone,22682,15002,local
Mud Bonded Bricks/Stone,8584,15002,local
Not Stated about House,2262,15002,local
Others,4498,15002,local
Rcc with Pillar,4273,15002,local
Wooden Pillar,78765,15002,local
Cement Bonded Bricks/Stone,22682,15005,local
Mud Bonded Bricks/Stone,8584,15005,local
Not Stated about House,2262,15005,local
Others,4498,15005,local
Rcc with Pillar,4273,15005,local
Wooden Pillar,78765,15005,local
Cement Bonded Bricks/Stone,22682,15007,local
Mud Bonded Bricks/Stone,8584,15007,local
Not Stated about House,2262,15007,local
Others,4498,15007,local
Rcc with Pillar,4273,15007,local
Wooden Pillar,78765,15007,local
Cement Bonded Bricks/Stone,22682,15010,local
Mud Bonded Bricks/Stone,8584,15010,local
Not Stated about House,2262,15010,local
Others,4498,15010,local
Rcc with Pillar,4273,15010,local
Wooden Pillar,78765,15010,local
Cement Bonded Bricks/Stone,22682,15004,local
Mud Bonded Bricks/Stone,8584,15004,local
Not Stated about House,2262,15004,local
Others,4498,15004,local
Rcc with Pillar,4273,15004,local
Wooden Pillar,78765,15004,local
Cement Bonded Bricks/Stone,22682,15008,local
Mud Bonded Bricks/Stone,8584,15008,local
Not Stated about House,2262,15008,local
Others,4498,15008,local
Rcc with Pillar,4273,15008,local
Wooden Pillar,78765,15008,local
Cement Bonded Bricks/Stone,22682,15003,local
Mud Bonded Bricks/Stone,8584,15003,local
Not Stated about House,2262,15003,local
Others,4498,15003,local
Rcc with Pillar,4273,15003,local
Wooden Pillar,78765,15003,local
Cement Bonded Bricks/Stone,22682,15018,local
Mud Bonded Bricks/Stone,8584,15018,local
Not Stated about House,2262,15018,local
Others,4498,15018,local
Rcc with Pillar,4273,15018,local
Wooden Pillar,78765,15018,local
Cement Bonded Bricks/Stone,22682,15012,local
Mud Bonded Bricks/Stone,8584,15012,local
Not Stated about House,2262,15012,local
Others,4498,15012,local
Rcc with Pillar,4273,15012,local
Wooden Pillar,78765,15012,local
Cement Bonded Bricks/Stone,22682,15001,local
Mud Bonded Bricks/Stone,8584,15001,local
Not Stated about House,2262,15001,local
Others,4498,15001,local
Rcc with Pillar,4273,15001,local
Wooden Pillar,78765,15001,local
Cement Bonded Bricks/Stone,22682,15016,local
Mud Bonded Bricks/Stone,8584,15016,local
Not Stated about House,2262,15016,local
Others,4498,15016,local
Rcc with Pillar,4273,15016,local
Wooden Pillar,78765,15016,local
Cement Bonded Bricks/Stone,22682,15013,local
Mud Bonded Bricks/Stone,8584,15013,local
Not Stated about House,2262,15013,local
Others,4498,15013,local
Rcc with Pillar,4273,15013,local
Wooden Pillar,78765,15013,local
Cement Bonded Bricks/Stone,22682,15017,local
Mud Bonded Bricks/Stone,8584,15017,local
Not Stated about House,2262,15017,local
Others,4498,15017,local
Rcc with Pillar,4273,15017,local
Wooden Pillar,78765,15017,local
Cement Bonded Bricks/Stone,22682,15015,local
Mud Bonded Bricks/Stone,8584,15015,local
Not Stated about House,2262,15015,local
Others,4498,15015,local
Rcc with Pillar,4273,15015,local
Wooden Pillar,78765,15015,local
Cement Bonded Bricks/Stone,22682,15014,local
Mud Bonded Bricks/Stone,8584,15014,local
Not Stated about House,2262,15014,local
Others,4498,15014,local
Rcc with Pillar,4273,15014,local
Wooden Pillar,78765,15014,local
Cement Bonded Bricks/Stone,22682,15011,local
Mud Bonded Bricks/Stone,8584,15011,local
Not Stated about House,2262,15011,local
Others,4498,15011,local
Rcc with Pillar,4273,15011,local
Wooden Pillar,78765,15011,local
Cement Bonded Bricks/Stone,22682,15009,local
Mud Bonded Bricks/Stone,8584,15009,local
Not Stated about House,2262,15009,local
Others,4498,15009,local
Rcc with Pillar,4273,15009,local
Wooden Pillar,78765,15009,local
Cement Bonded Bricks/Stone,22682,15006,local
Mud Bonded Bricks/Stone,8584,15006,local
Not Stated about House,2262,15006,local
Others,4498,15006,local
Rcc with Pillar,4273,15006,local
Wooden Pillar,78765,15006,local
Cement Bonded Bricks/Stone,17256,57,district
Mud Bonded Bricks/Stone,15443,57,district
Not Stated about House,2194,57,district
Others,2089,57,district
Rcc with Pillar,3129,57,district
Wooden Pillar,66541,57,district
Cement Bonded Bricks/Stone,17256,32002,local
Mud Bonded Bricks/Stone,15443,32002,local
Not Stated about House,2194,32002,local
Others,2089,32002,local
Rcc with Pillar,3129,32002,local
Wooden Pillar,66541,32002,local
Cement Bonded Bricks/Stone,17256,32001,local
Mud Bonded Bricks/Stone,15443,32001,local
Not Stated about House,2194,32001,local
Others,2089,32001,local
Rcc with Pillar,3129,32001,local
Wooden Pillar,66541,32001,local
Cement Bonded Bricks/Stone,17256,32005,local
Mud Bonded Bricks/Stone,15443,32005,local
Not Stated about House,2194,32005,local
Others,2089,32005,local
Rcc with Pillar,3129,32005,local
Wooden Pillar,66541,32005,local
Cement Bonded Bricks/Stone,17256,32003,local
Mud Bonded Bricks/Stone,15443,32003,local
Not Stated about House,2194,32003,local
Others,2089,32003,local
Rcc with Pillar,3129,32003,local
Wooden Pillar,66541,32003,local
Cement Bonded Bricks/Stone,17256,32010,local
Mud Bonded Bricks/Stone,15443,32010,local
Not Stated about House,2194,32010,local
Others,2089,32010,local
Rcc with Pillar,3129,32010,local
Wooden Pillar,66541,32010,local
Cement Bonded Bricks/Stone,17256,32015,local
Mud Bonded Bricks/Stone,15443,32015,local
Not Stated about House,2194,32015,local
Others,2089,32015,local
Rcc with Pillar,3129,32015,local
Wooden Pillar,66541,32015,local
Cement Bonded Bricks/Stone,17256,32011,local
Mud Bonded Bricks/Stone,15443,32011,local
Not Stated about House,2194,32011,local
Others,2089,32011,local
Rcc with Pillar,3129,32011,local
Wooden Pillar,66541,32011,local
Cement Bonded Bricks/Stone,17256,32006,local
Mud Bonded Bricks/Stone,15443,32006,local
Not Stated about House,2194,32006,local
Others,2089,32006,local
Rcc with Pillar,3129,32006,local
Wooden Pillar,66541,32006,local
Cement Bonded Bricks/Stone,17256,32016,local
Mud Bonded Bricks/Stone,15443,32016,local
Not Stated about House,2194,32016,local
Others,2089,32016,local
Rcc with Pillar,3129,32016,local
Wooden Pillar,66541,32016,local
Cement Bonded Bricks/Stone,17256,32017,local
Mud Bonded Bricks/Stone,15443,32017,local
Not Stated about House,2194,32017,local
Others,2089,32017,local
Rcc with Pillar,3129,32017,local
Wooden Pillar,66541,32017,local
Cement Bonded Bricks/Stone,17256,32018,local
Mud Bonded Bricks/Stone,15443,32018,local
Not Stated about House,2194,32018,local
Others,2089,32018,local
Rcc with Pillar,3129,32018,local
Wooden Pillar,66541,32018,local
Cement Bonded Bricks/Stone,17256,32007,local
Mud Bonded Bricks/Stone,15443,32007,local
Not Stated about House,2194,32007,local
Others,2089,32007,local
Rcc with Pillar,3129,32007,local
Wooden Pillar,66541,32007,local
Cement Bonded Bricks/Stone,17256,32014,local
Mud Bonded Bricks/Stone,15443,32014,local
Not Stated about House,2194,32014,local
Others,2089,32014,local
Rcc with Pillar,3129,32014,local
Wooden Pillar,66541,32014,local
Cement Bonded Bricks/Stone,17256,32004,local
Mud Bonded Bricks/Stone,15443,32004,local
Not Stated about House,2194,32004,local
Others,2089,32004,local
Rcc with Pillar,3129,32004,local
Wooden Pillar,66541,32004,local
Cement Bonded Bricks/Stone,17256,32009,local
Mud Bonded Bricks/Stone,15443,32009,local
Not Stated about House,2194,32009,local
Others,2089,32009,local
Rcc with Pillar,3129,32009,local
Wooden Pillar,66541,32009,local
Cement Bonded Bricks/Stone,17256,32012,local
Mud Bonded Bricks/Stone,15443,32012,local
Not Stated about House,2194,32012,local
Others,2089,32012,local
Rcc with Pillar,3129,32012,local
Wooden Pillar,66541,32012,local
Cement Bonded Bricks/Stone,17256,32013,local
Mud Bonded Bricks/Stone,15443,32013,local
Not Stated about House,2194,32013,local
Others,2089,32013,local
Rcc with Pillar,3129,32013,local
Wooden Pillar,66541,32013,local
Cement Bonded Bricks/Stone,17256,32008,local
Mud Bonded Bricks/Stone,15443,32008,local
Not Stated about House,2194,32008,local
Others,2089,32008,local
Rcc with Pillar,3129,32008,local
Wooden Pillar,66541,32008,local
Cement Bonded Bricks/Stone,28788,08,district
Mud Bonded Bricks/Stone,12738,08,district
Not Stated about House,1472,08,district
Others,3487,08,district
Rcc with Pillar,5900,08,district
Wooden Pillar,56215,08,district
Cement Bonded Bricks/Stone,28788,33014,local
Mud Bonded Bricks/Stone,12738,33014,local
Not Stated about House,1472,33014,local
Others,3487,33014,local
Rcc with Pillar,5900,33014,local
Wooden Pillar,56215,33014,local
Cement Bonded Bricks/Stone,28788,33016,local
Mud Bonded Bricks/Stone,12738,33016,local
Not Stated about House,1472,33016,local
Others,3487,33016,local
Rcc with Pillar,5900,33016,local
Wooden Pillar,56215,33016,local
Cement Bonded Bricks/Stone,28788,33012,local
Mud Bonded Bricks/Stone,12738,33012,local
Not Stated about House,1472,33012,local
Others,3487,33012,local
Rcc with Pillar,5900,33012,local
Wooden Pillar,56215,33012,local
Cement Bonded Bricks/Stone,28788,33007,local
Mud Bonded Bricks/Stone,12738,33007,local
Not Stated about House,1472,33007,local
Others,3487,33007,local
Rcc with Pillar,5900,33007,local
Wooden Pillar,56215,33007,local
Cement Bonded Bricks/Stone,28788,33004,local
Mud Bonded Bricks/Stone,12738,33004,local
Not Stated about House,1472,33004,local
Others,3487,33004,local
Rcc with Pillar,5900,33004,local
Wooden Pillar,56215,33004,local
Cement Bonded Bricks/Stone,28788,33010,local
Mud Bonded Bricks/Stone,12738,33010,local
Not Stated about House,1472,33010,local
Others,3487,33010,local
Rcc with Pillar,5900,33010,local
Wooden Pillar,56215,33010,local
Cement Bonded Bricks/Stone,28788,33002,local
Mud Bonded Bricks/Stone,12738,33002,local
Not Stated about House,1472,33002,local
Others,3487,33002,local
Rcc with Pillar,5900,33002,local
Wooden Pillar,56215,33002,local
Cement Bonded Bricks/Stone,28788,33005,local
Mud Bonded Bricks/Stone,12738,33005,local
Not Stated about House,1472,33005,local
Others,3487,33005,local
Rcc with Pillar,5900,33005,local
Wooden Pillar,56215,33005,local
Cement Bonded Bricks/Stone,28788,33001,local
Mud Bonded Bricks/Stone,12738,33001,local
Not Stated about House,1472,33001,local
Others,3487,33001,local
Rcc with Pillar,5900,33001,local
Wooden Pillar,56215,33001,local
Cement Bonded Bricks/Stone,28788,33013,local
Mud Bonded Bricks/Stone,12738,33013,local
Not Stated about House,1472,33013,local
Others,3487,33013,local
Rcc with Pillar,5900,33013,local
Wooden Pillar,56215,33013,local
Cement Bonded Bricks/Stone,28788,33011,local
Mud Bonded Bricks/Stone,12738,33011,local
Not Stated about House,1472,33011,local
Others,3487,33011,local
Rcc with Pillar,5900,33011,local
Wooden Pillar,56215,33011,local
Cement Bonded Bricks/Stone,28788,33009,local
Mud Bonded Bricks/Stone,12738,33009,local
Not Stated about House,1472,33009,local
Others,3487,33009,local
Rcc with Pillar,5900,33009,local
Wooden Pillar,56215,33009,local
Cement Bonded Bricks/Stone,28788,33006,local
Mud Bonded Bricks/Stone,12738,33006,local
Not Stated about House,1472,33006,local
Others,3487,33006,local
Rcc with Pillar,5900,33006,local
Wooden Pillar,56215,33006,local
Cement Bonded Bricks/Stone,28788,33003,local
Mud Bonded Bricks/Stone,12738,33003,local
Not Stated about House,1472,33003,local
Others,3487,33003,local
Rcc with Pillar,5900,33003,local
Wooden Pillar,56215,33003,local
Cement Bonded Bricks/Stone,28788,33008,local
Mud Bonded Bricks/Stone,12738,33008,local
Not Stated about House,1472,33008,local
Others,3487,33008,local
Rcc with Pillar,5900,33008,local
Wooden Pillar,56215,33008,local
Cement Bonded Bricks/Stone,28788,33015,local
Mud Bonded Bricks/Stone,12738,33015,local
Not Stated about House,1472,33015,local
Others,3487,33015,local
Rcc with Pillar,5900,33015,local
Wooden Pillar,56215,33015,local
Cement Bonded Bricks/Stone,38206,19,district
Mud Bonded Bricks/Stone,8785,19,district
Not Stated about House,2959,19,district
Others,1275,19,district
Rcc with Pillar,5176,19,district
Wooden Pillar,81824,19,district
Cement Bonded Bricks/Stone,38206,17013,local
Mud Bonded Bricks/Stone,8785,17013,local
Not Stated about House,2959,17013,local
Others,1275,17013,local
Rcc with Pillar,5176,17013,local
Wooden Pillar,81824,17013,local
Cement Bonded Bricks/Stone,38206,17017,local
Mud Bonded Bricks/Stone,8785,17017,local
Not Stated about House,2959,17017,local
Others,1275,17017,local
Rcc with Pillar,5176,17017,local
Wooden Pillar,81824,17017,local
Cement Bonded Bricks/Stone,38206,17004,local
Mud Bonded Bricks/Stone,8785,17004,local
Not Stated about House,2959,17004,local
Others,1275,17004,local
Rcc with Pillar,5176,17004,local
Wooden Pillar,81824,17004,local
Cement Bonded Bricks/Stone,38206,17015,local
Mud Bonded Bricks/Stone,8785,17015,local
Not Stated about House,2959,17015,local
Others,1275,17015,local
Rcc with Pillar,5176,17015,local
Wooden Pillar,81824,17015,local
Cement Bonded Bricks/Stone,38206,17011,local
Mud Bonded Bricks/Stone,8785,17011,local
Not Stated about House,2959,17011,local
Others,1275,17011,local
Rcc with Pillar,5176,17011,local
Wooden Pillar,81824,17011,local
Cement Bonded Bricks/Stone,38206,17016,local
Mud Bonded Bricks/Stone,8785,17016,local
Not Stated about House,2959,17016,local
Others,1275,17016,local
Rcc with Pillar,5176,17016,local
Wooden Pillar,81824,17016,local
Cement Bonded Bricks/Stone,38206,17006,local
Mud Bonded Bricks/Stone,8785,17006,local
Not Stated about House,2959,17006,local
Others,1275,17006,local
Rcc with Pillar,5176,17006,local
Wooden Pillar,81824,17006,local
Cement Bonded Bricks/Stone,38206,17018,local
Mud Bonded Bricks/Stone,8785,17018,local
Not Stated about House,2959,17018,local
Others,1275,17018,local
Rcc with Pillar,5176,17018,local
Wooden Pillar,81824,17018,local
Cement Bonded Bricks/Stone,38206,17007,local
Mud Bonded Bricks/Stone,8785,17007,local
Not Stated about House,2959,17007,local
Others,1275,17007,local
Rcc with Pillar,5176,17007,local
Wooden Pillar,81824,17007,local
Cement Bonded Bricks/Stone,38206,17014,local
Mud Bonded Bricks/Stone,8785,17014,local
Not Stated about House,2959,17014,local
Others,1275,17014,local
Rcc with Pillar,5176,17014,local
Wooden Pillar,81824,17014,local
Cement Bonded Bricks/Stone,38206,17012,local
Mud Bonded Bricks/Stone,8785,17012,local
Not Stated about House,2959,17012,local
Others,1275,17012,local
Rcc with Pillar,5176,17012,local
Wooden Pillar,81824,17012,local
Cement Bonded Bricks/Stone,38206,17005,local
Mud Bonded Bricks/Stone,8785,17005,local
Not Stated about House,2959,17005,local
Others,1275,17005,local
Rcc with Pillar,5176,17005,local
Wooden Pillar,81824,17005,local
Cement Bonded Bricks/Stone,38206,17001,local
Mud Bonded Bricks/Stone,8785,17001,local
Not Stated about House,2959,17001,local
Others,1275,17001,local
Rcc with Pillar,5176,17001,local
Wooden Pillar,81824,17001,local
Cement Bonded Bricks/Stone,38206,17009,local
Mud Bonded Bricks/Stone,8785,17009,local
Not Stated about House,2959,17009,local
Others,1275,17009,local
Rcc with Pillar,5176,17009,local
Wooden Pillar,81824,17009,local
Cement Bonded Bricks/Stone,38206,17010,local
Mud Bonded Bricks/Stone,8785,17010,local
Not Stated about House,2959,17010,local
Others,1275,17010,local
Rcc with Pillar,5176,17010,local
Wooden Pillar,81824,17010,local
Cement Bonded Bricks/Stone,38206,17008,local
Mud Bonded Bricks/Stone,8785,17008,local
Not Stated about House,2959,17008,local
Others,1275,17008,local
Rcc with Pillar,5176,17008,local
Wooden Pillar,81824,17008,local
Cement Bonded Bricks/Stone,38206,17003,local
Mud Bonded Bricks/Stone,8785,17003,local
Not Stated about House,2959,17003,local
Others,1275,17003,local
Rcc with Pillar,5176,17003,local
Wooden Pillar,81824,17003,local
Cement Bonded Bricks/Stone,38206,17002,local
Mud Bonded Bricks/Stone,8785,17002,local
Not Stated about House,2959,17002,local
Others,1275,17002,local
Rcc with Pillar,5176,17002,local
Wooden Pillar,81824,17002,local
Cement Bonded Bricks/Stone,58760,7,province
Mud Bonded Bricks/Stone,266687,7,province
Not Stated about House,3843,7,province
Others,1424,7,province
Rcc with Pillar,5741,7,province
Wooden Pillar,133248,7,province
Cement Bonded Bricks/Stone,749,04,district
Mud Bonded Bricks/Stone,43972,04,district
Not Stated about House,293,04,district
Others,2,04,district
Rcc with Pillar,104,04,district
Wooden Pillar,47,04,district
Cement Bonded Bricks/Stone,749,74005,local
Mud Bonded Bricks/Stone,43972,74005,local
Not Stated about House,293,74005,local
Others,2,74005,local
Rcc with Pillar,104,74005,local
Wooden Pillar,47,74005,local
Cement Bonded Bricks/Stone,749,74008,local
Mud Bonded Bricks/Stone,43972,74008,local
Not Stated about House,293,74008,local
Others,2,74008,local
Rcc with Pillar,104,74008,local
Wooden Pillar,47,74008,local
Cement Bonded Bricks/Stone,749,74010,local
Mud Bonded Bricks/Stone,43972,74010,local
Not Stated about House,293,74010,local
Others,2,74010,local
Rcc with Pillar,104,74010,local
Wooden Pillar,47,74010,local
Cement Bonded Bricks/Stone,749,74009,local
Mud Bonded Bricks/Stone,43972,74009,local
Not Stated about House,293,74009,local
Others,2,74009,local
Rcc with Pillar,104,74009,local
Wooden Pillar,47,74009,local
Cement Bonded Bricks/Stone,749,74007,local
Mud Bonded Bricks/Stone,43972,74007,local
Not Stated about House,293,74007,local
Others,2,74007,local
Rcc with Pillar,104,74007,local
Wooden Pillar,47,74007,local
Cement Bonded Bricks/Stone,749,74003,local
Mud Bonded Bricks/Stone,43972,74003,local
Not Stated about House,293,74003,local
Others,2,74003,local
Rcc with Pillar,104,74003,local
Wooden Pillar,47,74003,local
Cement Bonded Bricks/Stone,749,74004,local
Mud Bonded Bricks/Stone,43972,74004,local
Not Stated about House,293,74004,local
Others,2,74004,local
Rcc with Pillar,104,74004,local
Wooden Pillar,47,74004,local
Cement Bonded Bricks/Stone,749,74001,local
Mud Bonded Bricks/Stone,43972,74001,local
Not Stated about House,293,74001,local
Others,2,74001,local
Rcc with Pillar,104,74001,local
Wooden Pillar,47,74001,local
Cement Bonded Bricks/Stone,749,74002,local
Mud Bonded Bricks/Stone,43972,74002,local
Not Stated about House,293,74002,local
Others,2,74002,local
Rcc with Pillar,104,74002,local
Wooden Pillar,47,74002,local
Cement Bonded Bricks/Stone,749,74006,local
Mud Bonded Bricks/Stone,43972,74006,local
Not Stated about House,293,74006,local
Others,2,74006,local
Rcc with Pillar,104,74006,local
Wooden Pillar,47,74006,local
Cement Bonded Bricks/Stone,2112,16,district
Mud Bonded Bricks/Stone,21898,16,district
Not Stated about House,126,16,district
Others,58,16,district
Rcc with Pillar,346,16,district
Wooden Pillar,64,16,district
Cement Bonded Bricks/Stone,2112,75005,local
Mud Bonded Bricks/Stone,21898,75005,local
Not Stated about House,126,75005,local
Others,58,75005,local
Rcc with Pillar,346,75005,local
Wooden Pillar,64,75005,local
Cement Bonded Bricks/Stone,2112,75009,local
Mud Bonded Bricks/Stone,21898,75009,local
Not Stated about House,126,75009,local
Others,58,75009,local
Rcc with Pillar,346,75009,local
Wooden Pillar,64,75009,local
Cement Bonded Bricks/Stone,2112,75001,local
Mud Bonded Bricks/Stone,21898,75001,local
Not Stated about House,126,75001,local
Others,58,75001,local
Rcc with Pillar,346,75001,local
Wooden Pillar,64,75001,local
Cement Bonded Bricks/Stone,2112,75008,local
Mud Bonded Bricks/Stone,21898,75008,local
Not Stated about House,126,75008,local
Others,58,75008,local
Rcc with Pillar,346,75008,local
Wooden Pillar,64,75008,local
Cement Bonded Bricks/Stone,2112,75002,local
Mud Bonded Bricks/Stone,21898,75002,local
Not Stated about House,126,75002,local
Others,58,75002,local
Rcc with Pillar,346,75002,local
Wooden Pillar,64,75002,local
Cement Bonded Bricks/Stone,2112,75004,local
Mud Bonded Bricks/Stone,21898,75004,local
Not Stated about House,126,75004,local
Others,58,75004,local
Rcc with Pillar,346,75004,local
Wooden Pillar,64,75004,local
Cement Bonded Bricks/Stone,2112,75006,local
Mud Bonded Bricks/Stone,21898,75006,local
Not Stated about House,126,75006,local
Others,58,75006,local
Rcc with Pillar,346,75006,local
Wooden Pillar,64,75006,local
Cement Bonded Bricks/Stone,2112,75003,local
Mud Bonded Bricks/Stone,21898,75003,local
Not Stated about House,126,75003,local
Others,58,75003,local
Rcc with Pillar,346,75003,local
Wooden Pillar,64,75003,local
