foundation type,total,geo_code,geo_level
Rcc with Pillar,174916,27002,local
Wooden Pillar,2522,27002,local
Cement Bonded Bricks/Stone,165677,27005,local
Mud Bonded Bricks/Stone,80811,27005,local
Not Stated about House,10375,27005,local
Others,1243,27005,local
Rcc with Pillar,174916,27005,local
Wooden Pillar,2522,27005,local
Cement Bonded Bricks/Stone,165677,27001,local
Mud Bonded Bricks/Stone,80811,27001,local
Not Stated about House,10375,27001,local
Others,1243,27001,local
Rcc with Pillar,174916,27001,local
Wooden Pillar,2522,27001,local
Cement Bonded Bricks/Stone,165677,27004,local
Mud Bonded Bricks/Stone,80811,27004,local
Not Stated about House,10375,27004,local
Others,1243,27004,local
Rcc with Pillar,174916,27004,local
Wooden Pillar,2522,27004,local
Cement Bonded Bricks/Stone,165677,27003,local
Mud Bonded Bricks/Stone,80811,27003,local
Not Stated about House,10375,27003,local
Others,1243,27003,local
Rcc with Pillar,174916,27003,local
Wooden Pillar,2522,27003,local
Cement Bonded Bricks/Stone,165677,27008,local
Mud Bonded Bricks/Stone,80811,27008,local
Not Stated about House,10375,27008,local
Others,1243,27008,local
Rcc with Pillar,174916,27008,local
Wooden Pillar,2522,27008,local
Cement Bonded Bricks/Stone,165677,27009,local
Mud Bonded Bricks/Stone,80811,27009,local
Not Stated about House,10375,27009,local
Others,1243,27009,local
Rcc with Pillar,174916,27009,local
Wooden Pillar,2522,27009,local
Cement Bonded Bricks/Stone,165677,27007,local
Mud Bonded Bricks/Stone,80811,27007,local
Not Stated about House,10375,27007,local
Others,1243,27007,local
Rcc with Pillar,174916,27007,local
Wooden Pillar,2522,27007,local
Cement Bonded Bricks/Stone,165677,27010,local
Mud Bonded Bricks/Stone,80811,27010,local
Not Stated about House,10375,27010,local
Others,1243,27010,local
Rcc with Pillar,174916,27010,local
Wooden Pillar,2522,27010,local
Cement Bonded Bricks/Stone,165677,27011,local
Mud Bonded Bricks/Stone,80811,27011,local
Not Stated about House,10375,27011,local
Others,1243,27011,local
Rcc with Pillar,174916,27011,local
Wooden Pillar,2522,27011,local
Cement Bonded Bricks/Stone,434,55,district
Mud Bonded Bricks/Stone,42327,55,district
Not Stated about House,484,55,district
Others,29,55,district
Rcc with Pillar,287,55,district
Wooden Pillar,322,55,district
Cement Bonded Bricks/Stone,434,21008,local
Mud Bonded Bricks/Stone,42327,21008,local
Not Stated about House,484,21008,local
Others,29,21008,local
Rcc with Pillar,287,21008,local
Wooden Pillar,322,21008,local
Cement Bonded Bricks/Stone,434,21005,local
Mud Bonded Bricks/Stone,42327,21005,local
Not Stated about House,484,21005,local
Others,29,21005,local
Rcc with Pillar,287,21005,local
Wooden Pillar,322,21005,local
Cement Bonded Bricks/Stone,434,21001,local
Mud Bonded Bricks/Stone,42327,21001,local
Not Stated about House,484,21001,local
Others,29,21001,local
Rcc with Pillar,287,21001,local
Wooden Pillar,322,21001,local
Cement Bonded Bricks/Stone,434,21002,local
Mud Bonded Bricks/Stone,42327,21002,local
Not Stated about House,484,21002,local
Others,29,21002,local
Rcc with Pillar,287,21002,local
Wooden Pillar,322,21002,local
Cement Bonded Bricks/Stone,434,21007,local
Mud Bonded Bricks/Stone,42327,21007,local
Not Stated about House,484,21007,local
Others,29,21007,local
Rcc with Pillar,287,21007,local
Wooden Pillar,322,21007,local
Cement Bonded Bricks/Stone,434,21004,local
Mud Bonded Bricks/Stone,42327,21004,local
Not Stated about House,484,21004,local
Others,29,21004,local
Rcc with Pillar,287,21004,local
Wooden Pillar,322,21004,local
Cement Bonded Bricks/Stone,434,21003,local
Mud Bonded Bricks/Stone,42327,21003,local
Not Stated about House,484,21003,local
Others,29,21003,local
Rcc with Pillar,287,21003,local
Wooden Pillar,322,21003,local
Cement Bonded Bricks/Stone,434,21006,local
Mud Bonded Bricks/Stone,42327,21006,local
Not Stated about House,484,21006,local
Others,29,21006,local
Rcc with Pillar,287,21006,local
Wooden Pillar,322,21006,local
Cement Bonded Bricks/Stone,2056,48,district
Mud Bonded Bricks/Stone,55189,48,district
Not Stated about House,619,48,district
Others,26,48,district
Rcc with Pillar,1155,48,district
Wooden Pillar,149,48,district
Cement Bonded Bricks/Stone,2056,28009,local
Mud Bonded Bricks/Stone,55189,28009,local
Not Stated about House,619,28009,local
Others,26,28009,local
Rcc with Pillar,1155,28009,local
Wooden Pillar,149,28009,local
Cement Bonded Bricks/Stone,2056,28002,local
Mud Bonded Bricks/Stone,55189,28002,local
Not Stated about House,619,28002,local
Others,26,28002,local
Rcc with Pillar,1155,28002,local
Wooden Pillar,149,28002,local
Cement Bonded Bricks/Stone,2056,28008,local
Mud Bonded Bricks/Stone,55189,28008,local
Not Stated about House,619,28008,local
Others,26,28008,local
Rcc with Pillar,1155,28008,local
Wooden Pillar,149,28008,local
Cement Bonded Bricks/Stone,2056,28006,local
Mud Bonded Bricks/Stone,55189,28006,local
Not Stated about House,619,28006,local
Others,26,28006,local
Rcc with Pillar,1155,28006,local
Wooden Pillar,149,28006,local
Cement Bonded Bricks/Stone,2056,28011,local
Mud Bonded Bricks/Stone,55189,28011,local
Not Stated about House,619,28011,local
Others,26,28011,local
Rcc with Pillar,1155,28011,local
Wooden Pillar,149,28011,local
Cement Bonded Bricks/Stone,2056,28012,local
Mud Bonded Bricks/Stone,55189,28012,local
Not Stated about House,619,28012,local
Others,26,28012,local
Rcc with Pillar,1155,28012,local
Wooden Pillar,149,28012,local
Cement Bonded Bricks/Stone,2056,28003,local
Mud Bonded Bricks/Stone,55189,28003,local
Not Stated about House,619,28003,local
Others,26,28003,local
Rcc with Pillar,1155,28003,local
Wooden Pillar,149,28003,local
Cement Bonded Bricks/Stone,2056,28005,local
Mud Bonded Bricks/Stone,55189,28005,local
Not Stated about House,619,28005,local
Others,26,28005,local
Rcc with Pillar,1155,28005,local
Wooden Pillar,149,28005,local
Cement Bonded Bricks/Stone,2056,28010,local
Mud Bonded Bricks/Stone,55189,28010,local
Not Stated about House,619,28010,local
Others,26,28010,local
Rcc with Pillar,1155,28010,local
Wooden Pillar,149,28010,local
Cement Bonded Bricks/Stone,2056,28007,local
Mud Bonded Bricks/Stone,55189,28007,local
Not Stated about House,619,28007,local
Others,26,28007,local
Rcc with Pillar,1155,28007,local
Wooden Pillar,149,28007,local
Cement Bonded Bricks/Stone,2056,28001,local
Mud Bonded Bricks/Stone,55189,28001,local
Not Stated about House,619,28001,local
Others,26,28001,local
Rcc with Pillar,1155,28001,local
Wooden Pillar,149,28001,local
Cement Bonded Bricks/Stone,2056,28004,local
Mud Bonded Bricks/Stone,55189,28004,local
Not Stated about House,619,28004,local
Others,26,28004,local
Rcc with Pillar,1155,28004,local
Wooden Pillar,149,28004,local
Cement Bonded Bricks/Stone,3416,17,district
Mud Bonded Bricks/Stone,63985,17,district
Not Stated about House,445,17,district
Others,114,17,district
Rcc with Pillar,3958,17,district
Wooden Pillar,1924,17,district
Cement Bonded Bricks/Stone,3416,30010,local
Mud Bonded Bricks/Stone,63985,30010,local
Not Stated about House,445,30010,local
Others,114,30010,local
Rcc with Pillar,3958,30010,local
Wooden Pillar,1924,30010,local
Cement Bonded Bricks/Stone,3416,30007,local
Mud Bonded Bricks/Stone,63985,30007,local
Not Stated about House,445,30007,local
Others,114,30007,local
Rcc with Pillar,3958,30007,local
Wooden Pillar,1924,30007,local
Cement Bonded Bricks/Stone,3416,30004,local
Mud Bonded Bricks/Stone,63985,30004,local
Not Stated about House,445,30004,local
Others,114,30004,local
Rcc with Pillar,3958,30004,local
Wooden Pillar,1924,30004,local
Cement Bonded Bricks/Stone,3416,30009,local
Mud Bonded Bricks/Stone,63985,30009,local
Not Stated about House,445,30009,local
Others,114,30009,local
Rcc with Pillar,3958,30009,local
Wooden Pillar,1924,30009,local
Cement Bonded Bricks/Stone,3416,30011,local
Mud Bonded Bricks/Stone,63985,30011,local
Not Stated about House,445,30011,local
Others,114,30011,local
Rcc with Pillar,3958,30011,local
Wooden Pillar,1924,30011,local
Cement Bonded Bricks/Stone,3416,30005,local
Mud Bonded Bricks/Stone,63985,30005,local
Not Stated about House,445,30005,local
Others,114,30005,local
Rcc with Pillar,3958,30005,local
Wooden Pillar,1924,30005,local
Cement Bonded Bricks/Stone,3416,30008,local
Mud Bonded Bricks/Stone,63985,30008,local
Not Stated about House,445,30008,local
Others,114,30008,local
Rcc with Pillar,3958,30008,local
Wooden Pillar,1924,30008,local
Cement Bonded Bricks/Stone,3416,30003,local
Mud Bonded Bricks/Stone,63985,30003,local
Not Stated about House,445,30003,local
Others,114,30003,local
Rcc with Pillar,3958,30003,local
Wooden Pillar,1924,30003,local
Cement Bonded Bricks/Stone,3416,30006,local
Mud Bonded Bricks/Stone,63985,30006,local
Not Stated about House,445,30006,local
Others,114,30006,local
Rcc with Pillar,3958,30006,local
Wooden Pillar,1924,30006,local
Cement Bonded Bricks/Stone,3416,30013,local
