roof type,total,geo_code,geo_level,geo_version
Other Type of Roof,4,22004,local,2016
RCC Roof,6,22004,local,2016
Thatch/Straw Roof,144,22004,local,2016
Tile/Slate Roof,2273,22004,local,2016
Wood/Planks Roof,906,22004,local,2016
Galvanized Iron Plate,989,22006,local,2016
Mud Roof,0,22006,local,2016
Not Stated Roof,26,22006,local,2016
Other Type of Roof,8,22006,local,2016
RCC Roof,18,22006,local,2016
Thatch/Straw Roof,399,22006,local,2016
Tile/Slate Roof,3723,22006,local,2016
Wood/Planks Roof,294,22006,local,2016
Galvanized Iron Plate,1254,22005,local,2016
Mud Roof,0,22005,local,2016
Not Stated Roof,16,22005,local,2016
Other Type of Roof,6,22005,local,2016
RCC Roof,36,22005,local,2016
Thatch/Straw Roof,121,22005,local,2016
Tile/Slate Roof,1993,22005,local,2016
Wood/Planks Roof,428,22005,local,2016
Galvanized Iron Plate,2860,22007,local,2016
Mud Roof,0,22007,local,2016
Not Stated Roof,23,22007,local,2016
Other Type of Roof,22,22007,local,2016
RCC Roof,13,22007,local,2016
Thatch/Straw Roof,508,22007,local,2016
Tile/Slate Roof,1369,22007,local,2016
Wood/Planks Roof,46,22007,local,2016
Galvanized Iron Plate,1081,22001,local,2016
Mud Roof,3,22001,local,2016
Not Stated Roof,19,22001,local,2016
Other Type of Roof,25,22001,local,2016
RCC Roof,86,22001,local,2016
Thatch/Straw Roof,160,22001,local,2016
Tile/Slate Roof,3694,22001,local,2016
Wood/Planks Roof,11,22001,local,2016
Galvanized Iron Plate,39248,41,district,2016
Mud Roof,7,41,district,2016
Not Stated Roof,448,41,district,2016
Other Type of Roof,308,41,district,2016
RCC Roof,15042,41,district,2016
Thatch/Straw Roof,17140,41,district,2016
Tile/Slate Roof,13494,41,district,2016
Wood/Planks Roof,358,41,district,2016
Galvanized Iron Plate,6812,31010,local,2016
Mud Roof,1,31010,local,2016
Not Stated Roof,20,31010,local,2016
Other Type of Roof,161,31010,local,2016
RCC Roof,377,31010,local,2016
Thatch/Straw Roof,427,31010,local,2016
Tile/Slate Roof,1124,31010,local,2016
Wood/Planks Roof,6,31010,local,2016
Galvanized Iron Plate,1504,31006,local,2016
Mud Roof,0,31006,local,2016
Not Stated Roof,22,31006,local,2016
Other Type of Roof,4,31006,local,2016
RCC Roof,10,31006,local,2016
Thatch/Straw Roof,2562,31006,local,2016
Tile/Slate Roof,155,31006,local,2016
Wood/Planks Roof,6,31006,local,2016
Galvanized Iron Plate,3221,31003,local,2016
Mud Roof,1,31003,local,2016
Not Stated Roof,25,31003,local,2016
Other Type of Roof,6,31003,local,2016
RCC Roof,75,31003,local,2016
Thatch/Straw Roof,1312,31003,local,2016
Tile/Slate Roof,158,31003,local,2016
Wood/Planks Roof,12,31003,local,2016
Galvanized Iron Plate,1036,31001,local,2016
Mud Roof,0,31001,local,2016
Not Stated Roof,20,31001,local,2016
Other Type of Roof,8,31001,local,2016
RCC Roof,9,31001,local,2016
Thatch/Straw Roof,1909,31001,local,2016
Tile/Slate Roof,2724,31001,local,2016
Wood/Planks Roof,25,31001,local,2016
Galvanized Iron Plate,2121,31005,local,2016
Mud Roof,0,31005,local,2016
Not Stated Roof,11,31005,local,2016
Other Type of Roof,0,31005,local,2016
RCC Roof,32,31005,local,2016
Thatch/Straw Roof,463,31005,local,2016
Tile/Slate Roof,427,31005,local,2016
Wood/Planks Roof,0,31005,local,2016
Galvanized Iron Plate,2400,31002,local,2016
Mud Roof,1,31002,local,2016
Not Stated Roof,22,31002,local,2016
Other Type of Roof,5,31002,local,2016
RCC Roof,53,31002,local,2016
Thatch/Straw Roof,3071,31002,local,2016
Tile/Slate Roof,1944,31002,local,2016
Wood/Planks Roof,42,31002,local,2016
Galvanized Iron Plate,4612,31008,local,2016
Mud Roof,0,31008,local,2016
Not Stated Roof,18,31008,local,2016
Other Type of Roof,28,31008,local,2016
RCC Roof,392,31008,local,2016
Thatch/Straw Roof,1911,31008,local,2016
Tile/Slate Roof,894,31008,local,2016
Wood/Planks Roof,36,31008,local,2016
Galvanized Iron Plate,1411,31009,local,2016
Mud Roof,0,31009,local,2016
Not Stated Roof,7,31009,local,2016
Other Type of Roof,8,31009,local,2016
RCC Roof,4,31009,local,2016
Thatch/Straw Roof,2692,31009,local,2016
Tile/Slate Roof,355,31009,local,2016
Wood/Planks Roof,80,31009,local,2016
Galvanized Iron Plate,3400,31007,local,2016
Mud Roof,0,31007,local,2016
Not Stated Roof,37,31007,local,2016
Other Type of Roof,4,31007,local,2016
RCC Roof,50,31007,local,2016
Thatch/Straw Roof,1301,31007,local,2016
Tile/Slate Roof,203,31007,local,2016
Wood/Planks Roof,8,31007,local,2016
Galvanized Iron Plate,12731,31004,local,2016
Mud Roof,4,31004,local,2016
Not Stated Roof,266,31004,local,2016
Other Type of Roof,84,31004,local,2016
RCC Roof,14040,31004,local,2016
Thatch/Straw Roof,1492,31004,local,2016
Tile/Slate Roof,5510,31004,local,2016
Wood/Planks Roof,143,31004,local,2016
Galvanized Iron Plate,45660,36,district,2016
Mud Roof,103,36,district,2016
Not Stated Roof,1065,36,district,2016
Other Type of Roof,94,36,district,2016
RCC Roof,10062,36,district,2016
Thatch/Straw Roof,8164,36,district,2016
Tile/Slate Roof,15238,36,district,2016
Wood/Planks Roof,265,36,district,2016
Galvanized Iron Plate,4520,24001,local,2016
Mud Roof,3,24001,local,2016
Not Stated Roof,259,24001,local,2016
Other Type of Roof,7,24001,local,2016
RCC Roof,5511,24001,local,2016
Thatch/Straw Roof,110,24001,local,2016
Tile/Slate Roof,1673,24001,local,2016
Wood/Planks Roof,23,24001,local,2016
Galvanized Iron Plate,4826,24011,local,2016
Mud Roof,21,24011,local,2016
Not Stated Roof,57,24011,local,2016
Other Type of Roof,4,24011,local,2016
RCC Roof,554,24011,local,2016
Thatch/Straw Roof,176,24011,local,2016
Tile/Slate Roof,2898,24011,local,2016
Wood/Planks Roof,8,24011,local,2016
Galvanized Iron Plate,715,24007,local,2016
Mud Roof,0,24007,local,2016
Not Stated Roof,22,24007,local,2016
Other Type of Roof,38,24007,local,2016
RCC Roof,0,24007,local,2016
Thatch/Straw Roof,1715,24007,local,2016
Tile/Slate Roof,405,24007,local,2016
Wood/Planks Roof,15,24007,local,2016
Galvanized Iron Plate,6407,24010,local,2016
Mud Roof,34,24010,local,2016
Not Stated Roof,99,24010,local,2016
Other Type of Roof,4,24010,local,2016
RCC Roof,1881,24010,local,2016
Thatch/Straw Roof,273,24010,local,2016
Tile/Slate Roof,1489,24010,local,2016
Wood/Planks Roof,9,24010,local,2016
Galvanized Iron Plate,4543,24008,local,2016
Mud Roof,7,24008,local,2016
Not Stated Roof,43,24008,local,2016
Other Type of Roof,10,24008,local,2016
RCC Roof,318,24008,local,2016
Thatch/Straw Roof,217,24008,local,2016
Tile/Slate Roof,2184,24008,local,2016
Wood/Planks Roof,6,24008,local,2016
Galvanized Iron Plate,2624,24002,local,2016
Mud Roof,3,24002,local,2016
Not Stated Roof,29,24002,local,2016
Other Type of Roof,2,24002,local,2016
RCC Roof,7,24002,local,2016
Thatch/Straw Roof,366,24002,local,2016
Tile/Slate Roof,559,24002,local,2016
Wood/Planks Roof,11,24002,local,2016
Galvanized Iron Plate,3674,24012,local,2016
Mud Roof,8,24012,local,2016
Not Stated Roof,35,24012,local,2016
Other Type of Roof,5,24012,local,2016
RCC Roof,32,24012,local,2016
Thatch/Straw Roof,1272,24012,local,2016
Tile/Slate Roof,729,24012,local,2016
Wood/Planks Roof,141,24012,local,2016
Galvanized Iron Plate,4544,24005,local,2016
Mud Roof,0,24005,local,2016
Not Stated Roof,302,24005,local,2016
Other Type of Roof,3,24005,local,2016
RCC Roof,1507,24005,local,2016
Thatch/Straw Roof,110,24005,local,2016
Tile/Slate Roof,589,24005,local,2016
Wood/Planks Roof,6,24005,local,2016
Galvanized Iron Plate,1048,24006,local,2016
Mud Roof,1,24006,local,2016
Not Stated Roof,10,24006,local,2016
Other Type of Roof,0,24006,local,2016
RCC Roof,0,24006,local,2016
Thatch/Straw Roof,1232,24006,local,2016
Tile/Slate Roof,48,24006,local,2016
Wood/Planks Roof,33,24006,local,2016
Galvanized Iron Plate,4690,24009,local,2016
Mud Roof,23,24009,local,2016
Not Stated Roof,53,24009,local,2016
Other Type of Roof,15,24009,local,2016
RCC Roof,179,24009,local,2016
Thatch/Straw Roof,341,24009,local,2016
Tile/Slate Roof,1271,24009,local,2016
Wood/Planks Roof,12,24009,local,2016
Galvanized Iron Plate,2672,24004,local,2016
Mud Roof,0,24004,local,2016
Not Stated Roof,35,24004,local,2016
Other Type of Roof,0,24004,local,2016
RCC Roof,8,24004,local,2016
Thatch/Straw Roof,922,24004,local,2016
Tile/Slate Roof,1026,24004,local,2016
Wood/Planks Roof,1,24004,local,2016
Galvanized Iron Plate,2173,24013,local,2016
Mud Roof,3,24013,local,2016
Not Stated Roof,26,24013,local,2016
Other Type of Roof,4,24013,local,2016
RCC Roof,15,24013,local,2016
Thatch/Straw Roof,1069,24013,local,2016
Tile/Slate Roof,1586,24013,local,2016
Wood/Planks Roof,0,24013,local,2016
Galvanized Iron Plate,3224,24003,local,2016
Mud Roof,0,24003,local,2016
Not Stated Roof,95,24003,local,2016
Other Type of Roof,2,24003,local,2016
RCC Roof,50,24003,local,2016
Thatch/Straw Roof,361,24003,local,2016
Tile/Slate Roof,781,24003,local,2016
Wood/Planks Roof,0,24003,local,2016
Galvanized Iron Plate,73112,35,district,2016
Mud Roof,33,35,district,2016
Not Stated Roof,11471,35,district,2016
Other Type of Roof,654,35,district,2016
RCC Roof,337404,35,district,2016
Thatch/Straw Roof,2741,35,district,2016
Tile/Slate Roof,9215,35,district,2016
Wood/Planks Roof,914,35,district,2016
Galvanized Iron Plate,37317,27006,local,2016
Mud Roof,27,27006,local,2016
