main type of cooking fuel,total,geo_code,geo_level,geo_version
Bio-Gas Fuel,4,22005,local,2016
Cow Dung,0,22005,local,2016
Electricity Fuel,2,22005,local,2016
KeroseneFuel,11,22005,local,2016
LP Gas,303,22005,local,2016
Not Stated about Fuel,6,22005,local,2016
OthersFuel,2,22005,local,2016
Wood/FireWood,3526,22005,local,2016
Bio-Gas Fuel,21,22007,local,2016
Cow Dung,0,22007,local,2016
Electricity Fuel,1,22007,local,2016
KeroseneFuel,16,22007,local,2016
LP Gas,17,22007,local,2016
Not Stated about Fuel,21,22007,local,2016
OthersFuel,1,22007,local,2016
Wood/FireWood,4764,22007,local,2016
Bio-Gas Fuel,17,22001,local,2016
Cow Dung,0,22001,local,2016
Electricity Fuel,0,22001,local,2016
KeroseneFuel,7,22001,local,2016
LP Gas,55,22001,local,2016
Not Stated about Fuel,7,22001,local,2016
OthersFuel,1,22001,local,2016
Wood/FireWood,4992,22001,local,2016
Bio-Gas Fuel,3521,41,district,2016
Cow Dung,116,41,district,2016
Electricity Fuel,206,41,district,2016
KeroseneFuel,824,41,district,2016
LP Gas,16229,41,district,2016
Not Stated about Fuel,220,41,district,2016
OthersFuel,316,41,district,2016
Wood/FireWood,64613,41,district,2016
Bio-Gas Fuel,59,31010,local,2016
Cow Dung,6,31010,local,2016
Electricity Fuel,11,31010,local,2016
KeroseneFuel,67,31010,local,2016
LP Gas,764,31010,local,2016
Not Stated about Fuel,16,31010,local,2016
OthersFuel,10,31010,local,2016
Wood/FireWood,7995,31010,local,2016
Bio-Gas Fuel,3,31006,local,2016
Cow Dung,6,31006,local,2016
Electricity Fuel,0,31006,local,2016
KeroseneFuel,28,31006,local,2016
LP Gas,20,31006,local,2016
Not Stated about Fuel,15,31006,local,2016
OthersFuel,20,31006,local,2016
Wood/FireWood,4171,31006,local,2016
Bio-Gas Fuel,23,31003,local,2016
Cow Dung,1,31003,local,2016
Electricity Fuel,98,31003,local,2016
KeroseneFuel,16,31003,local,2016
LP Gas,245,31003,local,2016
Not Stated about Fuel,13,31003,local,2016
OthersFuel,1,31003,local,2016
Wood/FireWood,4413,31003,local,2016
Bio-Gas Fuel,62,31001,local,2016
Cow Dung,10,31001,local,2016
Electricity Fuel,0,31001,local,2016
KeroseneFuel,25,31001,local,2016
LP Gas,27,31001,local,2016
Not Stated about Fuel,10,31001,local,2016
OthersFuel,0,31001,local,2016
Wood/FireWood,5597,31001,local,2016
Bio-Gas Fuel,1,31005,local,2016
Cow Dung,3,31005,local,2016
Electricity Fuel,1,31005,local,2016
KeroseneFuel,15,31005,local,2016
LP Gas,67,31005,local,2016
Not Stated about Fuel,8,31005,local,2016
OthersFuel,2,31005,local,2016
Wood/FireWood,2957,31005,local,2016
Bio-Gas Fuel,68,31002,local,2016
Cow Dung,13,31002,local,2016
Electricity Fuel,1,31002,local,2016
KeroseneFuel,30,31002,local,2016
LP Gas,112,31002,local,2016
Not Stated about Fuel,7,31002,local,2016
OthersFuel,7,31002,local,2016
Wood/FireWood,7300,31002,local,2016
Bio-Gas Fuel,398,31008,local,2016
Cow Dung,12,31008,local,2016
Electricity Fuel,3,31008,local,2016
KeroseneFuel,37,31008,local,2016
LP Gas,441,31008,local,2016
Not Stated about Fuel,9,31008,local,2016
OthersFuel,5,31008,local,2016
Wood/FireWood,6986,31008,local,2016
Bio-Gas Fuel,8,31009,local,2016
Cow Dung,11,31009,local,2016
Electricity Fuel,0,31009,local,2016
KeroseneFuel,25,31009,local,2016
LP Gas,27,31009,local,2016
Not Stated about Fuel,4,31009,local,2016
OthersFuel,0,31009,local,2016
Wood/FireWood,4482,31009,local,2016
Bio-Gas Fuel,138,31007,local,2016
Cow Dung,11,31007,local,2016
Electricity Fuel,3,31007,local,2016
KeroseneFuel,17,31007,local,2016
LP Gas,84,31007,local,2016
Not Stated about Fuel,24,31007,local,2016
OthersFuel,0,31007,local,2016
Wood/FireWood,4726,31007,local,2016
Bio-Gas Fuel,2761,31004,local,2016
Cow Dung,43,31004,local,2016
Electricity Fuel,89,31004,local,2016
KeroseneFuel,564,31004,local,2016
LP Gas,14442,31004,local,2016
Not Stated about Fuel,114,31004,local,2016
OthersFuel,271,31004,local,2016
Wood/FireWood,15986,31004,local,2016
Bio-Gas Fuel,3213,36,district,2016
Cow Dung,60,36,district,2016
Electricity Fuel,31,36,district,2016
KeroseneFuel,548,36,district,2016
LP Gas,12959,36,district,2016
Not Stated about Fuel,699,36,district,2016
OthersFuel,49,36,district,2016
Wood/FireWood,63092,36,district,2016
Bio-Gas Fuel,67,24001,local,2016
Cow Dung,2,24001,local,2016
Electricity Fuel,1,24001,local,2016
KeroseneFuel,221,24001,local,2016
LP Gas,6442,24001,local,2016
Not Stated about Fuel,141,24001,local,2016
OthersFuel,10,24001,local,2016
Wood/FireWood,5222,24001,local,2016
Bio-Gas Fuel,872,24011,local,2016
Cow Dung,26,24011,local,2016
Electricity Fuel,16,24011,local,2016
KeroseneFuel,38,24011,local,2016
LP Gas,749,24011,local,2016
Not Stated about Fuel,41,24011,local,2016
OthersFuel,3,24011,local,2016
Wood/FireWood,6799,24011,local,2016
Bio-Gas Fuel,10,24007,local,2016
Cow Dung,1,24007,local,2016
Electricity Fuel,0,24007,local,2016
KeroseneFuel,7,24007,local,2016
LP Gas,3,24007,local,2016
Not Stated about Fuel,21,24007,local,2016
OthersFuel,2,24007,local,2016
Wood/FireWood,2866,24007,local,2016
Bio-Gas Fuel,126,24010,local,2016
Cow Dung,5,24010,local,2016
Electricity Fuel,4,24010,local,2016
KeroseneFuel,80,24010,local,2016
LP Gas,2569,24010,local,2016
Not Stated about Fuel,72,24010,local,2016
OthersFuel,5,24010,local,2016
Wood/FireWood,7335,24010,local,2016
Bio-Gas Fuel,1028,24008,local,2016
Cow Dung,10,24008,local,2016
Electricity Fuel,1,24008,local,2016
KeroseneFuel,9,24008,local,2016
LP Gas,334,24008,local,2016
Not Stated about Fuel,29,24008,local,2016
OthersFuel,6,24008,local,2016
Wood/FireWood,5911,24008,local,2016
Bio-Gas Fuel,1,24002,local,2016
Cow Dung,0,24002,local,2016
Electricity Fuel,0,24002,local,2016
KeroseneFuel,2,24002,local,2016
LP Gas,28,24002,local,2016
Not Stated about Fuel,10,24002,local,2016
OthersFuel,0,24002,local,2016
Wood/FireWood,3560,24002,local,2016
Bio-Gas Fuel,96,24012,local,2016
Cow Dung,2,24012,local,2016
Electricity Fuel,3,24012,local,2016
KeroseneFuel,40,24012,local,2016
LP Gas,175,24012,local,2016
Not Stated about Fuel,25,24012,local,2016
OthersFuel,2,24012,local,2016
Wood/FireWood,5553,24012,local,2016
Bio-Gas Fuel,393,24005,local,2016
Cow Dung,3,24005,local,2016
Electricity Fuel,1,24005,local,2016
KeroseneFuel,63,24005,local,2016
LP Gas,2111,24005,local,2016
Not Stated about Fuel,234,24005,local,2016
OthersFuel,10,24005,local,2016
Wood/FireWood,4246,24005,local,2016
Bio-Gas Fuel,98,24006,local,2016
Cow Dung,2,24006,local,2016
Electricity Fuel,0,24006,local,2016
KeroseneFuel,10,24006,local,2016
LP Gas,0,24006,local,2016
Not Stated about Fuel,8,24006,local,2016
OthersFuel,0,24006,local,2016
Wood/FireWood,2254,24006,local,2016
Bio-Gas Fuel,385,24009,local,2016
Cow Dung,2,24009,local,2016
Electricity Fuel,3,24009,local,2016
KeroseneFuel,18,24009,local,2016
LP Gas,324,24009,local,2016
Not Stated about Fuel,37,24009,local,2016
OthersFuel,4,24009,local,2016
Wood/FireWood,5811,24009,local,2016
Bio-Gas Fuel,13,24004,local,2016
Cow Dung,1,24004,local,2016
Electricity Fuel,0,24004,local,2016
KeroseneFuel,14,24004,local,2016
LP Gas,28,24004,local,2016
Not Stated about Fuel,22,24004,local,2016
OthersFuel,2,24004,local,2016
Wood/FireWood,4584,24004,local,2016
Bio-Gas Fuel,87,24013,local,2016
Cow Dung,1,24013,local,2016
Electricity Fuel,0,24013,local,2016
KeroseneFuel,15,24013,local,2016
LP Gas,43,24013,local,2016
Not Stated about Fuel,23,24013,local,2016
OthersFuel,2,24013,local,2016
Wood/FireWood,4705,24013,local,2016
Bio-Gas Fuel,37,24003,local,2016
Cow Dung,5,24003,local,2016
Electricity Fuel,2,24003,local,2016
KeroseneFuel,31,24003,local,2016
LP Gas,153,24003,local,2016
Not Stated about Fuel,36,24003,local,2016
OthersFuel,3,24003,local,2016
Wood/FireWood,4246,24003,local,2016
Bio-Gas Fuel,214,35,district,2016
Cow Dung,160,35,district,2016
Electricity Fuel,224,35,district,2016
KeroseneFuel,12213,35,district,2016
LP Gas,385136,35,district,2016
Not Stated about Fuel,3434,35,district,2016
OthersFuel,940,35,district,2016
Wood/FireWood,33223,35,district,2016
Bio-Gas Fuel,40,27006,local,2016
Cow Dung,82,27006,local,2016
Electricity Fuel,142,27006,local,2016
KeroseneFuel,7541,27006,local,2016
LP Gas,239297,27006,local,2016
Not Stated about Fuel,2154,27006,local,2016
OthersFuel,597,27006,local,2016
Wood/FireWood,4439,27006,local,2016
Bio-Gas Fuel,32,27002,local,2016
Cow Dung,15,27002,local,2016
