main type of cooking fuel,total,geo_code,geo_level,geo_version
Wood/FireWood,3639,10001,local,2016
Bio-Gas Fuel,1,10002,local,2016
Cow Dung,14,10002,local,2016
Electricity Fuel,0,10002,local,2016
KeroseneFuel,17,10002,local,2016
LP Gas,12,10002,local,2016
Not Stated about Fuel,2,10002,local,2016
OthersFuel,3,10002,local,2016
Wood/FireWood,3733,10002,local,2016
Bio-Gas Fuel,3,10004,local,2016
Cow Dung,16,10004,local,2016
Electricity Fuel,0,10004,local,2016
KeroseneFuel,21,10004,local,2016
LP Gas,12,10004,local,2016
Not Stated about Fuel,5,10004,local,2016
OthersFuel,0,10004,local,2016
Wood/FireWood,4522,10004,local,2016
Bio-Gas Fuel,2,10009,local,2016
Cow Dung,14,10009,local,2016
Electricity Fuel,0,10009,local,2016
KeroseneFuel,14,10009,local,2016
LP Gas,4,10009,local,2016
Not Stated about Fuel,8,10009,local,2016
OthersFuel,0,10009,local,2016
Wood/FireWood,4019,10009,local,2016
Bio-Gas Fuel,11,10006,local,2016
Cow Dung,26,10006,local,2016
Electricity Fuel,1,10006,local,2016
KeroseneFuel,16,10006,local,2016
LP Gas,1,10006,local,2016
Not Stated about Fuel,6,10006,local,2016
OthersFuel,2,10006,local,2016
Wood/FireWood,3953,10006,local,2016
Bio-Gas Fuel,89,18,district,2016
Cow Dung,31,18,district,2016
Electricity Fuel,37,18,district,2016
KeroseneFuel,226,18,district,2016
LP Gas,4590,18,district,2016
Not Stated about Fuel,90,18,district,2016
OthersFuel,103,18,district,2016
Wood/FireWood,32450,18,district,2016
Bio-Gas Fuel,7,7006,local,2016
Cow Dung,3,7006,local,2016
Electricity Fuel,1,7006,local,2016
KeroseneFuel,9,7006,local,2016
LP Gas,177,7006,local,2016
Not Stated about Fuel,9,7006,local,2016
OthersFuel,9,7006,local,2016
Wood/FireWood,4762,7006,local,2016
Bio-Gas Fuel,1,7004,local,2016
Cow Dung,0,7004,local,2016
Electricity Fuel,3,7004,local,2016
KeroseneFuel,9,7004,local,2016
LP Gas,36,7004,local,2016
Not Stated about Fuel,3,7004,local,2016
OthersFuel,2,7004,local,2016
Wood/FireWood,3822,7004,local,2016
Bio-Gas Fuel,5,7002,local,2016
Cow Dung,1,7002,local,2016
Electricity Fuel,2,7002,local,2016
KeroseneFuel,6,7002,local,2016
LP Gas,316,7002,local,2016
Not Stated about Fuel,10,7002,local,2016
OthersFuel,4,7002,local,2016
Wood/FireWood,3888,7002,local,2016
Bio-Gas Fuel,9,7005,local,2016
Cow Dung,2,7005,local,2016
Electricity Fuel,3,7005,local,2016
KeroseneFuel,8,7005,local,2016
LP Gas,83,7005,local,2016
Not Stated about Fuel,12,7005,local,2016
OthersFuel,4,7005,local,2016
Wood/FireWood,5361,7005,local,2016
Bio-Gas Fuel,63,7003,local,2016
Cow Dung,11,7003,local,2016
Electricity Fuel,18,7003,local,2016
KeroseneFuel,171,7003,local,2016
LP Gas,3703,7003,local,2016
Not Stated about Fuel,33,7003,local,2016
OthersFuel,50,7003,local,2016
Wood/FireWood,5411,7003,local,2016
Bio-Gas Fuel,0,7001,local,2016
Cow Dung,12,7001,local,2016
Electricity Fuel,1,7001,local,2016
KeroseneFuel,9,7001,local,2016
LP Gas,106,7001,local,2016
Not Stated about Fuel,11,7001,local,2016
OthersFuel,16,7001,local,2016
Wood/FireWood,4387,7001,local,2016
Bio-Gas Fuel,4,7007,local,2016
Cow Dung,2,7007,local,2016
Electricity Fuel,9,7007,local,2016
KeroseneFuel,14,7007,local,2016
LP Gas,169,7007,local,2016
Not Stated about Fuel,12,7007,local,2016
OthersFuel,18,7007,local,2016
Wood/FireWood,4819,7007,local,2016
Bio-Gas Fuel,69,62,district,2016
Cow Dung,1,62,district,2016
Electricity Fuel,29,62,district,2016
KeroseneFuel,181,62,district,2016
LP Gas,1431,62,district,2016
Not Stated about Fuel,139,62,district,2016
OthersFuel,12,62,district,2016
Wood/FireWood,32753,62,district,2016
Bio-Gas Fuel,21,9004,local,2016
Cow Dung,1,9004,local,2016
Electricity Fuel,1,9004,local,2016
KeroseneFuel,7,9004,local,2016
LP Gas,82,9004,local,2016
Not Stated about Fuel,2,9004,local,2016
OthersFuel,1,9004,local,2016
Wood/FireWood,3843,9004,local,2016
Bio-Gas Fuel,1,9001,local,2016
Cow Dung,0,9001,local,2016
Electricity Fuel,0,9001,local,2016
KeroseneFuel,1,9001,local,2016
LP Gas,3,9001,local,2016
Not Stated about Fuel,4,9001,local,2016
OthersFuel,0,9001,local,2016
Wood/FireWood,1370,9001,local,2016
Bio-Gas Fuel,0,9010,local,2016
Cow Dung,0,9010,local,2016
Electricity Fuel,0,9010,local,2016
KeroseneFuel,13,9010,local,2016
LP Gas,1,9010,local,2016
Not Stated about Fuel,12,9010,local,2016
OthersFuel,0,9010,local,2016
Wood/FireWood,2386,9010,local,2016
Bio-Gas Fuel,3,9007,local,2016
Cow Dung,0,9007,local,2016
Electricity Fuel,1,9007,local,2016
KeroseneFuel,6,9007,local,2016
LP Gas,11,9007,local,2016
Not Stated about Fuel,10,9007,local,2016
OthersFuel,1,9007,local,2016
Wood/FireWood,2890,9007,local,2016
Bio-Gas Fuel,5,9006,local,2016
Cow Dung,0,9006,local,2016
Electricity Fuel,0,9006,local,2016
KeroseneFuel,27,9006,local,2016
LP Gas,16,9006,local,2016
Not Stated about Fuel,5,9006,local,2016
OthersFuel,0,9006,local,2016
Wood/FireWood,3163,9006,local,2016
Bio-Gas Fuel,17,9002,local,2016
Cow Dung,0,9002,local,2016
Electricity Fuel,5,9002,local,2016
KeroseneFuel,17,9002,local,2016
LP Gas,292,9002,local,2016
Not Stated about Fuel,23,9002,local,2016
OthersFuel,3,9002,local,2016
Wood/FireWood,5581,9002,local,2016
Bio-Gas Fuel,18,9005,local,2016
Cow Dung,0,9005,local,2016
Electricity Fuel,21,9005,local,2016
KeroseneFuel,81,9005,local,2016
LP Gas,1015,9005,local,2016
Not Stated about Fuel,59,9005,local,2016
OthersFuel,7,9005,local,2016
Wood/FireWood,6245,9005,local,2016
Bio-Gas Fuel,0,9003,local,2016
Cow Dung,0,9003,local,2016
Electricity Fuel,0,9003,local,2016
KeroseneFuel,1,9003,local,2016
LP Gas,0,9003,local,2016
Not Stated about Fuel,2,9003,local,2016
OthersFuel,0,9003,local,2016
Wood/FireWood,1515,9003,local,2016
Bio-Gas Fuel,3,9008,local,2016
Cow Dung,0,9008,local,2016
Electricity Fuel,1,9008,local,2016
KeroseneFuel,18,9008,local,2016
LP Gas,2,9008,local,2016
Not Stated about Fuel,8,9008,local,2016
OthersFuel,0,9008,local,2016
Wood/FireWood,3602,9008,local,2016
Bio-Gas Fuel,1,9009,local,2016
Cow Dung,0,9009,local,2016
Electricity Fuel,0,9009,local,2016
KeroseneFuel,10,9009,local,2016
LP Gas,9,9009,local,2016
Not Stated about Fuel,14,9009,local,2016
OthersFuel,0,9009,local,2016
Wood/FireWood,2158,9009,local,2016
Bio-Gas Fuel,883,75,district,2016
Cow Dung,302,75,district,2016
Electricity Fuel,273,75,district,2016
KeroseneFuel,324,75,district,2016
LP Gas,3839,75,district,2016
Not Stated about Fuel,207,75,district,2016
OthersFuel,65,75,district,2016
Wood/FireWood,60621,75,district,2016
Bio-Gas Fuel,1,14006,local,2016
Cow Dung,2,14006,local,2016
Electricity Fuel,0,14006,local,2016
KeroseneFuel,7,14006,local,2016
LP Gas,0,14006,local,2016
Not Stated about Fuel,19,14006,local,2016
OthersFuel,0,14006,local,2016
Wood/FireWood,2674,14006,local,2016
Bio-Gas Fuel,1,14004,local,2016
Cow Dung,20,14004,local,2016
Electricity Fuel,0,14004,local,2016
KeroseneFuel,16,14004,local,2016
LP Gas,41,14004,local,2016
Not Stated about Fuel,26,14004,local,2016
OthersFuel,2,14004,local,2016
Wood/FireWood,4560,14004,local,2016
Bio-Gas Fuel,455,14007,local,2016
Cow Dung,36,14007,local,2016
Electricity Fuel,262,14007,local,2016
KeroseneFuel,81,14007,local,2016
LP Gas,2721,14007,local,2016
Not Stated about Fuel,57,14007,local,2016
OthersFuel,50,14007,local,2016
Wood/FireWood,15822,14007,local,2016
Bio-Gas Fuel,83,14001,local,2016
Cow Dung,35,14001,local,2016
Electricity Fuel,1,14001,local,2016
KeroseneFuel,72,14001,local,2016
LP Gas,85,14001,local,2016
Not Stated about Fuel,20,14001,local,2016
OthersFuel,0,14001,local,2016
Wood/FireWood,8634,14001,local,2016
Bio-Gas Fuel,1,14005,local,2016
Cow Dung,7,14005,local,2016
Electricity Fuel,0,14005,local,2016
KeroseneFuel,6,14005,local,2016
LP Gas,0,14005,local,2016
Not Stated about Fuel,5,14005,local,2016
OthersFuel,0,14005,local,2016
Wood/FireWood,2297,14005,local,2016
Bio-Gas Fuel,96,14003,local,2016
Cow Dung,42,14003,local,2016
Electricity Fuel,7,14003,local,2016
KeroseneFuel,45,14003,local,2016
LP Gas,734,14003,local,2016
Not Stated about Fuel,62,14003,local,2016
OthersFuel,11,14003,local,2016
Wood/FireWood,10720,14003,local,2016
Bio-Gas Fuel,11,14008,local,2016
Cow Dung,138,14008,local,2016
Electricity Fuel,2,14008,local,2016
KeroseneFuel,49,14008,local,2016
LP Gas,22,14008,local,2016
Not Stated about Fuel,8,14008,local,2016
OthersFuel,0,14008,local,2016
Wood/FireWood,5949,14008,local,2016
Bio-Gas Fuel,235,14002,local,2016
Cow Dung,22,14002,local,2016
Electricity Fuel,1,14002,local,2016
KeroseneFuel,48,14002,local,2016
LP Gas,236,14002,local,2016
Not Stated about Fuel,10,14002,local,2016
OthersFuel,2,14002,local,2016
Wood/FireWood,9965,14002,local,2016
Bio-Gas Fuel,196,51,district,2016
Cow Dung,134,51,district,2016
Electricity Fuel,12,51,district,2016
KeroseneFuel,330,51,district,2016
LP Gas,2368,51,district,2016
Not Stated about Fuel,140,51,district,2016
OthersFuel,80,51,district,2016
Wood/FireWood,37916,51,district,2016
Bio-Gas Fuel,7,2004,local,2016
Cow Dung,24,2004,local,2016
Electricity Fuel,1,2004,local,2016
KeroseneFuel,31,2004,local,2016
LP Gas,25,2004,local,2016
Not Stated about Fuel,18,2004,local,2016
OthersFuel,1,2004,local,2016
Wood/FireWood,3393,2004,local,2016
Bio-Gas Fuel,10,2001,local,2016
Cow Dung,10,2001,local,2016
Electricity Fuel,0,2001,local,2016
KeroseneFuel,47,2001,local,2016
LP Gas,6,2001,local,2016
Not Stated about Fuel,29,2001,local,2016
OthersFuel,1,2001,local,2016
Wood/FireWood,4449,2001,local,2016
Bio-Gas Fuel,12,2003,local,2016
Cow Dung,20,2003,local,2016
Electricity Fuel,0,2003,local,2016
KeroseneFuel,32,2003,local,2016
LP Gas,74,2003,local,2016
Not Stated about Fuel,21,2003,local,2016
OthersFuel,2,2003,local,2016
Wood/FireWood,4631,2003,local,2016
Bio-Gas Fuel,16,2005,local,2016
Cow Dung,19,2005,local,2016
Electricity Fuel,1,2005,local,2016
KeroseneFuel,33,2005,local,2016
LP Gas,88,2005,local,2016
Not Stated about Fuel,10,2005,local,2016
OthersFuel,4,2005,local,2016
Wood/FireWood,5379,2005,local,2016
Bio-Gas Fuel,115,2006,local,2016
Cow Dung,25,2006,local,2016
Electricity Fuel,9,2006,local,2016
KeroseneFuel,120,2006,local,2016
LP Gas,2003,2006,local,2016
Not Stated about Fuel,34,2006,local,2016
OthersFuel,64,2006,local,2016
Wood/FireWood,8624,2006,local,2016
Bio-Gas Fuel,8,2008,local,2016
Cow Dung,5,2008,local,2016
Electricity Fuel,0,2008,local,2016
KeroseneFuel,6,2008,local,2016
LP Gas,89,2008,local,2016
Not Stated about Fuel,10,2008,local,2016
OthersFuel,1,2008,local,2016
Wood/FireWood,3692,2008,local,2016
Bio-Gas Fuel,7,2007,local,2016
Cow Dung,25,2007,local,2016
Electricity Fuel,1,2007,local,2016
KeroseneFuel,17,2007,local,2016
LP Gas,8,2007,local,2016
Not Stated about Fuel,4,2007,local,2016
OthersFuel,1,2007,local,2016
Wood/FireWood,2752,2007,local,2016
Bio-Gas Fuel,21,2002,local,2016
Cow Dung,6,2002,local,2016
Electricity Fuel,0,2002,local,2016
KeroseneFuel,44,2002,local,2016
LP Gas,75,2002,local,2016
Not Stated about Fuel,14,2002,local,2016
OthersFuel,6,2002,local,2016
Wood/FireWood,4996,2002,local,2016
Bio-Gas Fuel,32,74,district,2016
Cow Dung,19,74,district,2016
Electricity Fuel,14,74,district,2016
KeroseneFuel,63,74,district,2016
LP Gas,1082,74,district,2016
Not Stated about Fuel,70,74,district,2016
OthersFuel,11,74,district,2016
Wood/FireWood,20793,74,district,2016
Bio-Gas Fuel,8,8001,local,2016
Cow Dung,8,8001,local,2016
Electricity Fuel,0,8001,local,2016
KeroseneFuel,15,8001,local,2016
LP Gas,4,8001,local,2016
Not Stated about Fuel,20,8001,local,2016
OthersFuel,0,8001,local,2016
Wood/FireWood,4523,8001,local,2016
Bio-Gas Fuel,14,8005,local,2016
Cow Dung,3,8005,local,2016
Electricity Fuel,6,8005,local,2016
KeroseneFuel,9,8005,local,2016
LP Gas,870,8005,local,2016
Not Stated about Fuel,8,8005,local,2016
OthersFuel,9,8005,local,2016
Wood/FireWood,3676,8005,local,2016
Bio-Gas Fuel,0,8003,local,2016
Cow Dung,0,8003,local,2016
Electricity Fuel,6,8003,local,2016
KeroseneFuel,9,8003,local,2016
LP Gas,166,8003,local,2016
Not Stated about Fuel,10,8003,local,2016
OthersFuel,1,8003,local,2016
Wood/FireWood,3485,8003,local,2016
Bio-Gas Fuel,1,8004,local,2016
Cow Dung,0,8004,local,2016
Electricity Fuel,2,8004,local,2016
KeroseneFuel,3,8004,local,2016
LP Gas,3,8004,local,2016
Not Stated about Fuel,6,8004,local,2016
OthersFuel,1,8004,local,2016
Wood/FireWood,1778,8004,local,2016
Bio-Gas Fuel,6,8006,local,2016
Cow Dung,5,8006,local,2016
Electricity Fuel,0,8006,local,2016
KeroseneFuel,17,8006,local,2016
LP Gas,4,8006,local,2016
Not Stated about Fuel,12,8006,local,2016
OthersFuel,0,8006,local,2016
Wood/FireWood,3760,8006,local,2016
Bio-Gas Fuel,3,8002,local,2016
Cow Dung,3,8002,local,2016
Electricity Fuel,0,8002,local,2016
KeroseneFuel,10,8002,local,2016
LP Gas,35,8002,local,2016
Not Stated about Fuel,14,8002,local,2016
OthersFuel,0,8002,local,2016
Wood/FireWood,3571,8002,local,2016
Bio-Gas Fuel,1527,26,district,2016
Cow Dung,108,26,district,2016
Electricity Fuel,36,26,district,2016
KeroseneFuel,455,26,district,2016
LP Gas,3775,26,district,2016
Not Stated about Fuel,347,26,district,2016
OthersFuel,50,26,district,2016
Wood/FireWood,58179,26,district,2016
Bio-Gas Fuel,10,3009,local,2016
Cow Dung,6,3009,local,2016
Electricity Fuel,0,3009,local,2016
KeroseneFuel,16,3009,local,2016
LP Gas,24,3009,local,2016
Not Stated about Fuel,10,3009,local,2016
OthersFuel,0,3009,local,2016
Wood/FireWood,3577,3009,local,2016
Bio-Gas Fuel,426,3001,local,2016
Cow Dung,13,3001,local,2016
Electricity Fuel,5,3001,local,2016
KeroseneFuel,52,3001,local,2016
LP Gas,126,3001,local,2016
Not Stated about Fuel,19,3001,local,2016
OthersFuel,1,3001,local,2016
Wood/FireWood,4007,3001,local,2016
Bio-Gas Fuel,7,3007,local,2016
Cow Dung,8,3007,local,2016
Electricity Fuel,0,3007,local,2016
KeroseneFuel,33,3007,local,2016
LP Gas,27,3007,local,2016
Not Stated about Fuel,42,3007,local,2016
OthersFuel,3,3007,local,2016
Wood/FireWood,3609,3007,local,2016
Bio-Gas Fuel,5,3003,local,2016
Cow Dung,4,3003,local,2016
Electricity Fuel,0,3003,local,2016
KeroseneFuel,17,3003,local,2016
LP Gas,17,3003,local,2016
Not Stated about Fuel,22,3003,local,2016
OthersFuel,0,3003,local,2016
Wood/FireWood,4569,3003,local,2016
Bio-Gas Fuel,59,3006,local,2016
Cow Dung,6,3006,local,2016
Electricity Fuel,2,3006,local,2016
KeroseneFuel,11,3006,local,2016
LP Gas,34,3006,local,2016
Not Stated about Fuel,17,3006,local,2016
OthersFuel,3,3006,local,2016
Wood/FireWood,4545,3006,local,2016
Bio-Gas Fuel,82,3005,local,2016
Cow Dung,28,3005,local,2016
Electricity Fuel,1,3005,local,2016
KeroseneFuel,70,3005,local,2016
LP Gas,50,3005,local,2016
Not Stated about Fuel,32,3005,local,2016
OthersFuel,1,3005,local,2016
Wood/FireWood,6813,3005,local,2016
Bio-Gas Fuel,170,3008,local,2016
Cow Dung,14,3008,local,2016
Electricity Fuel,0,3008,local,2016
KeroseneFuel,57,3008,local,2016
LP Gas,57,3008,local,2016
Not Stated about Fuel,25,3008,local,2016
OthersFuel,0,3008,local,2016
Wood/FireWood,4028,3008,local,2016
Bio-Gas Fuel,228,3004,local,2016
Cow Dung,10,3004,local,2016
Electricity Fuel,20,3004,local,2016
KeroseneFuel,99,3004,local,2016
LP Gas,2176,3004,local,2016
Not Stated about Fuel,93,3004,local,2016
OthersFuel,31,3004,local,2016
Wood/FireWood,8726,3004,local,2016
Bio-Gas Fuel,26,3002,local,2016
Cow Dung,3,3002,local,2016
Electricity Fuel,3,3002,local,2016
KeroseneFuel,28,3002,local,2016
LP Gas,112,3002,local,2016
Not Stated about Fuel,35,3002,local,2016
OthersFuel,3,3002,local,2016
Wood/FireWood,6913,3002,local,2016
Bio-Gas Fuel,514,3010,local,2016
Cow Dung,16,3010,local,2016
Electricity Fuel,5,3010,local,2016
KeroseneFuel,72,3010,local,2016
LP Gas,1152,3010,local,2016
Not Stated about Fuel,52,3010,local,2016
OthersFuel,8,3010,local,2016
Wood/FireWood,11392,3010,local,2016
Bio-Gas Fuel,29,49,district,2016
Cow Dung,60,49,district,2016
Electricity Fuel,1,49,district,2016
KeroseneFuel,137,49,district,2016
LP Gas,501,49,district,2016
Not Stated about Fuel,226,49,district,2016
OthersFuel,20,49,district,2016
Wood/FireWood,31492,49,district,2016
Bio-Gas Fuel,0,12008,local,2016
Cow Dung,5,12008,local,2016
Electricity Fuel,0,12008,local,2016
KeroseneFuel,6,12008,local,2016
LP Gas,5,12008,local,2016
Not Stated about Fuel,23,12008,local,2016
OthersFuel,0,12008,local,2016
Wood/FireWood,3948,12008,local,2016
Bio-Gas Fuel,3,12001,local,2016
Cow Dung,11,12001,local,2016
Electricity Fuel,0,12001,local,2016
KeroseneFuel,15,12001,local,2016
LP Gas,4,12001,local,2016
Not Stated about Fuel,25,12001,local,2016
OthersFuel,1,12001,local,2016
Wood/FireWood,3737,12001,local,2016
Bio-Gas Fuel,2,12002,local,2016
Cow Dung,3,12002,local,2016
Electricity Fuel,0,12002,local,2016
KeroseneFuel,7,12002,local,2016
LP Gas,0,12002,local,2016
Not Stated about Fuel,29,12002,local,2016
OthersFuel,2,12002,local,2016
Wood/FireWood,3291,12002,local,2016
Bio-Gas Fuel,3,12004,local,2016
Cow Dung,3,12004,local,2016
Electricity Fuel,0,12004,local,2016
KeroseneFuel,6,12004,local,2016
LP Gas,6,12004,local,2016
Not Stated about Fuel,10,12004,local,2016
OthersFuel,0,12004,local,2016
Wood/FireWood,2929,12004,local,2016
Bio-Gas Fuel,6,12007,local,2016
Cow Dung,7,12007,local,2016
Electricity Fuel,0,12007,local,2016
KeroseneFuel,44,12007,local,2016
LP Gas,409,12007,local,2016
Not Stated about Fuel,95,12007,local,2016
OthersFuel,13,12007,local,2016
Wood/FireWood,6420,12007,local,2016
Bio-Gas Fuel,6,12005,local,2016
Cow Dung,16,12005,local,2016
Electricity Fuel,0,12005,local,2016
KeroseneFuel,34,12005,local,2016
LP Gas,71,12005,local,2016
Not Stated about Fuel,22,12005,local,2016
OthersFuel,1,12005,local,2016
Wood/FireWood,4468,12005,local,2016
Bio-Gas Fuel,0,12003,local,2016
Cow Dung,4,12003,local,2016
Electricity Fuel,0,12003,local,2016
KeroseneFuel,3,12003,local,2016
LP Gas,0,12003,local,2016
Not Stated about Fuel,10,12003,local,2016
OthersFuel,3,12003,local,2016
Wood/FireWood,3091,12003,local,2016
Bio-Gas Fuel,9,12006,local,2016
Cow Dung,11,12006,local,2016
Electricity Fuel,1,12006,local,2016
KeroseneFuel,22,12006,local,2016
LP Gas,6,12006,local,2016
Not Stated about Fuel,12,12006,local,2016
OthersFuel,0,12006,local,2016
Wood/FireWood,3608,12006,local,2016
Bio-Gas Fuel,33,37,district,2016
Cow Dung,60,37,district,2016
Electricity Fuel,1,37,district,2016
KeroseneFuel,175,37,district,2016
LP Gas,304,37,district,2016
Not Stated about Fuel,208,37,district,2016
OthersFuel,13,37,district,2016
Wood/FireWood,41853,37,district,2016
Bio-Gas Fuel,0,13006,local,2016
Cow Dung,4,13006,local,2016
Electricity Fuel,0,13006,local,2016
KeroseneFuel,14,13006,local,2016
LP Gas,1,13006,local,2016
Not Stated about Fuel,15,13006,local,2016
OthersFuel,0,13006,local,2016
Wood/FireWood,3313,13006,local,2016
Bio-Gas Fuel,0,13010,local,2016
Cow Dung,2,13010,local,2016
Electricity Fuel,1,13010,local,2016
KeroseneFuel,8,13010,local,2016
LP Gas,0,13010,local,2016
Not Stated about Fuel,13,13010,local,2016
OthersFuel,2,13010,local,2016
Wood/FireWood,2382,13010,local,2016
Bio-Gas Fuel,13,13004,local,2016
Cow Dung,14,13004,local,2016
Electricity Fuel,0,13004,local,2016
KeroseneFuel,21,13004,local,2016
LP Gas,10,13004,local,2016
Not Stated about Fuel,26,13004,local,2016
OthersFuel,1,13004,local,2016
Wood/FireWood,5753,13004,local,2016
Bio-Gas Fuel,4,13001,local,2016
Cow Dung,7,13001,local,2016
Electricity Fuel,0,13001,local,2016
KeroseneFuel,30,13001,local,2016
LP Gas,2,13001,local,2016
Not Stated about Fuel,8,13001,local,2016
OthersFuel,1,13001,local,2016
Wood/FireWood,3439,13001,local,2016
Bio-Gas Fuel,3,13002,local,2016
Cow Dung,3,13002,local,2016
Electricity Fuel,0,13002,local,2016
KeroseneFuel,3,13002,local,2016
LP Gas,1,13002,local,2016
Not Stated about Fuel,22,13002,local,2016
OthersFuel,0,13002,local,2016
Wood/FireWood,2670,13002,local,2016
Bio-Gas Fuel,1,13008,local,2016
Cow Dung,2,13008,local,2016
Electricity Fuel,0,13008,local,2016
KeroseneFuel,6,13008,local,2016
LP Gas,4,13008,local,2016
Not Stated about Fuel,8,13008,local,2016
OthersFuel,0,13008,local,2016
Wood/FireWood,2772,13008,local,2016
Bio-Gas Fuel,4,13003,local,2016
Cow Dung,6,13003,local,2016
Electricity Fuel,0,13003,local,2016
KeroseneFuel,13,13003,local,2016
LP Gas,1,13003,local,2016
Not Stated about Fuel,20,13003,local,2016
OthersFuel,1,13003,local,2016
Wood/FireWood,4095,13003,local,2016
Bio-Gas Fuel,2,13007,local,2016
Cow Dung,8,13007,local,2016
Electricity Fuel,0,13007,local,2016
KeroseneFuel,21,13007,local,2016
LP Gas,4,13007,local,2016
Not Stated about Fuel,14,13007,local,2016
OthersFuel,1,13007,local,2016
Wood/FireWood,4653,13007,local,2016
Bio-Gas Fuel,0,13005,local,2016
Cow Dung,4,13005,local,2016
Electricity Fuel,0,13005,local,2016
KeroseneFuel,27,13005,local,2016
LP Gas,6,13005,local,2016
Not Stated about Fuel,21,13005,local,2016
OthersFuel,3,13005,local,2016
Wood/FireWood,3114,13005,local,2016
Bio-Gas Fuel,6,13009,local,2016
Cow Dung,10,13009,local,2016
Electricity Fuel,0,13009,local,2016
KeroseneFuel,32,13009,local,2016
LP Gas,275,13009,local,2016
Not Stated about Fuel,61,13009,local,2016
OthersFuel,4,13009,local,2016
Wood/FireWood,9662,13009,local,2016
Bio-Gas Fuel,63,73,district,2016
Cow Dung,5,73,district,2016
Electricity Fuel,2,73,district,2016
KeroseneFuel,128,73,district,2016
LP Gas,849,73,district,2016
Not Stated about Fuel,131,73,district,2016
OthersFuel,6,73,district,2016
Wood/FireWood,25287,73,district,2016
Bio-Gas Fuel,0,1005,local,2016
Cow Dung,0,1005,local,2016
Electricity Fuel,2,1005,local,2016
KeroseneFuel,11,1005,local,2016
LP Gas,0,1005,local,2016
Not Stated about Fuel,24,1005,local,2016
OthersFuel,0,1005,local,2016
Wood/FireWood,2488,1005,local,2016
Bio-Gas Fuel,0,1002,local,2016
Cow Dung,0,1002,local,2016
Electricity Fuel,0,1002,local,2016
KeroseneFuel,6,1002,local,2016
LP Gas,0,1002,local,2016
Not Stated about Fuel,15,1002,local,2016
OthersFuel,0,1002,local,2016
Wood/FireWood,2173,1002,local,2016
Bio-Gas Fuel,48,1006,local,2016
Cow Dung,0,1006,local,2016
Electricity Fuel,0,1006,local,2016
KeroseneFuel,33,1006,local,2016
LP Gas,836,1006,local,2016
Not Stated about Fuel,19,1006,local,2016
OthersFuel,6,1006,local,2016
Wood/FireWood,5044,1006,local,2016
Bio-Gas Fuel,3,1007,local,2016
Cow Dung,0,1007,local,2016
Electricity Fuel,0,1007,local,2016
KeroseneFuel,12,1007,local,2016
LP Gas,0,1007,local,2016
Not Stated about Fuel,15,1007,local,2016
OthersFuel,0,1007,local,2016
Wood/FireWood,2340,1007,local,2016
Bio-Gas Fuel,0,1004,local,2016
Cow Dung,1,1004,local,2016
Electricity Fuel,0,1004,local,2016
KeroseneFuel,9,1004,local,2016
LP Gas,0,1004,local,2016
Not Stated about Fuel,8,1004,local,2016
OthersFuel,0,1004,local,2016
Wood/FireWood,1851,1004,local,2016
Bio-Gas Fuel,2,1008,local,2016
Cow Dung,3,1008,local,2016
Electricity Fuel,0,1008,local,2016
KeroseneFuel,15,1008,local,2016
LP Gas,2,1008,local,2016
Not Stated about Fuel,19,1008,local,2016
OthersFuel,0,1008,local,2016
Wood/FireWood,3186,1008,local,2016
Bio-Gas Fuel,2,1009,local,2016
Cow Dung,1,1009,local,2016
Electricity Fuel,0,1009,local,2016
KeroseneFuel,6,1009,local,2016
LP Gas,6,1009,local,2016
Not Stated about Fuel,7,1009,local,2016
OthersFuel,0,1009,local,2016
Wood/FireWood,2812,1009,local,2016
Bio-Gas Fuel,3,1003,local,2016
Cow Dung,0,1003,local,2016
Electricity Fuel,0,1003,local,2016
KeroseneFuel,20,1003,local,2016
LP Gas,4,1003,local,2016
Not Stated about Fuel,18,1003,local,2016
OthersFuel,0,1003,local,2016
Wood/FireWood,2533,1003,local,2016
Bio-Gas Fuel,5,1001,local,2016
Cow Dung,0,1001,local,2016
Electricity Fuel,0,1001,local,2016
KeroseneFuel,16,1001,local,2016
LP Gas,1,1001,local,2016
Not Stated about Fuel,6,1001,local,2016
OthersFuel,0,1001,local,2016
Wood/FireWood,2860,1001,local,2016
Bio-Gas Fuel,8480,43,district,2016
Cow Dung,52659,43,district,2016
Electricity Fuel,83,43,district,2016
KeroseneFuel,2806,43,district,2016
LP Gas,49769,43,district,2016
Not Stated about Fuel,868,43,district,2016
OthersFuel,3168,43,district,2016
Wood/FireWood,96037,43,district,2016
Bio-Gas Fuel,1568,5015,local,2016
Cow Dung,371,5015,local,2016
Electricity Fuel,10,5015,local,2016
KeroseneFuel,230,5015,local,2016
LP Gas,5057,5015,local,2016
Not Stated about Fuel,98,5015,local,2016
OthersFuel,51,5015,local,2016
Wood/FireWood,11225,5015,local,2016
Bio-Gas Fuel,239,5010,local,2016
Cow Dung,3,5010,local,2016
Electricity Fuel,5,5010,local,2016
KeroseneFuel,30,5010,local,2016
LP Gas,828,5010,local,2016
Not Stated about Fuel,20,5010,local,2016
OthersFuel,4,5010,local,2016
Wood/FireWood,6210,5010,local,2016
Bio-Gas Fuel,820,5014,local,2016
Cow Dung,5767,5014,local,2016
Electricity Fuel,1,5014,local,2016
KeroseneFuel,109,5014,local,2016
LP Gas,638,5014,local,2016
Not Stated about Fuel,20,5014,local,2016
