toilet type,total,geo_code,geo_level
Ordinary Toilet,1296,31010,local
Without Tiolet,3707,31010,local
Flush toilet (sewerage),26,31006,local
Flush Toilet Septic Tank,337,31006,local
Not Stated about Toilet,15,31006,local
Ordinary Toilet,355,31006,local
Without Tiolet,3530,31006,local
Flush toilet (sewerage),32,31003,local
Flush Toilet Septic Tank,2223,31003,local
Not Stated about Toilet,13,31003,local
Ordinary Toilet,888,31003,local
Without Tiolet,1654,31003,local
Flush toilet (sewerage),46,31001,local
Flush Toilet Septic Tank,618,31001,local
Not Stated about Toilet,10,31001,local
Ordinary Toilet,705,31001,local
Without Tiolet,4352,31001,local
Flush toilet (sewerage),162,31005,local
Flush Toilet Septic Tank,1621,31005,local
Not Stated about Toilet,8,31005,local
Ordinary Toilet,296,31005,local
Without Tiolet,967,31005,local
Flush toilet (sewerage),30,31002,local
Flush Toilet Septic Tank,1249,31002,local
Not Stated about Toilet,7,31002,local
Ordinary Toilet,509,31002,local
Without Tiolet,5743,31002,local
Flush toilet (sewerage),39,31008,local
Flush Toilet Septic Tank,2312,31008,local
Not Stated about Toilet,8,31008,local
Ordinary Toilet,1569,31008,local
Without Tiolet,3963,31008,local
Flush toilet (sewerage),48,31009,local
Flush Toilet Septic Tank,235,31009,local
Not Stated about Toilet,4,31009,local
Ordinary Toilet,679,31009,local
Without Tiolet,3591,31009,local
Flush toilet (sewerage),65,31007,local
Flush Toilet Septic Tank,1917,31007,local
Not Stated about Toilet,22,31007,local
Ordinary Toilet,845,31007,local
Without Tiolet,2154,31007,local
Flush toilet (sewerage),489,31004,local
Flush Toilet Septic Tank,22480,31004,local
Not Stated about Toilet,120,31004,local
Ordinary Toilet,6133,31004,local
Without Tiolet,5048,31004,local
Flush toilet (sewerage),6855,36,district
Flush Toilet Septic Tank,39846,36,district
Not Stated about Toilet,703,36,district
Ordinary Toilet,11539,36,district
Without Tiolet,21708,36,district
Flush toilet (sewerage),4013,24001,local
Flush Toilet Septic Tank,5439,24001,local
Not Stated about Toilet,144,24001,local
Ordinary Toilet,1708,24001,local
Without Tiolet,802,24001,local
Flush toilet (sewerage),124,24011,local
Flush Toilet Septic Tank,5030,24011,local
Not Stated about Toilet,41,24011,local
Ordinary Toilet,1041,24011,local
Without Tiolet,2308,24011,local
Flush toilet (sewerage),21,24007,local
Flush Toilet Septic Tank,1725,24007,local
Not Stated about Toilet,21,24007,local
Ordinary Toilet,171,24007,local
Without Tiolet,972,24007,local
Flush toilet (sewerage),1168,24010,local
Flush Toilet Septic Tank,6100,24010,local
Not Stated about Toilet,69,24010,local
Ordinary Toilet,1673,24010,local
Without Tiolet,1186,24010,local
Flush toilet (sewerage),131,24008,local
Flush Toilet Septic Tank,3577,24008,local
Not Stated about Toilet,29,24008,local
Ordinary Toilet,1143,24008,local
Without Tiolet,2448,24008,local
Flush toilet (sewerage),16,24002,local
Flush Toilet Septic Tank,1654,24002,local
Not Stated about Toilet,10,24002,local
Ordinary Toilet,595,24002,local
Without Tiolet,1326,24002,local
Flush toilet (sewerage),49,24012,local
Flush Toilet Septic Tank,1905,24012,local
Not Stated about Toilet,25,24012,local
Ordinary Toilet,709,24012,local
Without Tiolet,3208,24012,local
Flush toilet (sewerage),1135,24005,local
Flush Toilet Septic Tank,3386,24005,local
Not Stated about Toilet,240,24005,local
Ordinary Toilet,993,24005,local
Without Tiolet,1307,24005,local
Flush toilet (sewerage),6,24006,local
Flush Toilet Septic Tank,1047,24006,local
Not Stated about Toilet,8,24006,local
Ordinary Toilet,36,24006,local
Without Tiolet,1275,24006,local
Flush toilet (sewerage),47,24009,local
Flush Toilet Septic Tank,2591,24009,local
Not Stated about Toilet,37,24009,local
Ordinary Toilet,1478,24009,local
Without Tiolet,2431,24009,local
Flush toilet (sewerage),36,24004,local
Flush Toilet Septic Tank,1910,24004,local
