outer wall type,total,geo_code,geo_level
Mud Bonded Bricks/Stone Wall,3455,4008,local
Not Stated about Wall,1216,4008,local
Other Type Wall,3251,4008,local
Unbaked Bricks,227,4008,local
Wood/Planks,15991,4008,local
BambooWall,93918,4003,local
Cement Bonded Bricks/Stone Wall,66326,4003,local
Mud Bonded Bricks/Stone Wall,3455,4003,local
Not Stated about Wall,1216,4003,local
Other Type Wall,3251,4003,local
Unbaked Bricks,227,4003,local
Wood/Planks,15991,4003,local
BambooWall,93918,4006,local
Cement Bonded Bricks/Stone Wall,66326,4006,local
Mud Bonded Bricks/Stone Wall,3455,4006,local
Not Stated about Wall,1216,4006,local
Other Type Wall,3251,4006,local
Unbaked Bricks,227,4006,local
Wood/Planks,15991,4006,local
BambooWall,93918,4010,local
Cement Bonded Bricks/Stone Wall,66326,4010,local
Mud Bonded Bricks/Stone Wall,3455,4010,local
Not Stated about Wall,1216,4010,local
Other Type Wall,3251,4010,local
Unbaked Bricks,227,4010,local
Wood/Planks,15991,4010,local
BambooWall,93918,4014,local
Cement Bonded Bricks/Stone Wall,66326,4014,local
Mud Bonded Bricks/Stone Wall,3455,4014,local
Not Stated about Wall,1216,4014,local
Other Type Wall,3251,4014,local
Unbaked Bricks,227,4014,local
Wood/Planks,15991,4014,local
BambooWall,93918,4012,local
Cement Bonded Bricks/Stone Wall,66326,4012,local
Mud Bonded Bricks/Stone Wall,3455,4012,local
Not Stated about Wall,1216,4012,local
Other Type Wall,3251,4012,local
Unbaked Bricks,227,4012,local
Wood/Planks,15991,4012,local
BambooWall,93918,4001,local
Cement Bonded Bricks/Stone Wall,66326,4001,local
Mud Bonded Bricks/Stone Wall,3455,4001,local
Not Stated about Wall,1216,4001,local
Other Type Wall,3251,4001,local
Unbaked Bricks,227,4001,local
Wood/Planks,15991,4001,local
BambooWall,93918,4004,local
Cement Bonded Bricks/Stone Wall,66326,4004,local
Mud Bonded Bricks/Stone Wall,3455,4004,local
Not Stated about Wall,1216,4004,local
Other Type Wall,3251,4004,local
Unbaked Bricks,227,4004,local
Wood/Planks,15991,4004,local
BambooWall,93918,4002,local
Cement Bonded Bricks/Stone Wall,66326,4002,local
Mud Bonded Bricks/Stone Wall,3455,4002,local
Not Stated about Wall,1216,4002,local
Other Type Wall,3251,4002,local
Unbaked Bricks,227,4002,local
Wood/Planks,15991,4002,local
BambooWall,93918,4005,local
Cement Bonded Bricks/Stone Wall,66326,4005,local
Mud Bonded Bricks/Stone Wall,3455,4005,local
Not Stated about Wall,1216,4005,local
Other Type Wall,3251,4005,local
Unbaked Bricks,227,4005,local
Wood/Planks,15991,4005,local
BambooWall,93918,4007,local
Cement Bonded Bricks/Stone Wall,66326,4007,local
Mud Bonded Bricks/Stone Wall,3455,4007,local
Not Stated about Wall,1216,4007,local
Other Type Wall,3251,4007,local
Unbaked Bricks,227,4007,local
Wood/Planks,15991,4007,local
BambooWall,2938,11,district
Cement Bonded Bricks/Stone Wall,211,11,district
Mud Bonded Bricks/Stone Wall,35175,11,district
Not Stated about Wall,87,11,district
Other Type Wall,69,11,district
Unbaked Bricks,633,11,district
Wood/Planks,280,11,district
BambooWall,2938,10003,local
Cement Bonded Bricks/Stone Wall,211,10003,local
Mud Bonded Bricks/Stone Wall,35175,10003,local
Not Stated about Wall,87,10003,local
Other Type Wall,69,10003,local
Unbaked Bricks,633,10003,local
Wood/Planks,280,10003,local
BambooWall,2938,10008,local
Cement Bonded Bricks/Stone Wall,211,10008,local
Mud Bonded Bricks/Stone Wall,35175,10008,local
Not Stated about Wall,87,10008,local
Other Type Wall,69,10008,local
Unbaked Bricks,633,10008,local
Wood/Planks,280,10008,local
BambooWall,2938,10007,local
Cement Bonded Bricks/Stone Wall,211,10007,local
Mud Bonded Bricks/Stone Wall,35175,10007,local
Not Stated about Wall,87,10007,local
Other Type Wall,69,10007,local
Unbaked Bricks,633,10007,local
Wood/Planks,280,10007,local
BambooWall,2938,10005,local
Cement Bonded Bricks/Stone Wall,211,10005,local
Mud Bonded Bricks/Stone Wall,35175,10005,local
Not Stated about Wall,87,10005,local
Other Type Wall,69,10005,local
Unbaked Bricks,633,10005,local
Wood/Planks,280,10005,local
BambooWall,2938,10001,local
Cement Bonded Bricks/Stone Wall,211,10001,local
Mud Bonded Bricks/Stone Wall,35175,10001,local
Not Stated about Wall,87,10001,local
Other Type Wall,69,10001,local
Unbaked Bricks,633,10001,local
Wood/Planks,280,10001,local
BambooWall,2938,10002,local
Cement Bonded Bricks/Stone Wall,211,10002,local
Mud Bonded Bricks/Stone Wall,35175,10002,local
Not Stated about Wall,87,10002,local
Other Type Wall,69,10002,local
Unbaked Bricks,633,10002,local
Wood/Planks,280,10002,local
BambooWall,2938,10004,local
Cement Bonded Bricks/Stone Wall,211,10004,local
Mud Bonded Bricks/Stone Wall,35175,10004,local
Not Stated about Wall,87,10004,local
Other Type Wall,69,10004,local
Unbaked Bricks,633,10004,local
Wood/Planks,280,10004,local
BambooWall,2938,10009,local
Cement Bonded Bricks/Stone Wall,211,10009,local
Mud Bonded Bricks/Stone Wall,35175,10009,local
Not Stated about Wall,87,10009,local
Other Type Wall,69,10009,local
Unbaked Bricks,633,10009,local
Wood/Planks,280,10009,local
BambooWall,2938,10006,local
Cement Bonded Bricks/Stone Wall,211,10006,local
Mud Bonded Bricks/Stone Wall,35175,10006,local
Not Stated about Wall,87,10006,local
Other Type Wall,69,10006,local
Unbaked Bricks,633,10006,local
Wood/Planks,280,10006,local
BambooWall,4742,18,district
Cement Bonded Bricks/Stone Wall,3400,18,district
Mud Bonded Bricks/Stone Wall,27597,18,district
Not Stated about Wall,144,18,district
Other Type Wall,316,18,district
Unbaked Bricks,111,18,district
Wood/Planks,1306,18,district
BambooWall,4742,7006,local
Cement Bonded Bricks/Stone Wall,3400,7006,local
Mud Bonded Bricks/Stone Wall,27597,7006,local
Not Stated about Wall,144,7006,local
Other Type Wall,316,7006,local
Unbaked Bricks,111,7006,local
Wood/Planks,1306,7006,local
BambooWall,4742,7004,local
Cement Bonded Bricks/Stone Wall,3400,7004,local
Mud Bonded Bricks/Stone Wall,27597,7004,local
Not Stated about Wall,144,7004,local
Other Type Wall,316,7004,local
Unbaked Bricks,111,7004,local
Wood/Planks,1306,7004,local
BambooWall,4742,7002,local
Cement Bonded Bricks/Stone Wall,3400,7002,local
Mud Bonded Bricks/Stone Wall,27597,7002,local
Not Stated about Wall,144,7002,local
Other Type Wall,316,7002,local
Unbaked Bricks,111,7002,local
Wood/Planks,1306,7002,local
BambooWall,4742,7005,local
Cement Bonded Bricks/Stone Wall,3400,7005,local
Mud Bonded Bricks/Stone Wall,27597,7005,local
Not Stated about Wall,144,7005,local
Other Type Wall,316,7005,local
Unbaked Bricks,111,7005,local
Wood/Planks,1306,7005,local
BambooWall,4742,7003,local
Cement Bonded Bricks/Stone Wall,3400,7003,local
Mud Bonded Bricks/Stone Wall,27597,7003,local
Not Stated about Wall,144,7003,local
Other Type Wall,316,7003,local
Unbaked Bricks,111,7003,local
Wood/Planks,1306,7003,local
BambooWall,4742,7001,local
Cement Bonded Bricks/Stone Wall,3400,7001,local
Mud Bonded Bricks/Stone Wall,27597,7001,local
Not Stated about Wall,144,7001,local
Other Type Wall,316,7001,local
Unbaked Bricks,111,7001,local
Wood/Planks,1306,7001,local
BambooWall,4742,7007,local
Cement Bonded Bricks/Stone Wall,3400,7007,local
Mud Bonded Bricks/Stone Wall,27597,7007,local
Not Stated about Wall,144,7007,local
Other Type Wall,316,7007,local
Unbaked Bricks,111,7007,local
Wood/Planks,1306,7007,local
BambooWall,7629,62,district
Cement Bonded Bricks/Stone Wall,403,62,district
Mud Bonded Bricks/Stone Wall,24860,62,district
Not Stated about Wall,188,62,district
Other Type Wall,593,62,district
Unbaked Bricks,52,62,district
Wood/Planks,890,62,district
BambooWall,7629,9004,local
Cement Bonded Bricks/Stone Wall,403,9004,local
Mud Bonded Bricks/Stone Wall,24860,9004,local
Not Stated about Wall,188,9004,local
Other Type Wall,593,9004,local
Unbaked Bricks,52,9004,local
Wood/Planks,890,9004,local
BambooWall,7629,9001,local
Cement Bonded Bricks/Stone Wall,403,9001,local
Mud Bonded Bricks/Stone Wall,24860,9001,local
Not Stated about Wall,188,9001,local
Other Type Wall,593,9001,local
Unbaked Bricks,52,9001,local
Wood/Planks,890,9001,local
BambooWall,7629,9010,local
Cement Bonded Bricks/Stone Wall,403,9010,local
Mud Bonded Bricks/Stone Wall,24860,9010,local
Not Stated about Wall,188,9010,local
Other Type Wall,593,9010,local
Unbaked Bricks,52,9010,local
Wood/Planks,890,9010,local
BambooWall,7629,9007,local
Cement Bonded Bricks/Stone Wall,403,9007,local
Mud Bonded Bricks/Stone Wall,24860,9007,local
Not Stated about Wall,188,9007,local
Other Type Wall,593,9007,local
Unbaked Bricks,52,9007,local
Wood/Planks,890,9007,local
BambooWall,7629,9006,local
Cement Bonded Bricks/Stone Wall,403,9006,local
Mud Bonded Bricks/Stone Wall,24860,9006,local
Not Stated about Wall,188,9006,local
Other Type Wall,593,9006,local
Unbaked Bricks,52,9006,local
Wood/Planks,890,9006,local
BambooWall,7629,9002,local
Cement Bonded Bricks/Stone Wall,403,9002,local
Mud Bonded Bricks/Stone Wall,24860,9002,local
Not Stated about Wall,188,9002,local
Other Type Wall,593,9002,local
Unbaked Bricks,52,9002,local
Wood/Planks,890,9002,local
BambooWall,7629,9005,local
Cement Bonded Bricks/Stone Wall,403,9005,local
Mud Bonded Bricks/Stone Wall,24860,9005,local
Not Stated about Wall,188,9005,local
Other Type Wall,593,9005,local
Unbaked Bricks,52,9005,local
Wood/Planks,890,9005,local
BambooWall,7629,9003,local
Cement Bonded Bricks/Stone Wall,403,9003,local
Mud Bonded Bricks/Stone Wall,24860,9003,local
Not Stated about Wall,188,9003,local
Other Type Wall,593,9003,local
Unbaked Bricks,52,9003,local
Wood/Planks,890,9003,local
BambooWall,7629,9008,local
Cement Bonded Bricks/Stone Wall,403,9008,local
Mud Bonded Bricks/Stone Wall,24860,9008,local
Not Stated about Wall,188,9008,local
Other Type Wall,593,9008,local
Unbaked Bricks,52,9008,local
Wood/Planks,890,9008,local
BambooWall,7629,9009,local
Cement Bonded Bricks/Stone Wall,403,9009,local
Mud Bonded Bricks/Stone Wall,24860,9009,local
Not Stated about Wall,188,9009,local
Other Type Wall,593,9009,local
Unbaked Bricks,52,9009,local
Wood/Planks,890,9009,local
BambooWall,29662,75,district
Cement Bonded Bricks/Stone Wall,10528,75,district
Mud Bonded Bricks/Stone Wall,15906,75,district
Not Stated about Wall,305,75,district
Other Type Wall,645,75,district
Unbaked Bricks,51,75,district
Wood/Planks,9417,75,district
BambooWall,29662,14006,local
Cement Bonded Bricks/Stone Wall,10528,14006,local
Mud Bonded Bricks/Stone Wall,15906,14006,local
Not Stated about Wall,305,14006,local
Other Type Wall,645,14006,local
Unbaked Bricks,51,14006,local
Wood/Planks,9417,14006,local
BambooWall,29662,14004,local
Cement Bonded Bricks/Stone Wall,10528,14004,local
Mud Bonded Bricks/Stone Wall,15906,14004,local
Not Stated about Wall,305,14004,local
Other Type Wall,645,14004,local
Unbaked Bricks,51,14004,local
Wood/Planks,9417,14004,local
BambooWall,29662,14007,local
Cement Bonded Bricks/Stone Wall,10528,14007,local
Mud Bonded Bricks/Stone Wall,15906,14007,local
Not Stated about Wall,305,14007,local
Other Type Wall,645,14007,local
Unbaked Bricks,51,14007,local
Wood/Planks,9417,14007,local
BambooWall,29662,14001,local
Cement Bonded Bricks/Stone Wall,10528,14001,local
Mud Bonded Bricks/Stone Wall,15906,14001,local
Not Stated about Wall,305,14001,local
Other Type Wall,645,14001,local
Unbaked Bricks,51,14001,local
Wood/Planks,9417,14001,local
BambooWall,29662,14005,local
Cement Bonded Bricks/Stone Wall,10528,14005,local
Mud Bonded Bricks/Stone Wall,15906,14005,local
Not Stated about Wall,305,14005,local
Other Type Wall,645,14005,local
Unbaked Bricks,51,14005,local
Wood/Planks,9417,14005,local
BambooWall,29662,14003,local
Cement Bonded Bricks/Stone Wall,10528,14003,local
Mud Bonded Bricks/Stone Wall,15906,14003,local
Not Stated about Wall,305,14003,local
Other Type Wall,645,14003,local
Unbaked Bricks,51,14003,local
Wood/Planks,9417,14003,local
BambooWall,29662,14008,local
Cement Bonded Bricks/Stone Wall,10528,14008,local
Mud Bonded Bricks/Stone Wall,15906,14008,local
Not Stated about Wall,305,14008,local
Other Type Wall,645,14008,local
Unbaked Bricks,51,14008,local
Wood/Planks,9417,14008,local
BambooWall,29662,14002,local
Cement Bonded Bricks/Stone Wall,10528,14002,local
Mud Bonded Bricks/Stone Wall,15906,14002,local
Not Stated about Wall,305,14002,local
Other Type Wall,645,14002,local
Unbaked Bricks,51,14002,local
Wood/Planks,9417,14002,local
BambooWall,3768,51,district
Cement Bonded Bricks/Stone Wall,1859,51,district
Mud Bonded Bricks/Stone Wall,33219,51,district
Not Stated about Wall,189,51,district
Other Type Wall,271,51,district
Unbaked Bricks,24,51,district
Wood/Planks,1846,51,district
BambooWall,3768,2004,local
Cement Bonded Bricks/Stone Wall,1859,2004,local
Mud Bonded Bricks/Stone Wall,33219,2004,local
Not Stated about Wall,189,2004,local
Other Type Wall,271,2004,local
Unbaked Bricks,24,2004,local
Wood/Planks,1846,2004,local
BambooWall,3768,2001,local
Cement Bonded Bricks/Stone Wall,1859,2001,local
Mud Bonded Bricks/Stone Wall,33219,2001,local
Not Stated about Wall,189,2001,local
Other Type Wall,271,2001,local
Unbaked Bricks,24,2001,local
Wood/Planks,1846,2001,local
BambooWall,3768,2003,local
Cement Bonded Bricks/Stone Wall,1859,2003,local
Mud Bonded Bricks/Stone Wall,33219,2003,local
Not Stated about Wall,189,2003,local
Other Type Wall,271,2003,local
Unbaked Bricks,24,2003,local
Wood/Planks,1846,2003,local
BambooWall,3768,2005,local
Cement Bonded Bricks/Stone Wall,1859,2005,local
Mud Bonded Bricks/Stone Wall,33219,2005,local
Not Stated about Wall,189,2005,local
Other Type Wall,271,2005,local
Unbaked Bricks,24,2005,local
Wood/Planks,1846,2005,local
BambooWall,3768,2006,local
Cement Bonded Bricks/Stone Wall,1859,2006,local
Mud Bonded Bricks/Stone Wall,33219,2006,local
Not Stated about Wall,189,2006,local
Other Type Wall,271,2006,local
Unbaked Bricks,24,2006,local
Wood/Planks,1846,2006,local
BambooWall,3768,2008,local
Cement Bonded Bricks/Stone Wall,1859,2008,local
Mud Bonded Bricks/Stone Wall,33219,2008,local
Not Stated about Wall,189,2008,local
Other Type Wall,271,2008,local
Unbaked Bricks,24,2008,local
Wood/Planks,1846,2008,local
BambooWall,3768,2007,local
Cement Bonded Bricks/Stone Wall,1859,2007,local
Mud Bonded Bricks/Stone Wall,33219,2007,local
Not Stated about Wall,189,2007,local
Other Type Wall,271,2007,local
Unbaked Bricks,24,2007,local
Wood/Planks,1846,2007,local
BambooWall,3768,2002,local
Cement Bonded Bricks/Stone Wall,1859,2002,local
Mud Bonded Bricks/Stone Wall,33219,2002,local
Not Stated about Wall,189,2002,local
Other Type Wall,271,2002,local
Unbaked Bricks,24,2002,local
Wood/Planks,1846,2002,local
BambooWall,1169,74,district
Cement Bonded Bricks/Stone Wall,454,74,district
Mud Bonded Bricks/Stone Wall,19959,74,district
Not Stated about Wall,100,74,district
Other Type Wall,81,74,district
Unbaked Bricks,2,74,district
Wood/Planks,319,74,district
BambooWall,1169,8001,local
Cement Bonded Bricks/Stone Wall,454,8001,local
Mud Bonded Bricks/Stone Wall,19959,8001,local
Not Stated about Wall,100,8001,local
Other Type Wall,81,8001,local
Unbaked Bricks,2,8001,local
Wood/Planks,319,8001,local
BambooWall,1169,8005,local
Cement Bonded Bricks/Stone Wall,454,8005,local
Mud Bonded Bricks/Stone Wall,19959,8005,local
Not Stated about Wall,100,8005,local
Other Type Wall,81,8005,local
Unbaked Bricks,2,8005,local
Wood/Planks,319,8005,local
BambooWall,1169,8003,local
Cement Bonded Bricks/Stone Wall,454,8003,local
Mud Bonded Bricks/Stone Wall,19959,8003,local
Not Stated about Wall,100,8003,local
Other Type Wall,81,8003,local
Unbaked Bricks,2,8003,local
Wood/Planks,319,8003,local
BambooWall,1169,8004,local
Cement Bonded Bricks/Stone Wall,454,8004,local
Mud Bonded Bricks/Stone Wall,19959,8004,local
Not Stated about Wall,100,8004,local
Other Type Wall,81,8004,local
Unbaked Bricks,2,8004,local
Wood/Planks,319,8004,local
BambooWall,1169,8006,local
Cement Bonded Bricks/Stone Wall,454,8006,local
Mud Bonded Bricks/Stone Wall,19959,8006,local
Not Stated about Wall,100,8006,local
Other Type Wall,81,8006,local
Unbaked Bricks,2,8006,local
Wood/Planks,319,8006,local
BambooWall,1169,8002,local
Cement Bonded Bricks/Stone Wall,454,8002,local
Mud Bonded Bricks/Stone Wall,19959,8002,local
Not Stated about Wall,100,8002,local
Other Type Wall,81,8002,local
Unbaked Bricks,2,8002,local
Wood/Planks,319,8002,local
BambooWall,11568,26,district
Cement Bonded Bricks/Stone Wall,6195,26,district
Mud Bonded Bricks/Stone Wall,32325,26,district
Not Stated about Wall,461,26,district
Other Type Wall,1229,26,district
Unbaked Bricks,158,26,district
Wood/Planks,12541,26,district
BambooWall,11568,3009,local
Cement Bonded Bricks/Stone Wall,6195,3009,local
Mud Bonded Bricks/Stone Wall,32325,3009,local
Not Stated about Wall,461,3009,local
Other Type Wall,1229,3009,local
Unbaked Bricks,158,3009,local
Wood/Planks,12541,3009,local
BambooWall,11568,3001,local
Cement Bonded Bricks/Stone Wall,6195,3001,local
Mud Bonded Bricks/Stone Wall,32325,3001,local
Not Stated about Wall,461,3001,local
Other Type Wall,1229,3001,local
Unbaked Bricks,158,3001,local
Wood/Planks,12541,3001,local
BambooWall,11568,3007,local
Cement Bonded Bricks/Stone Wall,6195,3007,local
Mud Bonded Bricks/Stone Wall,32325,3007,local
Not Stated about Wall,461,3007,local
Other Type Wall,1229,3007,local
Unbaked Bricks,158,3007,local
Wood/Planks,12541,3007,local
BambooWall,11568,3003,local
Cement Bonded Bricks/Stone Wall,6195,3003,local
Mud Bonded Bricks/Stone Wall,32325,3003,local
Not Stated about Wall,461,3003,local
Other Type Wall,1229,3003,local
Unbaked Bricks,158,3003,local
Wood/Planks,12541,3003,local
BambooWall,11568,3006,local
Cement Bonded Bricks/Stone Wall,6195,3006,local
Mud Bonded Bricks/Stone Wall,32325,3006,local
Not Stated about Wall,461,3006,local
Other Type Wall,1229,3006,local
Unbaked Bricks,158,3006,local
Wood/Planks,12541,3006,local
BambooWall,11568,3005,local
Cement Bonded Bricks/Stone Wall,6195,3005,local
Mud Bonded Bricks/Stone Wall,32325,3005,local
Not Stated about Wall,461,3005,local
Other Type Wall,1229,3005,local
Unbaked Bricks,158,3005,local
Wood/Planks,12541,3005,local
BambooWall,11568,3008,local
Cement Bonded Bricks/Stone Wall,6195,3008,local
Mud Bonded Bricks/Stone Wall,32325,3008,local
Not Stated about Wall,461,3008,local
Other Type Wall,1229,3008,local
Unbaked Bricks,158,3008,local
Wood/Planks,12541,3008,local
BambooWall,11568,3004,local
Cement Bonded Bricks/Stone Wall,6195,3004,local
Mud Bonded Bricks/Stone Wall,32325,3004,local
Not Stated about Wall,461,3004,local
Other Type Wall,1229,3004,local
Unbaked Bricks,158,3004,local
Wood/Planks,12541,3004,local
BambooWall,11568,3002,local
Cement Bonded Bricks/Stone Wall,6195,3002,local
Mud Bonded Bricks/Stone Wall,32325,3002,local
Not Stated about Wall,461,3002,local
Other Type Wall,1229,3002,local
Unbaked Bricks,158,3002,local
Wood/Planks,12541,3002,local
BambooWall,11568,3010,local
Cement Bonded Bricks/Stone Wall,6195,3010,local
Mud Bonded Bricks/Stone Wall,32325,3010,local
Not Stated about Wall,461,3010,local
Other Type Wall,1229,3010,local
Unbaked Bricks,158,3010,local
Wood/Planks,12541,3010,local
BambooWall,470,49,district
Cement Bonded Bricks/Stone Wall,293,49,district
Mud Bonded Bricks/Stone Wall,30711,49,district
Not Stated about Wall,322,49,district
Other Type Wall,61,49,district
Unbaked Bricks,325,49,district
Wood/Planks,284,49,district
BambooWall,470,12008,local
Cement Bonded Bricks/Stone Wall,293,12008,local
Mud Bonded Bricks/Stone Wall,30711,12008,local
Not Stated about Wall,322,12008,local
Other Type Wall,61,12008,local
Unbaked Bricks,325,12008,local
Wood/Planks,284,12008,local
BambooWall,470,12001,local
Cement Bonded Bricks/Stone Wall,293,12001,local
Mud Bonded Bricks/Stone Wall,30711,12001,local
Not Stated about Wall,322,12001,local
Other Type Wall,61,12001,local
Unbaked Bricks,325,12001,local
Wood/Planks,284,12001,local
BambooWall,470,12002,local
Cement Bonded Bricks/Stone Wall,293,12002,local
Mud Bonded Bricks/Stone Wall,30711,12002,local
Not Stated about Wall,322,12002,local
Other Type Wall,61,12002,local
Unbaked Bricks,325,12002,local
Wood/Planks,284,12002,local
BambooWall,470,12004,local
Cement Bonded Bricks/Stone Wall,293,12004,local
Mud Bonded Bricks/Stone Wall,30711,12004,local
Not Stated about Wall,322,12004,local
Other Type Wall,61,12004,local
Unbaked Bricks,325,12004,local
Wood/Planks,284,12004,local
BambooWall,470,12007,local
Cement Bonded Bricks/Stone Wall,293,12007,local
Mud Bonded Bricks/Stone Wall,30711,12007,local
Not Stated about Wall,322,12007,local
Other Type Wall,61,12007,local
Unbaked Bricks,325,12007,local
Wood/Planks,284,12007,local
BambooWall,470,12005,local
Cement Bonded Bricks/Stone Wall,293,12005,local
Mud Bonded Bricks/Stone Wall,30711,12005,local
Not Stated about Wall,322,12005,local
Other Type Wall,61,12005,local
Unbaked Bricks,325,12005,local
Wood/Planks,284,12005,local
BambooWall,470,12003,local
Cement Bonded Bricks/Stone Wall,293,12003,local
Mud Bonded Bricks/Stone Wall,30711,12003,local
Not Stated about Wall,322,12003,local
Other Type Wall,61,12003,local
Unbaked Bricks,325,12003,local
Wood/Planks,284,12003,local
BambooWall,470,12006,local
Cement Bonded Bricks/Stone Wall,293,12006,local
Mud Bonded Bricks/Stone Wall,30711,12006,local
Not Stated about Wall,322,12006,local
Other Type Wall,61,12006,local
Unbaked Bricks,325,12006,local
Wood/Planks,284,12006,local
BambooWall,1779,37,district
Cement Bonded Bricks/Stone Wall,117,37,district
Mud Bonded Bricks/Stone Wall,40155,37,district
Not Stated about Wall,275,37,district
Other Type Wall,97,37,district
Unbaked Bricks,18,37,district
Wood/Planks,206,37,district
BambooWall,1779,13006,local
Cement Bonded Bricks/Stone Wall,117,13006,local
Mud Bonded Bricks/Stone Wall,40155,13006,local
Not Stated about Wall,275,13006,local
Other Type Wall,97,13006,local
Unbaked Bricks,18,13006,local
Wood/Planks,206,13006,local
BambooWall,1779,13010,local
Cement Bonded Bricks/Stone Wall,117,13010,local
Mud Bonded Bricks/Stone Wall,40155,13010,local
Not Stated about Wall,275,13010,local
Other Type Wall,97,13010,local
Unbaked Bricks,18,13010,local
Wood/Planks,206,13010,local
BambooWall,1779,13004,local
Cement Bonded Bricks/Stone Wall,117,13004,local
Mud Bonded Bricks/Stone Wall,40155,13004,local
Not Stated about Wall,275,13004,local
Other Type Wall,97,13004,local
Unbaked Bricks,18,13004,local
Wood/Planks,206,13004,local
BambooWall,1779,13001,local
Cement Bonded Bricks/Stone Wall,117,13001,local
Mud Bonded Bricks/Stone Wall,40155,13001,local
Not Stated about Wall,275,13001,local
Other Type Wall,97,13001,local
Unbaked Bricks,18,13001,local
Wood/Planks,206,13001,local
BambooWall,1779,13002,local
Cement Bonded Bricks/Stone Wall,117,13002,local
Mud Bonded Bricks/Stone Wall,40155,13002,local
Not Stated about Wall,275,13002,local
Other Type Wall,97,13002,local
Unbaked Bricks,18,13002,local
Wood/Planks,206,13002,local
BambooWall,1779,13008,local
Cement Bonded Bricks/Stone Wall,117,13008,local
Mud Bonded Bricks/Stone Wall,40155,13008,local
Not Stated about Wall,275,13008,local
Other Type Wall,97,13008,local
Unbaked Bricks,18,13008,local
Wood/Planks,206,13008,local
BambooWall,1779,13003,local
Cement Bonded Bricks/Stone Wall,117,13003,local
Mud Bonded Bricks/Stone Wall,40155,13003,local
Not Stated about Wall,275,13003,local
Other Type Wall,97,13003,local
Unbaked Bricks,18,13003,local
Wood/Planks,206,13003,local
BambooWall,1779,13007,local
Cement Bonded Bricks/Stone Wall,117,13007,local
Mud Bonded Bricks/Stone Wall,40155,13007,local
Not Stated about Wall,275,13007,local
Other Type Wall,97,13007,local
Unbaked Bricks,18,13007,local
Wood/Planks,206,13007,local
BambooWall,1779,13005,local
Cement Bonded Bricks/Stone Wall,117,13005,local
Mud Bonded Bricks/Stone Wall,40155,13005,local
Not Stated about Wall,275,13005,local
Other Type Wall,97,13005,local
Unbaked Bricks,18,13005,local
Wood/Planks,206,13005,local
BambooWall,1779,13009,local
Cement Bonded Bricks/Stone Wall,117,13009,local
Mud Bonded Bricks/Stone Wall,40155,13009,local
Not Stated about Wall,275,13009,local
Other Type Wall,97,13009,local
Unbaked Bricks,18,13009,local
Wood/Planks,206,13009,local
BambooWall,2124,73,district
Cement Bonded Bricks/Stone Wall,820,73,district
Mud Bonded Bricks/Stone Wall,21952,73,district
Not Stated about Wall,197,73,district
Other Type Wall,144,73,district
Unbaked Bricks,8,73,district
Wood/Planks,1226,73,district
BambooWall,2124,1005,local
Cement Bonded Bricks/Stone Wall,820,1005,local
Mud Bonded Bricks/Stone Wall,21952,1005,local
Not Stated about Wall,197,1005,local
Other Type Wall,144,1005,local
Unbaked Bricks,8,1005,local
Wood/Planks,1226,1005,local
BambooWall,2124,1002,local
Cement Bonded Bricks/Stone Wall,820,1002,local
Mud Bonded Bricks/Stone Wall,21952,1002,local
Not Stated about Wall,197,1002,local
Other Type Wall,144,1002,local
Unbaked Bricks,8,1002,local
Wood/Planks,1226,1002,local
BambooWall,2124,1006,local
Cement Bonded Bricks/Stone Wall,820,1006,local
Mud Bonded Bricks/Stone Wall,21952,1006,local
Not Stated about Wall,197,1006,local
Other Type Wall,144,1006,local
Unbaked Bricks,8,1006,local
Wood/Planks,1226,1006,local
BambooWall,2124,1007,local
Cement Bonded Bricks/Stone Wall,820,1007,local
Mud Bonded Bricks/Stone Wall,21952,1007,local
Not Stated about Wall,197,1007,local
Other Type Wall,144,1007,local
Unbaked Bricks,8,1007,local
Wood/Planks,1226,1007,local
BambooWall,2124,1004,local
Cement Bonded Bricks/Stone Wall,820,1004,local
Mud Bonded Bricks/Stone Wall,21952,1004,local
Not Stated about Wall,197,1004,local
Other Type Wall,144,1004,local
Unbaked Bricks,8,1004,local
Wood/Planks,1226,1004,local
BambooWall,2124,1008,local
Cement Bonded Bricks/Stone Wall,820,1008,local
Mud Bonded Bricks/Stone Wall,21952,1008,local
Not Stated about Wall,197,1008,local
Other Type Wall,144,1008,local
Unbaked Bricks,8,1008,local
Wood/Planks,1226,1008,local
BambooWall,2124,1009,local
Cement Bonded Bricks/Stone Wall,820,1009,local
Mud Bonded Bricks/Stone Wall,21952,1009,local
Not Stated about Wall,197,1009,local
Other Type Wall,144,1009,local
Unbaked Bricks,8,1009,local
Wood/Planks,1226,1009,local
BambooWall,2124,1003,local
Cement Bonded Bricks/Stone Wall,820,1003,local
Mud Bonded Bricks/Stone Wall,21952,1003,local
Not Stated about Wall,197,1003,local
Other Type Wall,144,1003,local
Unbaked Bricks,8,1003,local
Wood/Planks,1226,1003,local
BambooWall,2124,1001,local
Cement Bonded Bricks/Stone Wall,820,1001,local
Mud Bonded Bricks/Stone Wall,21952,1001,local
Not Stated about Wall,197,1001,local
Other Type Wall,144,1001,local
Unbaked Bricks,8,1001,local
Wood/Planks,1226,1001,local
BambooWall,118224,43,district
Cement Bonded Bricks/Stone Wall,64984,43,district
Mud Bonded Bricks/Stone Wall,6346,43,district
