language,total,geo_code,geo_level,geo_version
Maithili,84,23002,local,2016
Nepali,14676,23002,local,2016
Newar,1485,23002,local,2016
Not Reported,16,23002,local,2016
Others,49,23002,local,2016
Sherpa,1566,23002,local,2016
Sign Language,13,23002,local,2016
Tamang,8341,23002,local,2016
Thami,240,23002,local,2016
Danuwar,90,23010,local,2016
Gurung,200,23010,local,2016
Hyolmo/Yholmo,1064,23010,local,2016
Maithili,62,23010,local,2016
Nepali,5978,23010,local,2016
Newar,797,23010,local,2016
Not Reported,41,23010,local,2016
Others,39,23010,local,2016
Sherpa,198,23010,local,2016
Tamang,12391,23010,local,2016
Avadhi,32,12,district,2016
Bajjika,25,12,district,2016
Bangla,178,12,district,2016
Bhojpuri,9371,12,district,2016
Bhujel,125,12,district,2016
Bote,1989,12,district,2016
Chepang,21314,12,district,2016
Chinese,18,12,district,2016
Danuwar,61,12,district,2016
Darai,6615,12,district,2016
Doteli,57,12,district,2016
Dura,25,12,district,2016
Ghale,156,12,district,2016
Gurung,16274,12,district,2016
Hindi,2734,12,district,2016
Hyolmo/Yholmo,182,12,district,2016
Kham,245,12,district,2016
Kumal,268,12,district,2016
Limbu,109,12,district,2016
Magar,9104,12,district,2016
Maithili,3472,12,district,2016
Majhi,19,12,district,2016
Nachhiring,15,12,district,2016
Nepali,399420,12,district,2016
Newar,8989,12,district,2016
Not Reported,458,12,district,2016
Others,424,12,district,2016
Punjabi,14,12,district,2016
Rai,447,12,district,2016
Rajsthani,201,12,district,2016
Santhali,19,12,district,2016
Sherpa,32,12,district,2016
Sign Language,67,12,district,2016
Sunuwar,76,12,district,2016
Tamang,27603,12,district,2016
Thakali,140,12,district,2016
Tharu,58556,12,district,2016
Urdu,872,12,district,2016
Yakkha,26,12,district,2016
Bhojpuri,221,35002,local,2016
Bhujel,49,35002,local,2016
Chepang,5461,35002,local,2016
Gurung,1786,35002,local,2016
Hindi,67,35002,local,2016
Magar,1843,35002,local,2016
Maithili,74,35002,local,2016
Nepali,14617,35002,local,2016
Newar,193,35002,local,2016
Not Reported,12,35002,local,2016
Others,6,35002,local,2016
Rai,24,35002,local,2016
Tamang,465,35002,local,2016
Thakali,86,35002,local,2016
Tharu,19,35002,local,2016
Urdu,79,35002,local,2016
Bhojpuri,408,35006,local,2016
Chepang,8971,35006,local,2016
Danuwar,61,35006,local,2016
Darai,443,35006,local,2016
Ghale,19,35006,local,2016
Gurung,521,35006,local,2016
