education level passed,geo_code,geo_level,sex,total
Post Graduate Equivalent and Above,20002,local,Male,481
Primary Education (1-5 Class),20002,local,Female,35857
Primary Education (1-5 Class),20002,local,Male,41051
Secondary Level (Class 9-10),20002,local,Female,5472
Secondary Level (Class 9-10),20002,local,Male,7458
SLC and Equivalent,20002,local,Female,6346
SLC and Equivalent,20002,local,Male,8495
Beginners,20009,local,Female,3749
Beginners,20009,local,Male,4288
Graduate and Equivalent,20009,local,Female,543
Graduate and Equivalent,20009,local,Male,1224
Intermediate and Equivalent,20009,local,Female,3075
Intermediate and Equivalent,20009,local,Male,3577
Level not Stated,20009,local,Female,304
Level not Stated,20009,local,Male,388
Lower Secondary (Class 6-8),20009,local,Female,14533
Lower Secondary (Class 6-8),20009,local,Male,17097
Non Formal Education,20009,local,Female,4405
Non Formal Education,20009,local,Male,3974
Others,20009,local,Female,44
Others,20009,local,Male,54
Post Graduate Equivalent and Above,20009,local,Female,80
Post Graduate Equivalent and Above,20009,local,Male,481
Primary Education (1-5 Class),20009,local,Female,35857
Primary Education (1-5 Class),20009,local,Male,41051
Secondary Level (Class 9-10),20009,local,Female,5472
Secondary Level (Class 9-10),20009,local,Male,7458
SLC and Equivalent,20009,local,Female,6346
SLC and Equivalent,20009,local,Male,8495
Beginners,20003,local,Female,3749
Beginners,20003,local,Male,4288
Graduate and Equivalent,20003,local,Female,543
Graduate and Equivalent,20003,local,Male,1224
Intermediate and Equivalent,20003,local,Female,3075
Intermediate and Equivalent,20003,local,Male,3577
Level not Stated,20003,local,Female,304
Level not Stated,20003,local,Male,388
Lower Secondary (Class 6-8),20003,local,Female,14533
Lower Secondary (Class 6-8),20003,local,Male,17097
Non Formal Education,20003,local,Female,4405
Non Formal Education,20003,local,Male,3974
Others,20003,local,Female,44
Others,20003,local,Male,54
Post Graduate Equivalent and Above,20003,local,Female,80
Post Graduate Equivalent and Above,20003,local,Male,481
Primary Education (1-5 Class),20003,local,Female,35857
Primary Education (1-5 Class),20003,local,Male,41051
Secondary Level (Class 9-10),20003,local,Female,5472
Secondary Level (Class 9-10),20003,local,Male,7458
SLC and Equivalent,20003,local,Female,6346
SLC and Equivalent,20003,local,Male,8495
Beginners,20005,local,Female,3749
Beginners,20005,local,Male,4288
Graduate and Equivalent,20005,local,Female,543
Graduate and Equivalent,20005,local,Male,1224
Intermediate and Equivalent,20005,local,Female,3075
Intermediate and Equivalent,20005,local,Male,3577
Level not Stated,20005,local,Female,304
Level not Stated,20005,local,Male,388
Lower Secondary (Class 6-8),20005,local,Female,14533
Lower Secondary (Class 6-8),20005,local,Male,17097
Non Formal Education,20005,local,Female,4405
Non Formal Education,20005,local,Male,3974
Others,20005,local,Female,44
Others,20005,local,Male,54
Post Graduate Equivalent and Above,20005,local,Female,80
Post Graduate Equivalent and Above,20005,local,Male,481
Primary Education (1-5 Class),20005,local,Female,35857
Primary Education (1-5 Class),20005,local,Male,41051
Secondary Level (Class 9-10),20005,local,Female,5472
Secondary Level (Class 9-10),20005,local,Male,7458
SLC and Equivalent,20005,local,Female,6346
SLC and Equivalent,20005,local,Male,8495
Beginners,66,district,Female,2212
Beginners,66,district,Male,2462
Graduate and Equivalent,66,district,Female,415
Graduate and Equivalent,66,district,Male,1013
Intermediate and Equivalent,66,district,Female,2858
Intermediate and Equivalent,66,district,Male,3297
Level not Stated,66,district,Female,380
Level not Stated,66,district,Male,436
Lower Secondary (Class 6-8),66,district,Female,14308
Lower Secondary (Class 6-8),66,district,Male,16693
Non Formal Education,66,district,Female,7512
Non Formal Education,66,district,Male,7727
Others,66,district,Female,45
Others,66,district,Male,95
Post Graduate Equivalent and Above,66,district,Female,109
