Agricultural holdings size by land tenure,total,geo_code,geo_level,geo_version
Rented Land Holdings,10642,57003,local,2016
Other Tenure Land,270,50,district,2016
Owned Land Holdings,28374,50,district,2016
Rented Land Holdings,1341,50,district,2016
Other Tenure Land,270,47007,local,2016
Owned Land Holdings,28374,47007,local,2016
Rented Land Holdings,1341,47007,local,2016
Other Tenure Land,270,47005,local,2016
Owned Land Holdings,28374,47005,local,2016
Rented Land Holdings,1341,47005,local,2016
Other Tenure Land,270,47010,local,2016
Owned Land Holdings,28374,47010,local,2016
Rented Land Holdings,1341,47010,local,2016
Other Tenure Land,270,47003,local,2016
Owned Land Holdings,28374,47003,local,2016
Rented Land Holdings,1341,47003,local,2016
Other Tenure Land,270,47008,local,2016
Owned Land Holdings,28374,47008,local,2016
Rented Land Holdings,1341,47008,local,2016
Other Tenure Land,270,47006,local,2016
Owned Land Holdings,28374,47006,local,2016
Rented Land Holdings,1341,47006,local,2016
Other Tenure Land,270,47001,local,2016
Owned Land Holdings,28374,47001,local,2016
Rented Land Holdings,1341,47001,local,2016
Other Tenure Land,270,47009,local,2016
Owned Land Holdings,28374,47009,local,2016
Rented Land Holdings,1341,47009,local,2016
Other Tenure Land,270,47002,local,2016
Owned Land Holdings,28374,47002,local,2016
Rented Land Holdings,1341,47002,local,2016
Other Tenure Land,270,47004,local,2016
Owned Land Holdings,28374,47004,local,2016
Rented Land Holdings,1341,47004,local,2016
Other Tenure Land,16,58,district,2016
Owned Land Holdings,24747,58,district,2016
Rented Land Holdings,90,58,district,2016
Other Tenure Land,16,53008,local,2016
Owned Land Holdings,24747,53008,local,2016
Rented Land Holdings,90,53008,local,2016
Other Tenure Land,16,53001,local,2016
Owned Land Holdings,24747,53001,local,2016
Rented Land Holdings,90,53001,local,2016
Other Tenure Land,16,53003,local,2016
Owned Land Holdings,24747,53003,local,2016
Rented Land Holdings,90,53003,local,2016
Other Tenure Land,16,53004,local,2016
Owned Land Holdings,24747,53004,local,2016
Rented Land Holdings,90,53004,local,2016
Other Tenure Land,16,53010,local,2016
Owned Land Holdings,24747,53010,local,2016
Rented Land Holdings,90,53010,local,2016
Other Tenure Land,16,53006,local,2016
Owned Land Holdings,24747,53006,local,2016
Rented Land Holdings,90,53006,local,2016
Other Tenure Land,16,53009,local,2016
Owned Land Holdings,24747,53009,local,2016
Rented Land Holdings,90,53009,local,2016
Other Tenure Land,16,53005,local,2016
Owned Land Holdings,24747,53005,local,2016
Rented Land Holdings,90,53005,local,2016
Other Tenure Land,16,53002,local,2016
Owned Land Holdings,24747,53002,local,2016
Rented Land Holdings,90,53002,local,2016
Other Tenure Land,16,53007,local,2016
Owned Land Holdings,24747,53007,local,2016
Rented Land Holdings,90,53007,local,2016
Other Tenure Land,648,15,district,2016
Owned Land Holdings,41953,15,district,2016
Rented Land Holdings,19350,15,district,2016
Other Tenure Land,648,56005,local,2016
Owned Land Holdings,41953,56005,local,2016
Rented Land Holdings,19350,56005,local,2016
Other Tenure Land,648,56010,local,2016
Owned Land Holdings,41953,56010,local,2016
Rented Land Holdings,19350,56010,local,2016
Other Tenure Land,648,56003,local,2016
Owned Land Holdings,41953,56003,local,2016
Rented Land Holdings,19350,56003,local,2016
Other Tenure Land,648,56007,local,2016
Owned Land Holdings,41953,56007,local,2016
Rented Land Holdings,19350,56007,local,2016
Other Tenure Land,648,56006,local,2016
Owned Land Holdings,41953,56006,local,2016
Rented Land Holdings,19350,56006,local,2016
Other Tenure Land,648,56009,local,2016
Owned Land Holdings,41953,56009,local,2016
Rented Land Holdings,19350,56009,local,2016
Other Tenure Land,648,56001,local,2016
Owned Land Holdings,41953,56001,local,2016
Rented Land Holdings,19350,56001,local,2016
Other Tenure Land,648,56008,local,2016
Owned Land Holdings,41953,56008,local,2016
Rented Land Holdings,19350,56008,local,2016
Other Tenure Land,648,56002,local,2016
Owned Land Holdings,41953,56002,local,2016
Rented Land Holdings,19350,56002,local,2016
Other Tenure Land,648,56004,local,2016
Owned Land Holdings,41953,56004,local,2016
Rented Land Holdings,19350,56004,local,2016
Other Tenure Land,10,02,district,2016
Owned Land Holdings,31379,02,district,2016
Rented Land Holdings,208,02,district,2016
