Agricultural holdings size by land tenure,total,geo_code,geo_level,geo_version
Other Tenure Land,96,49,district,2016
Owned Land Holdings,27235,49,district,2016
Rented Land Holdings,1216,49,district,2016
Other Tenure Land,96,12008,local,2016
Owned Land Holdings,27235,12008,local,2016
Rented Land Holdings,1216,12008,local,2016
Other Tenure Land,96,12001,local,2016
Owned Land Holdings,27235,12001,local,2016
Rented Land Holdings,1216,12001,local,2016
Other Tenure Land,96,12002,local,2016
Owned Land Holdings,27235,12002,local,2016
Rented Land Holdings,1216,12002,local,2016
Other Tenure Land,96,12004,local,2016
Owned Land Holdings,27235,12004,local,2016
Rented Land Holdings,1216,12004,local,2016
Other Tenure Land,96,12007,local,2016
Owned Land Holdings,27235,12007,local,2016
Rented Land Holdings,1216,12007,local,2016
Other Tenure Land,96,12005,local,2016
Owned Land Holdings,27235,12005,local,2016
Rented Land Holdings,1216,12005,local,2016
Other Tenure Land,96,12003,local,2016
Owned Land Holdings,27235,12003,local,2016
Rented Land Holdings,1216,12003,local,2016
Other Tenure Land,96,12006,local,2016
Owned Land Holdings,27235,12006,local,2016
Rented Land Holdings,1216,12006,local,2016
Other Tenure Land,5,37,district,2016
Owned Land Holdings,28649,37,district,2016
Rented Land Holdings,2696,37,district,2016
Other Tenure Land,5,13006,local,2016
Owned Land Holdings,28649,13006,local,2016
Rented Land Holdings,2696,13006,local,2016
Other Tenure Land,5,13010,local,2016
Owned Land Holdings,28649,13010,local,2016
Rented Land Holdings,2696,13010,local,2016
Other Tenure Land,5,13004,local,2016
Owned Land Holdings,28649,13004,local,2016
Rented Land Holdings,2696,13004,local,2016
Other Tenure Land,5,13001,local,2016
Owned Land Holdings,28649,13001,local,2016
Rented Land Holdings,2696,13001,local,2016
Other Tenure Land,5,13002,local,2016
Owned Land Holdings,28649,13002,local,2016
Rented Land Holdings,2696,13002,local,2016
Other Tenure Land,5,13008,local,2016
Owned Land Holdings,28649,13008,local,2016
Rented Land Holdings,2696,13008,local,2016
Other Tenure Land,5,13003,local,2016
Owned Land Holdings,28649,13003,local,2016
Rented Land Holdings,2696,13003,local,2016
Other Tenure Land,5,13007,local,2016
Owned Land Holdings,28649,13007,local,2016
Rented Land Holdings,2696,13007,local,2016
Other Tenure Land,5,13005,local,2016
Owned Land Holdings,28649,13005,local,2016
Rented Land Holdings,2696,13005,local,2016
Other Tenure Land,5,13009,local,2016
Owned Land Holdings,28649,13009,local,2016
Rented Land Holdings,2696,13009,local,2016
Other Tenure Land,2,73,district,2016
Owned Land Holdings,18980,73,district,2016
Rented Land Holdings,3346,73,district,2016
Other Tenure Land,2,1005,local,2016
Owned Land Holdings,18980,1005,local,2016
Rented Land Holdings,3346,1005,local,2016
Other Tenure Land,2,1002,local,2016
Owned Land Holdings,18980,1002,local,2016
Rented Land Holdings,3346,1002,local,2016
Other Tenure Land,2,1006,local,2016
Owned Land Holdings,18980,1006,local,2016
Rented Land Holdings,3346,1006,local,2016
Other Tenure Land,2,1007,local,2016
Owned Land Holdings,18980,1007,local,2016
Rented Land Holdings,3346,1007,local,2016
Other Tenure Land,2,1004,local,2016
Owned Land Holdings,18980,1004,local,2016
Rented Land Holdings,3346,1004,local,2016
Other Tenure Land,2,1008,local,2016
Owned Land Holdings,18980,1008,local,2016
Rented Land Holdings,3346,1008,local,2016
Other Tenure Land,2,1009,local,2016
Owned Land Holdings,18980,1009,local,2016
Rented Land Holdings,3346,1009,local,2016
Other Tenure Land,2,1003,local,2016
Owned Land Holdings,18980,1003,local,2016
Rented Land Holdings,3346,1003,local,2016
Other Tenure Land,2,1001,local,2016
Owned Land Holdings,18980,1001,local,2016
Rented Land Holdings,3346,1001,local,2016
Other Tenure Land,163,43,district,2016
Owned Land Holdings,84504,43,district,2016
Rented Land Holdings,25276,43,district,2016
Other Tenure Land,163,5015,local,2016
Owned Land Holdings,84504,5015,local,2016
Rented Land Holdings,25276,5015,local,2016
Other Tenure Land,163,5010,local,2016
Owned Land Holdings,84504,5010,local,2016
Rented Land Holdings,25276,5010,local,2016
Other Tenure Land,163,5014,local,2016
Owned Land Holdings,84504,5014,local,2016
Rented Land Holdings,25276,5014,local,2016
Other Tenure Land,163,5003,local,2016
Owned Land Holdings,84504,5003,local,2016
Rented Land Holdings,25276,5003,local,2016
Other Tenure Land,163,5017,local,2016
Owned Land Holdings,84504,5017,local,2016
Rented Land Holdings,25276,5017,local,2016
Other Tenure Land,163,5016,local,2016
Owned Land Holdings,84504,5016,local,2016
Rented Land Holdings,25276,5016,local,2016
Other Tenure Land,163,5007,local,2016
Owned Land Holdings,84504,5007,local,2016
Rented Land Holdings,25276,5007,local,2016
Other Tenure Land,163,5001,local,2016
Owned Land Holdings,84504,5001,local,2016
Rented Land Holdings,25276,5001,local,2016
Other Tenure Land,163,5012,local,2016
Owned Land Holdings,84504,5012,local,2016
Rented Land Holdings,25276,5012,local,2016
Other Tenure Land,163,5011,local,2016
Owned Land Holdings,84504,5011,local,2016
Rented Land Holdings,25276,5011,local,2016
Other Tenure Land,163,5005,local,2016
Owned Land Holdings,84504,5005,local,2016
Rented Land Holdings,25276,5005,local,2016
Other Tenure Land,163,5013,local,2016
Owned Land Holdings,84504,5013,local,2016
Rented Land Holdings,25276,5013,local,2016
Other Tenure Land,163,5008,local,2016
Owned Land Holdings,84504,5008,local,2016
Rented Land Holdings,25276,5008,local,2016
Other Tenure Land,163,5004,local,2016
Owned Land Holdings,84504,5004,local,2016
Rented Land Holdings,25276,5004,local,2016
Other Tenure Land,163,5006,local,2016
Owned Land Holdings,84504,5006,local,2016
Rented Land Holdings,25276,5006,local,2016
Other Tenure Land,163,5009,local,2016
Owned Land Holdings,84504,5009,local,2016
Rented Land Holdings,25276,5009,local,2016
Other Tenure Land,163,5002,local,2016
Owned Land Holdings,84504,5002,local,2016
Rented Land Holdings,25276,5002,local,2016
Other Tenure Land,0,68,district,2016
Owned Land Holdings,17730,68,district,2016
Rented Land Holdings,1387,68,district,2016
Other Tenure Land,0,11001,local,2016
Owned Land Holdings,17730,11001,local,2016
Rented Land Holdings,1387,11001,local,2016
Other Tenure Land,0,11006,local,2016
Owned Land Holdings,17730,11006,local,2016
Rented Land Holdings,1387,11006,local,2016
Other Tenure Land,0,11007,local,2016
Owned Land Holdings,17730,11007,local,2016
Rented Land Holdings,1387,11007,local,2016
Other Tenure Land,0,11004,local,2016
Owned Land Holdings,17730,11004,local,2016
Rented Land Holdings,1387,11004,local,2016
Other Tenure Land,0,11003,local,2016
Owned Land Holdings,17730,11003,local,2016
Rented Land Holdings,1387,11003,local,2016
Other Tenure Land,0,11008,local,2016
Owned Land Holdings,17730,11008,local,2016
Rented Land Holdings,1387,11008,local,2016
Other Tenure Land,0,11005,local,2016
Owned Land Holdings,17730,11005,local,2016
Rented Land Holdings,1387,11005,local,2016
Other Tenure Land,0,11002,local,2016
Owned Land Holdings,17730,11002,local,2016
Rented Land Holdings,1387,11002,local,2016
Other Tenure Land,730,6,province,2016
Owned Land Holdings,136843,6,province,2016
Rented Land Holdings,4121,6,province,2016
Other Tenure Land,0,14,district,2016
Owned Land Holdings,21147,14,district,2016
Rented Land Holdings,183,14,district,2016
Other Tenure Land,0,60001,local,2016
Owned Land Holdings,21147,60001,local,2016
Rented Land Holdings,183,60001,local,2016
Other Tenure Land,0,60007,local,2016
Owned Land Holdings,21147,60007,local,2016
Rented Land Holdings,183,60007,local,2016
Other Tenure Land,0,60002,local,2016
Owned Land Holdings,21147,60002,local,2016
Rented Land Holdings,183,60002,local,2016
Other Tenure Land,0,60009,local,2016
Owned Land Holdings,21147,60009,local,2016
Rented Land Holdings,183,60009,local,2016
Other Tenure Land,0,60006,local,2016
Owned Land Holdings,21147,60006,local,2016
Rented Land Holdings,183,60006,local,2016
Other Tenure Land,0,60004,local,2016
Owned Land Holdings,21147,60004,local,2016
Rented Land Holdings,183,60004,local,2016
Other Tenure Land,0,60005,local,2016
Owned Land Holdings,21147,60005,local,2016
Rented Land Holdings,183,60005,local,2016
Other Tenure Land,0,60010,local,2016
Owned Land Holdings,21147,60010,local,2016
Rented Land Holdings,183,60010,local,2016
Other Tenure Land,0,60003,local,2016
Owned Land Holdings,21147,60003,local,2016
Rented Land Holdings,183,60003,local,2016
Other Tenure Land,0,60008,local,2016
Owned Land Holdings,21147,60008,local,2016
Rented Land Holdings,183,60008,local,2016
Other Tenure Land,0,60011,local,2016
Owned Land Holdings,21147,60011,local,2016
Rented Land Holdings,183,60011,local,2016
Other Tenure Land,29,25,district,2016
Owned Land Holdings,5187,25,district,2016
Rented Land Holdings,16,25,district,2016
Other Tenure Land,29,66001,local,2016
Owned Land Holdings,5187,66001,local,2016
Rented Land Holdings,16,66001,local,2016
Other Tenure Land,29,66005,local,2016
Owned Land Holdings,5187,66005,local,2016
Rented Land Holdings,16,66005,local,2016
Other Tenure Land,29,66004,local,2016
Owned Land Holdings,5187,66004,local,2016
Rented Land Holdings,16,66004,local,2016
Other Tenure Land,29,66003,local,2016
Owned Land Holdings,5187,66003,local,2016
Rented Land Holdings,16,66003,local,2016
Other Tenure Land,29,66002,local,2016
Owned Land Holdings,5187,66002,local,2016
Rented Land Holdings,16,66002,local,2016
Other Tenure Land,29,66006,local,2016
Owned Land Holdings,5187,66006,local,2016
Rented Land Holdings,16,66006,local,2016
Other Tenure Land,29,66007,local,2016
Owned Land Holdings,5187,66007,local,2016
Rented Land Holdings,16,66007,local,2016
Other Tenure Land,0,29,district,2016
Owned Land Holdings,6852,29,district,2016
Rented Land Holdings,159,29,district,2016
Other Tenure Land,0,63004,local,2016
Owned Land Holdings,6852,63004,local,2016
Rented Land Holdings,159,63004,local,2016
Other Tenure Land,0,63006,local,2016
Owned Land Holdings,6852,63006,local,2016
Rented Land Holdings,159,63006,local,2016
Other Tenure Land,0,63008,local,2016
Owned Land Holdings,6852,63008,local,2016
Rented Land Holdings,159,63008,local,2016
Other Tenure Land,0,63005,local,2016
Owned Land Holdings,6852,63005,local,2016
Rented Land Holdings,159,63005,local,2016
Other Tenure Land,0,63001,local,2016
Owned Land Holdings,6852,63001,local,2016
Rented Land Holdings,159,63001,local,2016
Other Tenure Land,0,63002,local,2016
Owned Land Holdings,6852,63002,local,2016
Rented Land Holdings,159,63002,local,2016
Other Tenure Land,0,63003,local,2016
Owned Land Holdings,6852,63003,local,2016
Rented Land Holdings,159,63003,local,2016
Other Tenure Land,0,63007,local,2016
Owned Land Holdings,6852,63007,local,2016
Rented Land Holdings,159,63007,local,2016
Other Tenure Land,560,70,district,2016
Owned Land Holdings,25351,70,district,2016
Rented Land Holdings,1331,70,district,2016
Other Tenure Land,560,59008,local,2016
Owned Land Holdings,25351,59008,local,2016
Rented Land Holdings,1331,59008,local,2016
Other Tenure Land,560,59005,local,2016
Owned Land Holdings,25351,59005,local,2016
Rented Land Holdings,1331,59005,local,2016
Other Tenure Land,560,59006,local,2016
Owned Land Holdings,25351,59006,local,2016
Rented Land Holdings,1331,59006,local,2016
Other Tenure Land,560,59001,local,2016
Owned Land Holdings,25351,59001,local,2016
Rented Land Holdings,1331,59001,local,2016
Other Tenure Land,560,59007,local,2016
Owned Land Holdings,25351,59007,local,2016
Rented Land Holdings,1331,59007,local,2016
Other Tenure Land,560,59009,local,2016
Owned Land Holdings,25351,59009,local,2016
Rented Land Holdings,1331,59009,local,2016
Other Tenure Land,560,59003,local,2016
Owned Land Holdings,25351,59003,local,2016
Rented Land Holdings,1331,59003,local,2016
Other Tenure Land,560,59002,local,2016
Owned Land Holdings,25351,59002,local,2016
Rented Land Holdings,1331,59002,local,2016
Other Tenure Land,560,59004,local,2016
Owned Land Holdings,25351,59004,local,2016
Rented Land Holdings,1331,59004,local,2016
Other Tenure Land,0,21,district,2016
Owned Land Holdings,3700,21,district,2016
Rented Land Holdings,34,21,district,2016
Other Tenure Land,0,62007,local,2016
Owned Land Holdings,3700,62007,local,2016
Rented Land Holdings,34,62007,local,2016
Other Tenure Land,0,62004,local,2016
Owned Land Holdings,3700,62004,local,2016
Rented Land Holdings,34,62004,local,2016
Other Tenure Land,0,62001,local,2016
Owned Land Holdings,3700,62001,local,2016
Rented Land Holdings,34,62001,local,2016
Other Tenure Land,0,62006,local,2016
Owned Land Holdings,3700,62006,local,2016
Rented Land Holdings,34,62006,local,2016
Other Tenure Land,0,62003,local,2016
Owned Land Holdings,3700,62003,local,2016
Rented Land Holdings,34,62003,local,2016
Other Tenure Land,0,62002,local,2016
Owned Land Holdings,3700,62002,local,2016
Rented Land Holdings,34,62002,local,2016
Other Tenure Land,0,62008,local,2016
Owned Land Holdings,3700,62008,local,2016
Rented Land Holdings,34,62008,local,2016
Other Tenure Land,0,62005,local,2016
Owned Land Holdings,3700,62005,local,2016
Rented Land Holdings,34,62005,local,2016
Other Tenure Land,0,44,district,2016
Owned Land Holdings,6120,44,district,2016
Rented Land Holdings,98,44,district,2016
Other Tenure Land,0,65002,local,2016
Owned Land Holdings,6120,65002,local,2016
Rented Land Holdings,98,65002,local,2016
Other Tenure Land,0,65001,local,2016
Owned Land Holdings,6120,65001,local,2016
Rented Land Holdings,98,65001,local,2016
Other Tenure Land,0,65003,local,2016
Owned Land Holdings,6120,65003,local,2016
Rented Land Holdings,98,65003,local,2016
Other Tenure Land,0,65004,local,2016
Owned Land Holdings,6120,65004,local,2016
Rented Land Holdings,98,65004,local,2016
Other Tenure Land,3,61,district,2016
Owned Land Holdings,26548,61,district,2016
Rented Land Holdings,134,61,district,2016
Other Tenure Land,3,55009,local,2016
Owned Land Holdings,26548,55009,local,2016
Rented Land Holdings,134,55009,local,2016
Other Tenure Land,3,55003,local,2016
Owned Land Holdings,26548,55003,local,2016
Rented Land Holdings,134,55003,local,2016
Other Tenure Land,3,55002,local,2016
Owned Land Holdings,26548,55002,local,2016
Rented Land Holdings,134,55002,local,2016
Other Tenure Land,3,55010,local,2016
Owned Land Holdings,26548,55010,local,2016
Rented Land Holdings,134,55010,local,2016
Other Tenure Land,3,55006,local,2016
Owned Land Holdings,26548,55006,local,2016
Rented Land Holdings,134,55006,local,2016
Other Tenure Land,3,55001,local,2016
Owned Land Holdings,26548,55001,local,2016
Rented Land Holdings,134,55001,local,2016
Other Tenure Land,3,55007,local,2016
Owned Land Holdings,26548,55007,local,2016
Rented Land Holdings,134,55007,local,2016
Other Tenure Land,3,55004,local,2016
Owned Land Holdings,26548,55004,local,2016
Rented Land Holdings,134,55004,local,2016
Other Tenure Land,3,55008,local,2016
Owned Land Holdings,26548,55008,local,2016
Rented Land Holdings,134,55008,local,2016
Other Tenure Land,3,55005,local,2016
Owned Land Holdings,26548,55005,local,2016
Rented Land Holdings,134,55005,local,2016
Other Tenure Land,5,77,district,2016
Owned Land Holdings,13192,77,district,2016
Rented Land Holdings,219,77,district,2016
Other Tenure Land,5,54003,local,2016
Owned Land Holdings,13192,54003,local,2016
Rented Land Holdings,219,54003,local,2016
Other Tenure Land,5,54001,local,2016
Owned Land Holdings,13192,54001,local,2016
Rented Land Holdings,219,54001,local,2016
Other Tenure Land,5,54005,local,2016
Owned Land Holdings,13192,54005,local,2016
Rented Land Holdings,219,54005,local,2016
Other Tenure Land,5,54006,local,2016
Owned Land Holdings,13192,54006,local,2016
Rented Land Holdings,219,54006,local,2016
Other Tenure Land,5,54002,local,2016
Owned Land Holdings,13192,54002,local,2016
Rented Land Holdings,219,54002,local,2016
Other Tenure Land,5,54004,local,2016
Owned Land Holdings,13192,54004,local,2016
Rented Land Holdings,219,54004,local,2016
Other Tenure Land,114,27,district,2016
Owned Land Holdings,14800,27,district,2016
Rented Land Holdings,1213,27,district,2016
Other Tenure Land,114,61005,local,2016
Owned Land Holdings,14800,61005,local,2016
Rented Land Holdings,1213,61005,local,2016
Other Tenure Land,114,61004,local,2016
Owned Land Holdings,14800,61004,local,2016
Rented Land Holdings,1213,61004,local,2016
Other Tenure Land,114,61002,local,2016
Owned Land Holdings,14800,61002,local,2016
Rented Land Holdings,1213,61002,local,2016
Other Tenure Land,114,61001,local,2016
Owned Land Holdings,14800,61001,local,2016
Rented Land Holdings,1213,61001,local,2016
Other Tenure Land,114,61006,local,2016
Owned Land Holdings,14800,61006,local,2016
Rented Land Holdings,1213,61006,local,2016
Other Tenure Land,114,61007,local,2016
Owned Land Holdings,14800,61007,local,2016
Rented Land Holdings,1213,61007,local,2016
Other Tenure Land,114,61003,local,2016
Owned Land Holdings,14800,61003,local,2016
Rented Land Holdings,1213,61003,local,2016
Other Tenure Land,19,31,district,2016
Owned Land Holdings,13947,31,district,2016
Rented Land Holdings,735,31,district,2016
Other Tenure Land,19,64002,local,2016
Owned Land Holdings,13947,64002,local,2016
Rented Land Holdings,735,64002,local,2016
Other Tenure Land,19,64001,local,2016
Owned Land Holdings,13947,64001,local,2016
Rented Land Holdings,735,64001,local,2016
Other Tenure Land,19,64006,local,2016
Owned Land Holdings,13947,64006,local,2016
Rented Land Holdings,735,64006,local,2016
Other Tenure Land,19,64004,local,2016
Owned Land Holdings,13947,64004,local,2016
Rented Land Holdings,735,64004,local,2016
Other Tenure Land,19,64009,local,2016
Owned Land Holdings,13947,64009,local,2016
Rented Land Holdings,735,64009,local,2016
Other Tenure Land,19,64008,local,2016
Owned Land Holdings,13947,64008,local,2016
Rented Land Holdings,735,64008,local,2016
Other Tenure Land,19,64007,local,2016
Owned Land Holdings,13947,64007,local,2016
Rented Land Holdings,735,64007,local,2016
Other Tenure Land,19,64003,local,2016
Owned Land Holdings,13947,64003,local,2016
Rented Land Holdings,735,64003,local,2016
Other Tenure Land,19,64005,local,2016
Owned Land Holdings,13947,64005,local,2016
Rented Land Holdings,735,64005,local,2016
