lighting fuel,total,geo_code,geo_level
Kerosene,7842,28011,local
Not Sated about Light,505,28011,local
Others Type of Light,669,28011,local
Solar,948,28011,local
Bio-Gas,100,28012,local
Electricity,49130,28012,local
Kerosene,7842,28012,local
Not Sated about Light,505,28012,local
Others Type of Light,669,28012,local
Solar,948,28012,local
Bio-Gas,100,28003,local
Electricity,49130,28003,local
Kerosene,7842,28003,local
Not Sated about Light,505,28003,local
Others Type of Light,669,28003,local
Solar,948,28003,local
Bio-Gas,100,28005,local
Electricity,49130,28005,local
Kerosene,7842,28005,local
Not Sated about Light,505,28005,local
Others Type of Light,669,28005,local
Solar,948,28005,local
Bio-Gas,100,28010,local
Electricity,49130,28010,local
Kerosene,7842,28010,local
Not Sated about Light,505,28010,local
Others Type of Light,669,28010,local
Solar,948,28010,local
Bio-Gas,100,28007,local
Electricity,49130,28007,local
Kerosene,7842,28007,local
Not Sated about Light,505,28007,local
Others Type of Light,669,28007,local
Solar,948,28007,local
Bio-Gas,100,28001,local
Electricity,49130,28001,local
Kerosene,7842,28001,local
Not Sated about Light,505,28001,local
Others Type of Light,669,28001,local
Solar,948,28001,local
Bio-Gas,100,28004,local
Electricity,49130,28004,local
Kerosene,7842,28004,local
Not Sated about Light,505,28004,local
Others Type of Light,669,28004,local
Solar,948,28004,local
Bio-Gas,38,17,district
Electricity,46257,17,district
Kerosene,14282,17,district
Not Sated about Light,265,17,district
Others Type of Light,4804,17,district
Solar,8196,17,district
Bio-Gas,38,30010,local
Electricity,46257,30010,local
Kerosene,14282,30010,local
Not Sated about Light,265,30010,local
Others Type of Light,4804,30010,local
Solar,8196,30010,local
Bio-Gas,38,30007,local
Electricity,46257,30007,local
Kerosene,14282,30007,local
Not Sated about Light,265,30007,local
Others Type of Light,4804,30007,local
Solar,8196,30007,local
Bio-Gas,38,30004,local
Electricity,46257,30004,local
Kerosene,14282,30004,local
Not Sated about Light,265,30004,local
Others Type of Light,4804,30004,local
Solar,8196,30004,local
Bio-Gas,38,30009,local
Electricity,46257,30009,local
Kerosene,14282,30009,local
Not Sated about Light,265,30009,local
Others Type of Light,4804,30009,local
Solar,8196,30009,local
Bio-Gas,38,30011,local
Electricity,46257,30011,local
Kerosene,14282,30011,local
Not Sated about Light,265,30011,local
Others Type of Light,4804,30011,local
Solar,8196,30011,local
Bio-Gas,38,30005,local
Electricity,46257,30005,local
Kerosene,14282,30005,local
Not Sated about Light,265,30005,local
Others Type of Light,4804,30005,local
Solar,8196,30005,local
Bio-Gas,38,30008,local
Electricity,46257,30008,local
Kerosene,14282,30008,local
Not Sated about Light,265,30008,local
Others Type of Light,4804,30008,local
Solar,8196,30008,local
Bio-Gas,38,30003,local
Electricity,46257,30003,local
Kerosene,14282,30003,local
Not Sated about Light,265,30003,local
Others Type of Light,4804,30003,local
Solar,8196,30003,local
Bio-Gas,38,30006,local
Electricity,46257,30006,local
Kerosene,14282,30006,local
Not Sated about Light,265,30006,local
Others Type of Light,4804,30006,local
Solar,8196,30006,local
Bio-Gas,38,30013,local
Electricity,46257,30013,local
Kerosene,14282,30013,local
Not Sated about Light,265,30013,local
Others Type of Light,4804,30013,local
Solar,8196,30013,local
Bio-Gas,38,30002,local
Electricity,46257,30002,local
Kerosene,14282,30002,local
Not Sated about Light,265,30002,local
Others Type of Light,4804,30002,local
Solar,8196,30002,local
Bio-Gas,38,30012,local
Electricity,46257,30012,local
Kerosene,14282,30012,local
Not Sated about Light,265,30012,local
Others Type of Light,4804,30012,local
Solar,8196,30012,local
Bio-Gas,38,30001,local
Electricity,46257,30001,local
Kerosene,14282,30001,local
Not Sated about Light,265,30001,local
Others Type of Light,4804,30001,local
Solar,8196,30001,local
Bio-Gas,2133,5,province
Electricity,583931,5,province
Kerosene,181881,5,province
Not Sated about Light,4584,5,province
Others Type of Light,53863,5,province
Solar,58365,5,province
Bio-Gas,125,24,district
Electricity,41654,24,district
Kerosene,13562,24,district
Not Sated about Light,159,24,district
Others Type of Light,1850,24,district
Solar,7537,24,district
Bio-Gas,125,46006,local
Electricity,41654,46006,local
Kerosene,13562,46006,local
Not Sated about Light,159,46006,local
Others Type of Light,1850,46006,local
Solar,7537,46006,local
Bio-Gas,125,46001,local
Electricity,41654,46001,local
Kerosene,13562,46001,local
Not Sated about Light,159,46001,local
Others Type of Light,1850,46001,local
Solar,7537,46001,local
Bio-Gas,125,46010,local
Electricity,41654,46010,local
Kerosene,13562,46010,local
Not Sated about Light,159,46010,local
Others Type of Light,1850,46010,local
Solar,7537,46010,local
Bio-Gas,125,46008,local
Electricity,41654,46008,local
Kerosene,13562,46008,local
Not Sated about Light,159,46008,local
Others Type of Light,1850,46008,local
Solar,7537,46008,local
Bio-Gas,125,46011,local
Electricity,41654,46011,local
Kerosene,13562,46011,local
Not Sated about Light,159,46011,local
Others Type of Light,1850,46011,local
Solar,7537,46011,local
Bio-Gas,125,46012,local
Electricity,41654,46012,local
Kerosene,13562,46012,local
Not Sated about Light,159,46012,local
Others Type of Light,1850,46012,local
Solar,7537,46012,local
Bio-Gas,125,46003,local
Electricity,41654,46003,local
Kerosene,13562,46003,local
Not Sated about Light,159,46003,local
Others Type of Light,1850,46003,local
Solar,7537,46003,local
Bio-Gas,125,46002,local
Electricity,41654,46002,local
Kerosene,13562,46002,local
Not Sated about Light,159,46002,local
Others Type of Light,1850,46002,local
Solar,7537,46002,local
Bio-Gas,125,46004,local
Electricity,41654,46004,local
Kerosene,13562,46004,local
Not Sated about Light,159,46004,local
Others Type of Light,1850,46004,local
Solar,7537,46004,local
Bio-Gas,125,46007,local
Electricity,41654,46007,local
Kerosene,13562,46007,local
Not Sated about Light,159,46007,local
Others Type of Light,1850,46007,local
Solar,7537,46007,local
Bio-Gas,125,46009,local
Electricity,41654,46009,local
Kerosene,13562,46009,local
Not Sated about Light,159,46009,local
Others Type of Light,1850,46009,local
Solar,7537,46009,local
Bio-Gas,125,46005,local
Electricity,41654,46005,local
Kerosene,13562,46005,local
Not Sated about Light,159,46005,local
Others Type of Light,1850,46005,local
Solar,7537,46005,local
Bio-Gas,67,59,district
Electricity,2011,59,district
Kerosene,752,59,district
Not Sated about Light,24,59,district
Others Type of Light,3287,59,district
Solar,5061,59,district
Bio-Gas,67,77001,local
Electricity,2011,77001,local
Kerosene,752,77001,local
Not Sated about Light,24,77001,local
Others Type of Light,3287,77001,local
Solar,5061,77001,local
Bio-Gas,67,77002,local
Electricity,2011,77002,local
Kerosene,752,77002,local
Not Sated about Light,24,77002,local
Others Type of Light,3287,77002,local
Solar,5061,77002,local
Bio-Gas,67,77003,local
Electricity,2011,77003,local
Kerosene,752,77003,local
Not Sated about Light,24,77003,local
Others Type of Light,3287,77003,local
Solar,5061,77003,local
Bio-Gas,86,54,district
Electricity,25591,54,district
Kerosene,10346,54,district
Not Sated about Light,141,54,district
Others Type of Light,8277,54,district
Solar,3275,54,district
Bio-Gas,86,52001,local
Electricity,25591,52001,local
Kerosene,10346,52001,local
Not Sated about Light,141,52001,local
Others Type of Light,8277,52001,local
Solar,3275,52001,local
Bio-Gas,86,52004,local
Electricity,25591,52004,local
Kerosene,10346,52004,local
Not Sated about Light,141,52004,local
Others Type of Light,8277,52004,local
Solar,3275,52004,local
Bio-Gas,86,52003,local
Electricity,25591,52003,local
Kerosene,10346,52003,local
Not Sated about Light,141,52003,local
Others Type of Light,8277,52003,local
Solar,3275,52003,local
Bio-Gas,86,52005,local
Electricity,25591,52005,local
Kerosene,10346,52005,local
Not Sated about Light,141,52005,local
Others Type of Light,8277,52005,local
Solar,3275,52005,local
Bio-Gas,86,52008,local
Electricity,25591,52008,local
