geo_code,geo_level,literacy,sex,total,geo_version
26001,local,Read Only,Female,581,2016
26001,local,Read Only,Male,456,2016
20,district,Literate,Female,49079,2016
20,district,Literate,Male,56797,2016
20,district,Not Read/Write,Female,39030,2016
20,district,Not Read/Write,Male,18373,2016
20,district,Not Stated,Female,110,2016
20,district,Not Stated,Male,46,2016
20,district,Read Only,Female,3331,2016
20,district,Read Only,Male,2601,2016
22003,local,Literate,Female,4295,2016
22003,local,Literate,Male,5478,2016
22003,local,Not Read/Write,Female,4167,2016
22003,local,Not Read/Write,Male,2295,2016
22003,local,Not Stated,Female,9,2016
22003,local,Not Stated,Male,6,2016
22003,local,Read Only,Female,262,2016
22003,local,Read Only,Male,256,2016
22008,local,Literate,Female,5158,2016
22008,local,Literate,Male,5612,2016
22008,local,Not Read/Write,Female,4668,2016
22008,local,Not Read/Write,Male,2162,2016
22008,local,Not Stated,Female,4,2016
22008,local,Not Stated,Male,1,2016
22008,local,Read Only,Female,202,2016
22008,local,Read Only,Male,174,2016
22009,local,Literate,Female,5374,2016
22009,local,Literate,Male,6118,2016
22009,local,Not Read/Write,Female,3579,2016
22009,local,Not Read/Write,Male,1581,2016
22009,local,Not Stated,Female,1,2016
22009,local,Not Stated,Male,0,2016
22009,local,Read Only,Female,365,2016
22009,local,Read Only,Male,248,2016
22002,local,Literate,Female,9742,2016
22002,local,Literate,Male,10928,2016
22002,local,Not Read/Write,Female,5732,2016
22002,local,Not Read/Write,Male,2318,2016
22002,local,Not Stated,Female,20,2016
22002,local,Not Stated,Male,7,2016
22002,local,Read Only,Female,776,2016
22002,local,Read Only,Male,472,2016
22004,local,Literate,Female,3798,2016
22004,local,Literate,Male,4975,2016
22004,local,Not Read/Write,Female,3933,2016
22004,local,Not Read/Write,Male,2043,2016
22004,local,Not Stated,Female,0,2016
22004,local,Not Stated,Male,0,2016
22004,local,Read Only,Female,380,2016
22004,local,Read Only,Male,342,2016
22006,local,Literate,Female,5912,2016
22006,local,Literate,Male,7116,2016
22006,local,Not Read/Write,Female,4643,2016
22006,local,Not Read/Write,Male,2489,2016
22006,local,Not Stated,Female,61,2016
22006,local,Not Stated,Male,29,2016
22006,local,Read Only,Female,317,2016
22006,local,Read Only,Male,248,2016
22005,local,Literate,Female,4106,2016
22005,local,Literate,Male,4663,2016
22005,local,Not Read/Write,Female,3456,2016
22005,local,Not Read/Write,Male,1682,2016
22005,local,Not Stated,Female,4,2016
22005,local,Not Stated,Male,1,2016
22005,local,Read Only,Female,193,2016
22005,local,Read Only,Male,152,2016
22007,local,Literate,Female,5277,2016
22007,local,Literate,Male,5779,2016
22007,local,Not Read/Write,Female,4570,2016
22007,local,Not Read/Write,Male,1957,2016
22007,local,Not Stated,Female,9,2016
22007,local,Not Stated,Male,2,2016
22007,local,Read Only,Female,489,2016
22007,local,Read Only,Male,418,2016
22001,local,Literate,Female,5417,2016
22001,local,Literate,Male,6128,2016
22001,local,Not Read/Write,Female,4282,2016
22001,local,Not Read/Write,Male,1846,2016
22001,local,Not Stated,Female,2,2016
22001,local,Not Stated,Male,0,2016
22001,local,Read Only,Female,347,2016
22001,local,Read Only,Male,291,2016
41,district,Literate,Female,117952,2016
41,district,Literate,Male,136808,2016
41,district,Not Read/Write,Female,71733,2016
41,district,Not Read/Write,Male,40750,2016
41,district,Not Stated,Female,89,2016
41,district,Not Stated,Male,67,2016
41,district,Read Only,Female,5012,2016
41,district,Read Only,Male,5009,2016
31010,local,Literate,Female,11698,2016
31010,local,Literate,Male,13633,2016
