home ownership,total,geo_code,geo_level,geo_version
Institutional House,4,28010,local,2016
Other Type of House,14,28010,local,2016
Owned House,3452,28010,local,2016
Rental House,39,28010,local,2016
Institutional House,6,28007,local,2016
Other Type of House,16,28007,local,2016
Owned House,3296,28007,local,2016
Rental House,70,28007,local,2016
Institutional House,5,28001,local,2016
Other Type of House,35,28001,local,2016
Owned House,7949,28001,local,2016
Rental House,110,28001,local,2016
Institutional House,12,28004,local,2016
Other Type of House,57,28004,local,2016
Owned House,4961,28004,local,2016
Rental House,153,28004,local,2016
Institutional House,235,17,district,2016
Other Type of House,677,17,district,2016
Owned House,67706,17,district,2016
Rental House,5224,17,district,2016
Institutional House,7,30010,local,2016
Other Type of House,7,30010,local,2016
Owned House,2097,30010,local,2016
Rental House,23,30010,local,2016
Institutional House,0,30007,local,2016
Other Type of House,15,30007,local,2016
Owned House,2575,30007,local,2016
Rental House,61,30007,local,2016
Institutional House,16,30004,local,2016
Other Type of House,58,30004,local,2016
Owned House,4925,30004,local,2016
Rental House,411,30004,local,2016
Institutional House,89,30009,local,2016
Other Type of House,103,30009,local,2016
Owned House,11522,30009,local,2016
Rental House,2270,30009,local,2016
Institutional House,4,30011,local,2016
Other Type of House,29,30011,local,2016
Owned House,5031,30011,local,2016
Rental House,74,30011,local,2016
Institutional House,2,30005,local,2016
Other Type of House,41,30005,local,2016
Owned House,4769,30005,local,2016
Rental House,52,30005,local,2016
Institutional House,0,30008,local,2016
Other Type of House,12,30008,local,2016
Owned House,3043,30008,local,2016
Rental House,66,30008,local,2016
Institutional House,36,30003,local,2016
Other Type of House,59,30003,local,2016
Owned House,4916,30003,local,2016
Rental House,589,30003,local,2016
Institutional House,4,30006,local,2016
Other Type of House,33,30006,local,2016
Owned House,5639,30006,local,2016
Rental House,54,30006,local,2016
Institutional House,6,30013,local,2016
Other Type of House,58,30013,local,2016
Owned House,5146,30013,local,2016
Rental House,145,30013,local,2016
Institutional House,27,30002,local,2016
Other Type of House,63,30002,local,2016
Owned House,6308,30002,local,2016
Rental House,361,30002,local,2016
Institutional House,12,30012,local,2016
Other Type of House,137,30012,local,2016
Owned House,6223,30012,local,2016
Rental House,555,30012,local,2016
Institutional House,32,30001,local,2016
Other Type of House,62,30001,local,2016
Owned House,5512,30001,local,2016
Rental House,563,30001,local,2016
Institutional House,4060,5,province,2016
Other Type of House,7317,5,province,2016
Owned House,802408,5,province,2016
Rental House,70972,5,province,2016
Institutional House,232,24,district,2016
Other Type of House,819,24,district,2016
Owned House,58924,24,district,2016
Rental House,4912,24,district,2016
Institutional House,3,46006,local,2016
Other Type of House,56,46006,local,2016
Owned House,3865,46006,local,2016
Rental House,174,46006,local,2016
Institutional House,5,46001,local,2016
Other Type of House,110,46001,local,2016
Owned House,4574,46001,local,2016
Rental House,432,46001,local,2016
Institutional House,94,46010,local,2016
Other Type of House,77,46010,local,2016
Owned House,5843,46010,local,2016
Rental House,2339,46010,local,2016
Institutional House,2,46008,local,2016
Other Type of House,35,46008,local,2016
Owned House,4393,46008,local,2016
Rental House,120,46008,local,2016
Institutional House,17,46011,local,2016
Other Type of House,77,46011,local,2016
Owned House,4291,46011,local,2016
Rental House,318,46011,local,2016
Institutional House,79,46012,local,2016
Other Type of House,108,46012,local,2016
Owned House,4992,46012,local,2016
Rental House,347,46012,local,2016
Institutional House,3,46003,local,2016
Other Type of House,39,46003,local,2016
Owned House,5187,46003,local,2016
Rental House,78,46003,local,2016
Institutional House,7,46002,local,2016
Other Type of House,67,46002,local,2016
Owned House,4987,46002,local,2016
Rental House,254,46002,local,2016
Institutional House,5,46004,local,2016
Other Type of House,69,46004,local,2016
Owned House,4993,46004,local,2016
Rental House,199,46004,local,2016
Institutional House,2,46007,local,2016
Other Type of House,33,46007,local,2016
Owned House,4710,46007,local,2016
Rental House,112,46007,local,2016
Institutional House,13,46009,local,2016
Other Type of House,118,46009,local,2016
Owned House,6513,46009,local,2016
Rental House,431,46009,local,2016
Institutional House,2,46005,local,2016
Other Type of House,30,46005,local,2016
Owned House,4576,46005,local,2016
Rental House,108,46005,local,2016
Institutional House,7,59,district,2016
Other Type of House,135,59,district,2016
Owned House,10852,59,district,2016
Rental House,208,59,district,2016
Institutional House,1,77001,local,2016
Other Type of House,33,77001,local,2016
Owned House,3737,77001,local,2016
Rental House,64,77001,local,2016
Institutional House,4,77002,local,2016
Other Type of House,89,77002,local,2016
Owned House,3726,77002,local,2016
Rental House,42,77002,local,2016
Institutional House,2,77003,local,2016
Other Type of House,13,77003,local,2016
Owned House,3389,77003,local,2016
Rental House,102,77003,local,2016
Institutional House,185,54,district,2016
Other Type of House,287,54,district,2016
Owned House,45538,54,district,2016
Rental House,1706,54,district,2016
Institutional House,8,52001,local,2016
Other Type of House,30,52001,local,2016
Owned House,4569,52001,local,2016
Rental House,43,52001,local,2016
Institutional House,41,52004,local,2016
Other Type of House,25,52004,local,2016
Owned House,3758,52004,local,2016
Rental House,296,52004,local,2016
Institutional House,5,52003,local,2016
Other Type of House,11,52003,local,2016
Owned House,5720,52003,local,2016
Rental House,132,52003,local,2016
Institutional House,41,52005,local,2016
Other Type of House,16,52005,local,2016
Owned House,2928,52005,local,2016
Rental House,83,52005,local,2016
Institutional House,7,52008,local,2016
Other Type of House,39,52008,local,2016
Owned House,3342,52008,local,2016
Rental House,96,52008,local,2016
Institutional House,5,52002,local,2016
Other Type of House,22,52002,local,2016
Owned House,4630,52002,local,2016
Rental House,128,52002,local,2016
Institutional House,20,52009,local,2016
Other Type of House,57,52009,local,2016
Owned House,6721,52009,local,2016
Rental House,170,52009,local,2016
Institutional House,52,52007,local,2016
Other Type of House,66,52007,local,2016
Owned House,8252,52007,local,2016
Rental House,594,52007,local,2016
Institutional House,6,52006,local,2016
Other Type of House,21,52006,local,2016
Owned House,5618,52006,local,2016
Rental House,164,52006,local,2016
Institutional House,1219,60,district,2016
Other Type of House,1328,60,district,2016
Owned House,137116,60,district,2016
Rental House,24172,60,district,2016
Institutional House,2,49010,local,2016
Other Type of House,16,49010,local,2016
Owned House,5606,49010,local,2016
Rental House,33,49010,local,2016
Institutional House,5,49004,local,2016
Other Type of House,33,49004,local,2016
Owned House,6790,49004,local,2016
Rental House,256,49004,local,2016
Institutional House,1,49012,local,2016
Other Type of House,0,49012,local,2016
Owned House,5111,49012,local,2016
Rental House,8,49012,local,2016
Institutional House,557,49001,local,2016
Other Type of House,335,49001,local,2016
